,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Batista,20.9,17,7,22,9,1,2,6,7,2,2,3,8,11,3,0,0,0,1,1,0,8
1,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,David Jackson,28.5,15,4,25,8,4,6,0,2,3,3,0,2,2,2,2,0,0,1,0,0,9
2,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Johnson Sr,21.3,13,3,27,7,2,5,1,2,5,8,0,0,0,2,0,2,3,5,1,0,11
3,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Ronald,16.2,12,4,21,7,0,0,4,7,4,7,4,2,6,0,2,0,3,4,1,0,7
4,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Gui Santos,25.4,8,3,26,10,1,4,2,6,1,2,0,5,5,1,0,0,1,3,2,0,13
5,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Nesbitt,20.7,8,2,21,8,2,2,0,6,2,3,3,3,6,4,1,0,3,3,1,0,7
6,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Queiros,19.5,7,3,23,9,1,5,2,4,0,0,1,1,2,2,0,0,1,0,1,0,9
7,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Rafa Moreira,14.6,5,2,8,3,1,2,1,1,0,0,1,0,1,1,0,0,1,0,2,0,4
8,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Davi,27.0,4,1,14,5,0,2,1,3,2,2,0,2,2,9,3,0,2,3,0,0,6
9,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Dias,3.2,3,1,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Augusto,2.9,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
11,2020,Minas,Fortaleza Basquete,01/04/2021 16:00,18ª RODADA,2º TURNO,casa,vitória,26,Equipe,200.0,92,30,192,68,13,29,17,39,19,27,17,27,44,24,8,2,14,21,11,0,73
0,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Schneider,17.2,13,5,30,11,3,8,2,3,0,0,2,0,2,0,1,0,4,1,0,0,9
1,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Felipe,23.3,9,4,22,8,0,4,4,4,1,2,1,1,2,1,0,1,2,2,1,0,9
2,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Mathias,29.7,8,3,13,5,0,1,3,4,2,2,2,10,12,1,1,2,2,4,5,0,9
3,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Holloway,27.7,8,4,28,12,0,4,4,8,0,0,1,4,5,1,0,1,3,3,3,0,14
4,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Lobo,9.2,8,3,16,6,2,4,1,2,0,0,0,0,0,1,1,0,0,0,1,0,7
5,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Alex,19.3,7,2,14,4,2,4,0,0,1,2,0,4,4,0,0,0,2,1,2,0,7
6,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Rashaun,16.4,6,3,24,9,0,6,3,3,0,0,0,0,0,1,1,0,1,0,1,0,10
7,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Lassance,8.8,4,2,4,2,0,0,2,2,0,0,0,1,1,2,0,0,2,0,0,0,2
8,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Sualisson,26.7,2,1,10,4,0,2,1,2,0,0,5,2,7,2,0,1,4,1,2,0,1
9,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Cauê,18.1,1,0,8,2,0,2,0,0,1,2,0,0,0,3,0,0,1,2,1,0,4
10,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Brite,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,Fortaleza Basquete,Minas,01/04/2021 16:00,18ª RODADA,2º TURNO,fora,derrota,-26,Gabriel,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
