,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,David Jackson,31.0,15,5,29,10,1,5,4,5,4,4,0,3,3,2,0,0,1,3,1,0,13
1,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Ronald,22.5,11,5,17,6,0,0,5,6,1,5,0,5,5,2,0,1,1,3,0,1,8
2,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Parodi,26.2,10,5,28,12,0,4,5,8,0,0,0,4,4,8,1,0,2,1,0,0,12
3,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Queiros,26.5,10,3,29,10,2,7,1,3,2,2,1,4,5,0,0,0,1,1,0,0,10
4,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Batista,14.3,9,3,14,5,0,0,3,5,3,4,0,0,0,0,0,0,0,2,1,0,8
5,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Johnson Sr,26.3,8,4,22,9,0,4,4,5,0,0,3,4,7,1,1,0,3,4,4,1,10
6,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Davi,19.7,3,0,10,2,0,2,0,0,3,4,0,0,0,2,0,0,3,2,2,0,6
7,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Rafa Moreira,16.6,2,1,10,4,0,2,1,2,0,0,1,0,1,1,0,0,1,0,1,0,4
8,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Gui Santos,17.1,2,1,8,4,0,0,1,4,0,0,2,2,4,1,3,0,0,0,2,0,4
9,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Dias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,Minas,São Paulo,10/05/2021 18:00,1ª RODADA,SEMI,casa,derrota,-18,Equipe,200.0,70,27,167,62,3,24,24,38,13,19,8,23,31,17,5,1,12,16,12,2,74
0,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Lucas Mariano,33.6,26,10,52,20,5,10,5,10,1,2,6,5,11,2,0,2,1,3,1,2,16
1,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Georginho,30.5,15,6,28,11,3,6,3,5,0,0,0,8,8,8,0,2,2,2,3,0,14
2,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Bennett,27.8,15,6,29,11,3,7,3,4,0,0,0,0,0,2,1,0,3,1,3,0,14
3,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Jefferson,23.2,13,5,30,11,3,8,2,3,0,0,2,2,4,0,1,0,2,0,2,0,11
4,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Shamell,30.7,13,5,25,9,3,7,2,2,0,0,0,4,4,1,3,0,3,0,2,0,11
5,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Renan,19.0,4,1,19,6,1,5,0,1,1,2,3,3,6,1,0,0,3,1,0,0,4
6,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Isaac,13.1,2,0,5,1,0,1,0,0,2,2,0,2,2,0,1,1,1,4,0,0,2
7,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Dawkins,16.5,0,0,3,1,0,1,0,0,0,0,0,1,1,4,0,0,2,1,2,0,3
8,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,D. Penteado,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Gerson,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Igor,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
11,2020,São Paulo,Minas,10/05/2021 18:00,1ª RODADA,SEMI,fora,vitória,18,Equipe,200.0,88,33,191,70,18,45,15,25,4,6,14,29,43,18,6,5,17,12,15,2,73
