Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
4,00:00,NaN,78,82,fim_partida,
4,00:00,NaN,78,82,fim_quarto, 
4,00:01,FRA,78,82,substituicao_entra,Hettsheimeir
4,00:01,FRA,78,82,substituicao_sai,Jimmy
4,00:01,FRA,78,82,3_Pts_T,David Jackson
4,00:03,FRA,78,82,RD,Elinho
4,00:03,FLA,78,82,LL_Pts_T,Zach Graham
4,00:03,FLA,78,82,LL_Pts_C,Zach Graham
4,00:03,FLA,78,81,substituicao_entra,Jhonatan
4,00:03,FLA,78,81,substituicao_sai,Vargas
4,00:03,FLA,78,81,FR,Zach Graham
4,00:03,FRA,78,81,FC,Elinho
4,00:04,FRA,78,81,substituicao_entra,Jimmy
4,00:04,FRA,78,81,substituicao_sai,Hettsheimeir
4,00:05,FLA,78,81,RD,Marquinhos
4,00:06,FRA,78,81,LL_Pts_T,Parodi
4,00:06,FRA,78,81,LL_Pts_T,Parodi
4,00:06,FLA,78,81,substituicao_entra,Vargas
4,00:06,FLA,78,81,substituicao_sai,Deryk
4,00:06,FRA,78,81,FR,Parodi
4,00:06,FLA,78,81,FC,Balbi
4,00:08,FLA,78,81,LL_Pts_C,Deryk
4,00:08,FLA,78,80,LL_Pts_T,Deryk
4,00:08,FRA,78,80,substituicao_entra,Hettsheimeir
4,00:08,FRA,78,80,substituicao_sai,Jimmy
4,00:08,FLA,78,80,FR,Deryk
4,00:08,FRA,78,80,FC,Elinho
4,00:11,FRA,78,80,substituicao_entra,Jimmy
4,00:11,FRA,78,80,substituicao_sai,Hettsheimeir
4,00:11,FLA,78,80,tempo_tecnico,Flamengo
4,00:11,FLA,78,80,substituicao_entra,Olivinha
4,00:11,FLA,78,80,substituicao_sai,Vargas
4,00:11,FLA,78,80,FR,Deryk
4,00:11,FRA,78,80,FC,David Jackson
4,00:12,FLA,78,80,substituicao_entra,Deryk
4,00:12,FLA,78,80,substituicao_sai,Olivinha
4,00:14,FRA,78,80,LL_Pts_C,Hettsheimeir
4,00:14,FRA,77,80,LL_Pts_C,Hettsheimeir
4,00:14,FLA,76,80,substituicao_entra,Vargas
4,00:14,FLA,76,80,substituicao_sai,Mineiro
4,00:14,FLA,76,80,substituicao_entra,Zach Graham
4,00:14,FLA,76,80,substituicao_sai,Jhonatan
4,00:14,FRA,76,80,FR,Hettsheimeir
