,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,74,89,fim_partida, 
1,4,00:00,FRA,74,89,FR, Cauê
2,4,00:00,MAC,74,89,FC, (4 falta(s) - Equipe: 23 falta(s))João
3,4,00:00,MAC,74,89,FR, João
4,4,00:00,FRA,74,89,FC, (2 falta(s) - Equipe: 26 falta(s))Cauê
5,4,00:25,FRA,74,89,RD, (9 rebote(s) - Equipe: 40 rebote(s))Mathias
6,4,00:25,MAC,74,89,3 - 33 3% - Equipe: 4, (1
7,4,00:32,FRA,74,89,7 - 71 4% - Equipe: 26, (5
8,4,00:32,FRA,74,87,AS,Matheus (9 assistência(s) - Equipe: 22 assistência(s))
9,4,00:48,FRA,74,87,RD, (8 rebote(s) - Equipe: 39 rebote(s))Mathias
10,4,00:48,MAC,74,87,4 - 50 0% - Equipe: 23, (2
11,4,01:01,FRA,74,87,6 - 50 0% - Equipe: 25, (3
12,4,01:01,FRA,74,85,AS,Bruno (6 assistência(s) - Equipe: 2assistência(s))
13,4,01:19,MAC,74,85,substituicao_entra,André Góes 
14,4,01:19,MAC,74,85,substituicao_sai,Eddy 
15,4,01:19,MAC,74,85,3 - 66 7% - Equipe: 16, (2
16,4,01:19,MAC,73,85,2 - 50 0% - Equipe: 15, (1
17,4,01:22,MAC,73,85,FR, Murilo
18,4,01:22,FRA,73,85,FC, (3 falta(s) - Equipe: 25 falta(s))Matheus
19,4,01:31,MAC,73,85,substituicao_sai,Mosso 
20,4,01:31,MAC,73,85,substituicao_entra,João 
21,4,01:31,MAC,73,85,substituicao_entra,Murilo 
22,4,01:31,MAC,73,85,substituicao_sai,Caleb Brown 
23,4,01:31,FRA,73,85,3 - 100 0% - Equipe: 19, (3
24,4,01:31,FRA,73,84,2 - 100 0% - Equipe: 18, (2
25,4,01:31,FRA,73,83,FR, Cauê
26,4,01:31,MAC,73,83,FC, (3 falta(s) - Equipe: 22 falta(s))Caleb Brown
27,4,01:38,FRA,73,83,RD, (7 rebote(s) - Equipe: 38 rebote(s))Mathias
28,4,01:38,MAC,73,83,7 - 42 9% - Equipe: 23, (3
29,4,01:49,FRA,73,83,5 - 60 0% - Equipe: 17, (3
30,4,01:49,FRA,73,82,4 - 50 0% - Equipe: 16, (2
31,4,01:49,FRA,73,81,FR, Bruno
32,4,01:49,MAC,73,81,FC, (2 falta(s) - Equipe: 2falta(s))Pedrinho Rava
33,4,01:57,MAC,73,81,11 - 45 5% - Equipe: 23, (5
34,4,02:01,MAC,71,81,RO, (5 rebote(s) - Equipe: 30 rebote(s))Mosso
35,4,02:01,MAC,71,81,1 - 0 0% - Equipe: 22, (0
36,4,02:08,MAC,71,81,RD, (5 rebote(s) - Equipe: 29 rebote(s))Caleb Brown
37,4,02:08,FRA,71,81,7 - 28 6% - Equipe: 6, (2
38,4,02:36,MAC,71,81,2 - 50 0% - Equipe: 4, (1
39,4,02:49,FRA,68,81,6 - 33 3% - Equipe: 6, (2
40,4,02:49,FRA,68,78,AS,Matheus (8 assistência(s) - Equipe: 20 assistência(s))
41,4,03:08,MAC,68,78,1 - 100 0% - Equipe: 15, (1
42,4,03:11,FRA,67,78,tempo_tecnico, Franca
43,4,03:11,MAC,67,78,6 - 83 3% - Equipe: 22, (5
44,4,03:11,MAC,65,78,FR, Matheus Fontes
45,4,03:11,FRA,65,78,FC, (falta(s) - Equipe: 24 falta(s))Bruno
46,4,03:19,MAC,65,78,RD, (2 rebote(s) - Equipe: 28 rebote(s))Pedrinho Rava
47,4,03:19,FRA,65,78,5 - 40 0% - Equipe: 24, (2
48,4,03:19,MAC,65,78,5 - 80 0% - Equipe: 21, (4
49,4,03:19,MAC,63,78,AS,Mosso (3 assistência(s) - Equipe:2 assistência(s))
50,4,03:19,MAC,63,78,substituicao_entra,Matheus Fontes 
51,4,03:19,MAC,63,78,substituicao_sai,André Góes 
52,4,03:41,MAC,63,78,RD, (rebote(s) - Equipe: 27 rebote(s))Pedrinho Rava
53,4,03:41,FRA,63,78,4 - 50 0% - Equipe: 24, (2
54,4,03:43,FRA,63,78,FR, Mathias
55,4,03:43,MAC,63,78,FC, (2 falta(s) - Equipe: 20 falta(s))Caleb Brown
56,4,03:50,FRA,63,78,RD, (6 rebote(s) - Equipe: 37 rebote(s))Mathias
57,4,03:50,MAC,63,78,8 - 62 5% - Equipe: 14, (5
58,4,03:50,MAC,63,78,7 - 71 4% - Equipe: 14, (5
59,4,03:55,MAC,62,78,FR, Caleb Brown
60,4,03:55,FRA,62,78,FC, (falta(s) - Equipe: 23 falta(s))Cauê
61,4,04:02,MAC,62,78,substituicao_sai,João 
62,4,04:02,MAC,62,78,substituicao_entra,Pedrinho Rava 
63,4,04:02,MAC,62,78,tempo_tecnico, Macaé Basquete
64,4,04:02,FRA,62,78,3 - 100 0% - Equipe: 24, (3
65,4,04:02,FRA,62,76,AS,Schneider (4 assistência(s) - Equipe:9 assistência(s))
66,4,04:10,FRA,62,76,RD, (9 rebote(s) - Equipe: 36 rebote(s))Matheus
67,4,04:10,MAC,62,76,2 - 0 0% - Equipe: 3, (0
68,4,04:17,MAC,62,76,RD, (5 rebote(s) - Equipe: 26 rebote(s))Eddy
69,4,04:17,FRA,62,76,6 - 66 7% - Equipe: 23, (4
70,4,04:29,FRA,62,76,7 - 57 1% - Equipe: 23, (4
71,4,04:50,FRA,62,74,RD, (8 rebote(s) - Equipe: 35 rebote(s))Matheus
72,4,04:50,MAC,62,74,2 - 50 0% - Equipe: 20, (1
73,4,04:52,FRA,62,74,3 - 33 3% - Equipe: 15, (1
74,4,05:17,MAC,62,73,10 - 40 0% - Equipe: 20, (4
75,4,05:17,MAC,60,73,AS,Eddy (2 assistência(s) - Equipe:assistência(s))
76,4,05:33,FRA,60,73,5 - 80 0% - Equipe: 22, (4
77,4,05:33,FRA,60,71,AS,Bruno (5 assistência(s) - Equipe:8 assistência(s))
78,4,05:42,MAC,60,71,6 - 66 7% - Equipe: 13, (4
79,4,05:42,MAC,59,71,5 - 60 0% - Equipe: 12, (3
80,4,05:45,MAC,59,71,FR, Caleb Brown
81,4,05:45,FRA,59,71,FC, (2 falta(s) - Equipe: 22 falta(s))Matheus
82,4,05:56,FRA,59,71,substituicao_entra,Cauê 
83,4,05:56,FRA,59,71,substituicao_sai,Isaac 
84,4,05:56,FRA,59,71,ER, Isaac
85,4,06:20,FRA,59,71,RD, (7 rebote(s) - Equipe: 34 rebote(s))Matheus
