,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,75,81,fim_partida, 
1,4,00:04,PAU,75,81,substituicao_sai,Pedrão 
2,4,00:04,PAU,75,81,substituicao_entra,Dawkins 
3,4,00:04,PAU,75,81,,
4,4,00:04,BRA,75,81,ER, Fulvio
5,4,00:05,BRA,75,81,substituicao_sai,Pilar 
6,4,00:05,BRA,75,81,substituicao_entra,Cipolini 
7,4,00:05,PAU,75,81,substituicao_sai,Dawkins 
8,4,00:05,PAU,75,81,substituicao_entra,Mogi 
9,4,00:05,PAU,75,81,substituicao_sai,Valtinho 
10,4,00:05,PAU,75,81,substituicao_entra,Pedrão 
11,4,00:05,BRA,75,81,tempo_tecnico, Brasília
12,4,00:05,PAU,75,81,10 - 70 0% - Equipe: 24, (7
13,4,00:05,PAU,73,81,AS,Valtinho (5 assistência(s) - Equipe:4 assistência(s))
14,4,00:14,PAU,73,81,tempo_tecnico, Paulistano
15,4,00:14,BRA,73,81,2 - 100 0% - Equipe: 10, (2
16,4,00:14,BRA,73,80,1 - 100 0% - Equipe: 9, (1
17,4,00:14,PAU,73,79,substituicao_entra,Valtinho 
18,4,00:14,PAU,73,79,substituicao_sai,Arthur Pecos 
19,4,00:14,PAU,73,79,substituicao_entra,Caio Torres 
20,4,00:14,PAU,73,79,substituicao_sai,Mogi 
21,4,00:14,BRA,73,79,FR, Deryk
22,4,00:14,PAU,73,79,FC, (2 falta(s) - Equipe:9 falta(s))Mogi
23,4,00:17,PAU,73,79,substituicao_entra,Arthur Pecos 
24,4,00:17,PAU,73,79,substituicao_sai,Caio Torres 
25,4,00:17,PAU,73,79,substituicao_entra,Mogi 
26,4,00:17,PAU,73,79,substituicao_sai,Valtinho 
27,4,00:24,BRA,73,79,RD, (5 rebote(s) - Equipe: 3rebote(s))Fulvio
28,4,00:24,PAU,73,79,5 - 20 0% - Equipe: 23, (1
29,4,00:39,PAU,73,79,RD, (3 rebote(s) - Equipe: 32 rebote(s))Caio Torres
30,4,00:39,BRA,73,79,2 - 0 0% - Equipe: 8, (0
31,4,00:39,BRA,73,79,1 - 0 0% - Equipe: 8, (0
32,4,00:39,PAU,73,79,substituicao_entra,Valtinho 
33,4,00:39,PAU,73,79,substituicao_sai,Arthur Pecos 
34,4,00:39,PAU,73,79,substituicao_entra,Caio Torres 
35,4,00:39,PAU,73,79,substituicao_sai,Mogi 
36,4,00:39,BRA,73,79,FR, G  Giovannoni
37,4,00:39,PAU,73,79,FC, (2 falta(s) - Equipe:8 falta(s))Jhonatan
38,4,00:41,BRA,73,79,FR, Deryk
39,4,00:41,PAU,73,79,FC, (falta(s) - Equipe:7 falta(s))Mogi
40,4,00:49,PAU,73,79,substituicao_entra,Mogi 
41,4,00:49,PAU,73,79,substituicao_sai,Valtinho 
42,4,00:49,PAU,73,79,substituicao_entra,Arthur Pecos 
43,4,00:49,PAU,73,79,substituicao_sai,Caio Torres 
44,4,00:49,BRA,73,79,,
45,4,00:49,PAU,73,79,ER, Jhonatan
46,4,01:01,PAU,73,79,RD, (3 rebote(s) - Equipe: 3rebote(s))Dawkins
47,4,01:01,BRA,73,79,5 - 20 0% - Equipe: 11, (1
48,4,01:22,PAU,73,79,9 - 66 7% - Equipe: 23, (6
49,4,01:37,BRA,71,79,4 - 50 0% - Equipe: 19, (2
50,4,01:44,BRA,71,77,BR, J  Campos
51,4,01:44,PAU,71,77,ER, Caio Torres
52,4,01:50,BRA,71,77,7 - 71 4% - Equipe: 18, (5
53,4,02:08,BRA,71,75,RD, (5 rebote(s) - Equipe: 30 rebote(s))G  Giovannoni
54,4,02:08,PAU,71,75,2 - 0 0% - Equipe: 4, (0
55,4,02:17,BRA,71,75,substituicao_entra,J  Campos 
56,4,02:17,BRA,71,75,substituicao_sai,Pureza 
57,4,02:17,BRA,71,75,ER, Deryk
58,4,02:43,BRA,71,75,RD, (2 rebote(s) - Equipe: 29 rebote(s))Pilar
59,4,02:43,PAU,71,75,8 - 62 5% - Equipe: 22, (5
60,4,02:58,PAU,71,75,RD, (2 rebote(s) - Equipe: 30 rebote(s))Valtinho
61,4,02:58,BRA,71,75,11 - 45 5% - Equipe: 11, (5
62,4,03:06,BRA,71,75,BR, Fulvio
63,4,03:06,PAU,71,75,ER, Dawkins
64,4,03:10,PAU,71,75,substituicao_sai,Arthur Pecos 
65,4,03:10,PAU,71,75,substituicao_entra,Gemerson 
66,4,03:10,BRA,71,75,substituicao_sai,Cipolini 
67,4,03:10,BRA,71,75,substituicao_entra,Pureza 
68,4,03:10,BRA,71,75,ER, 
69,4,03:17,BRA,71,75,2 - 0 0% - Equipe: 17, (0
70,4,03:41,BRA,71,75,BR, Pilar
71,4,03:41,PAU,71,75,ER, Jhonatan
72,4,03:48,PAU,71,75,RO, (7 rebote(s) - Equipe: 29 rebote(s))Jhonatan
73,4,03:48,PAU,71,75,2 - 0 0% - Equipe: 4, (0
74,4,04:03,PAU,71,75,,
75,4,04:03,BRA,71,75,ER, Cipolini
76,4,04:29,PAU,71,75,6 - 66 7% - Equipe: 4, (4
77,4,04:29,PAU,68,75,AS,Dawkins (2 assistência(s) - Equipe:3 assistência(s))
78,4,04:48,PAU,68,75,substituicao_sai,Gemerson 
79,4,04:48,PAU,68,75,substituicao_entra,Jhonatan 
80,4,04:48,PAU,68,75,4 - 100 0% - Equipe: 15, (4
81,4,04:48,PAU,67,75,3 - 100 0% - Equipe: 14, (3
82,4,04:48,PAU,66,75,2 - 100 0% - Equipe: 13, (2
83,4,04:48,BRA,65,75,substituicao_entra,G  Giovannoni 
84,4,04:48,BRA,65,75,substituicao_sai,Ronald 
85,4,04:48,BRA,65,75,tempo_tecnico, Brasília
86,4,04:48,BRA,65,75,FC_T, (2 falta(s) - Equipe: 2falta(s))Banco do Brasília
87,4,04:48,PAU,65,75,FR, Valtinho
88,4,04:48,BRA,65,75,FC, (5 falta(s) - Equipe: 20 falta(s))Ronald
89,4,04:51,PAU,65,75,substituicao_sai,Toyloy 
90,4,04:51,PAU,65,75,substituicao_entra,Caio Torres 
91,4,04:51,PAU,65,75,substituicao_sai,Mogi 
92,4,04:51,PAU,65,75,substituicao_entra,Valtinho 
93,4,05:07,BRA,65,75,ER, Ronald
94,4,05:07,BRA,65,75,RO, (7 rebote(s) - Equipe: 28 rebote(s))Ronald
95,4,05:07,BRA,65,75,6 - 50 0% - Equipe: 11, (3
96,4,05:10,PAU,65,75,substituicao_sai,Valtinho 
97,4,05:10,PAU,65,75,substituicao_entra,Mogi 
98,4,05:10,PAU,65,75,1 - 100 0% - Equipe: 12, (1
99,4,05:10,PAU,64,75,substituicao_entra,Arthur Pecos 
100,4,05:10,PAU,64,75,substituicao_sai,Jhonatan 
101,4,05:10,PAU,64,75,FR, Dawkins
102,4,05:10,BRA,64,75,FC, (4 falta(s) - Equipe:9 falta(s))Ronald
103,4,05:15,PAU,64,75,1 - 100 0% - Equipe: 22, (1
104,4,05:16,BRA,62,75,substituicao_entra,Pilar 
105,4,05:16,BRA,62,75,substituicao_sai,J  Campos 
106,4,05:16,BRA,62,75,substituicao_sai,G  Giovannoni 
107,4,05:16,BRA,62,75,substituicao_entra,Ronald 
108,4,05:16,PAU,62,75,FR, Valtinho
109,4,05:16,BRA,62,75,FC, (3 falta(s) - Equipe:8 falta(s))Fulvio
110,4,05:28,PAU,62,75,RD, (6 rebote(s) - Equipe: 28 rebote(s))Toyloy
111,4,05:28,PAU,62,75,TO, Jhonatan
112,4,05:28,BRA,62,75,6 - 66 7% - Equipe: 17, (4
113,4,05:35,BRA,62,75,RO, (3 rebote(s) - Equipe: 27 rebote(s))Cipolini
114,4,05:35,BRA,62,75,7 - 28 6% - Equipe: 17, (2
115,4,06:03,PAU,62,75,4 - 25 0% - Equipe: 21, (1
116,4,06:03,PAU,60,75,AS,Toyloy (assistência(s) - Equipe:2 assistência(s))
117,4,06:27,BRA,60,75,5 - 80 0% - Equipe: 17, (4
118,4,06:49,PAU,60,73,4 - 100 0% - Equipe: 20, (4
119,4,06:49,PAU,58,73,AS,Valtinho (4 assistência(s) - Equipe:assistência(s))
120,4,06:58,PAU,58,73,substituicao_sai,Gruber 
121,4,06:58,PAU,58,73,substituicao_entra,Toyloy 
122,4,06:58,BRA,58,73,2 - 50 0% - Equipe: 11, (1
123,4,07:08,BRA,58,70,RD, (2 rebote(s) - Equipe: 26 rebote(s))Cipolini
124,4,07:08,PAU,58,70,3 - 0 0% - Equipe: 3, (0
125,4,07:21,PAU,58,70,RO, (2 rebote(s) - Equipe: 27 rebote(s))Dawkins
126,4,07:21,BRA,58,70,TO, Cipolini
127,4,07:21,PAU,58,70,3 - 0 0% - Equipe: 19, (0
128,4,07:27,PAU,58,70,RO, (7 rebote(s) - Equipe: 26 rebote(s))Gemerson
129,4,07:27,PAU,58,70,5 - 60 0% - Equipe: 3, (3
130,4,07:36,BRA,58,70,5 - 60 0% - Equipe: 10, (3
131,4,07:36,BRA,58,67,AS,Deryk (4 assistência(s) - Equipe:4 assistência(s))
132,4,07:49,PAU,58,67,4 - 50 0% - Equipe: 19, (2
133,4,08:03,PAU,56,67,BR, Dawkins
134,4,08:03,BRA,56,67,ER, Cipolini
135,4,08:29,PAU,56,67,3 - 33 3% - Equipe: 18, (1
136,4,08:29,PAU,54,67,AS,Valtinho (3 assistência(s) - Equipe:0 assistência(s))
137,4,08:41,PAU,54,67,RD, (6 rebote(s) - Equipe: 25 rebote(s))Gemerson
138,4,08:41,BRA,54,67,10 - 50 0% - Equipe: 9, (5
139,4,08:43,PAU,54,67,substituicao_entra,Gruber 
140,4,08:43,PAU,54,67,substituicao_sai,Toyloy 
141,4,08:43,BRA,54,67,FR, Fulvio
142,4,08:43,PAU,54,67,FC, (3 falta(s) - Equipe:6 falta(s))Valtinho
143,4,08:51,PAU,54,67,3 - 100 0% - Equipe: 17, (3
144,4,09:09,BRA,52,67,4 - 75 0% - Equipe: 8, (3
145,4,09:09,BRA,52,66,3 - 66 7% - Equipe: 7, (2
146,4,09:09,BRA,52,65,FR, Cipolini
