,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,88,65,fim_partida, 
1,4,00:04,CEA,88,65,2 - 50 0% - Equipe: 9, (1
2,4,00:04,CEA,85,65,AS,Rômulo (assistência(s) - Equipe: 23 assistência(s))
3,4,00:09,CEA,85,65,RO, (3 rebote(s) - Equipe: 35 rebote(s))Rômulo
4,4,00:09,CEA,85,65,1 - 0 0% - Equipe: 24, (0
5,4,00:15,CEA,85,65,RO, (rebote(s) - Equipe: 34 rebote(s))Joel
6,4,00:15,CEA,85,65,4 - 25 0% - Equipe: 8, (1
7,4,00:18,CEA,85,65,RO, (rebote(s) - Equipe: 33 rebote(s))Leal
8,4,00:18,CEA,85,65,1 - 0 0% - Equipe: 8, (0
9,4,00:32,LSB,85,65,2 - 50 0% - Equipe: 17, (1
10,4,00:32,LSB,85,64,1 - 0 0% - Equipe: 16, (0
11,4,00:35,LSB,85,64,FR, Avelino
12,4,00:35,CEA,85,64,FC, (falta(s) - Equipe: 2falta(s))Rômulo
13,4,00:41,CEA,85,64,substituicao_entra,Joel 
14,4,00:43,CEA,85,64,substituicao_sai,Sualisson 
15,4,00:50,LSB,85,64,RD, (3 rebote(s) - Equipe: 29 rebote(s))Avelino
16,4,00:50,CEA,85,64,2 - 0 0% - Equipe: 24, (0
17,4,00:52,LSB,85,64,1 - 100 0% - Equipe: 15, (1
18,4,01:11,CEA,85,62,1 - 100 0% - Equipe: 24, (1
19,4,01:11,CEA,83,62,AS,Davi (12 assistência(s) - Equipe: 22 assistência(s))(Duplo-Duplo)
20,4,01:24,CEA,83,62,RD, (2 rebote(s) - Equipe: 32 rebote(s))Rômulo
21,4,01:24,LSB,83,62,7 - 28 6% - Equipe: 6, (2
22,4,01:37,CEA,83,62,1 - 100 0% - Equipe: 23, (1
23,4,01:48,CEA,81,62,RO, (rebote(s) - Equipe: 3rebote(s))Rômulo
24,4,01:48,CEA,81,62,1 - 0 0% - Equipe: 8, (0
25,4,02:08,LSB,81,62,6 - 33 3% - Equipe: 6, (2
26,4,02:08,LSB,81,59,AS,Socas (3 assistência(s) - Equipe:2 assistência(s))
27,4,02:23,CEA,81,59,4 - 75 0% - Equipe: 22, (3
28,4,02:23,CEA,79,59,AS,Victor (assistência(s) - Equipe: 2assistência(s))
29,4,02:29,CEA,79,59,substituicao_entra,Sualisson 
30,4,02:29,CEA,79,59,substituicao_sai,Felipe 
31,4,02:29,LSB,79,59,substituicao_entra,Victor 
32,4,02:29,LSB,79,59,substituicao_sai,Fab Melo 
33,4,02:32,CEA,79,59,RD, Basquete Cearense
34,4,02:32,LSB,79,59,7 - 28 6% - Equipe: 14, (2
35,4,02:38,LSB,79,59,BR, Renato Scholz
36,4,02:38,CEA,79,59,ER, Davi
37,4,02:44,CEA,79,59,FR, Leal
38,4,02:44,LSB,79,59,FC, (4 falta(s) - Equipe:9 falta(s))Fab Melo
39,4,02:46,CEA,79,59,3 - 66 7% - Equipe: 21, (2
40,4,03:03,LSB,77,59,4 - 25 0% - Equipe: 5, (1
41,4,03:03,LSB,77,56,AS,Neto (3 assistência(s) - Equipe:assistência(s))
42,4,03:15,CEA,77,56,ER, Leal
43,4,03:33,CEA,77,56,substituicao_entra,Rômulo 
44,4,03:33,CEA,77,56,substituicao_sai,Toledo 
45,4,03:33,LSB,77,56,6 - 66 7% - Equipe: 16, (4
46,4,03:33,LSB,77,55,5 - 60 0% - Equipe: 15, (3
47,4,03:33,CEA,77,55,substituicao_entra,Victor 
48,4,03:33,CEA,77,55,substituicao_sai,Sualisson 
49,4,03:33,LSB,77,55,FR, Neto
50,4,03:33,CEA,77,55,FC, (3 falta(s) - Equipe: 20 falta(s))Sualisson
