,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,57,70,fim_partida, 
1,4,00:13,LSB,57,70,RD, Fab Melo
2,4,00:13,MIN,57,70,LL_Pts_T,Ansaloni
3,4,00:13,MIN,57,70,LL_Pts_T,Ansaloni
4,4,00:13,LSB,57,70,substituicao_entra,Elivelton 
5,4,00:13,LSB,57,70,substituicao_sai,Renato Scholz 
6,4,00:13,MIN,57,70,FR,Ansaloni
7,4,00:13,LSB,57,70,FC,Renato Scholz
8,4,00:22,LSB,57,70,ER,Fab Melo
9,4,00:48,LSB,57,70,RD, Fab Melo
10,4,00:48,MIN,57,70,3_Pts_T,Pedro Macedo
11,4,01:00,MIN,57,70,substituicao_entra,Ansaloni 
12,4,01:00,MIN,57,70,substituicao_sai,Shilton 
13,4,01:00,LSB,57,70,LL_Pts_C,A  Pinheiro
14,4,01:00,LSB,57,69,LL_Pts_C,A  Pinheiro
15,4,01:00,MIN,57,68,substituicao_entra,Pedro Macedo 
16,4,01:00,MIN,57,68,substituicao_sai,Siqueira 
17,4,01:00,LSB,57,68,FR,A  Pinheiro
18,4,01:00,MIN,57,68,FC,Carioca
19,4,01:05,MIN,57,68,ER,Siqueira
20,4,01:11,MIN,57,68,substituicao_entra,Carioca 
21,4,01:11,MIN,57,68,substituicao_sai,Léo Demétrio 
22,4,01:11,LSB,57,68,LL_Pts_T,Socas
23,4,01:11,LSB,57,68,LL_Pts_C,Socas
24,4,01:11,LSB,57,67,FR,Socas
25,4,01:11,MIN,57,67,FC,Coelho
26,4,01:24,LSB,57,67,RD, Fab Melo
27,4,01:24,MIN,57,67,2_Pts_T,Simmons
28,4,01:30,MIN,57,67,RO, Shilton
29,4,01:30,MIN,57,67,2_Pts_T,Simmons
30,4,01:34,MIN,57,67,RO, Simmons
31,4,01:34,MIN,57,67,3_Pts_T,Siqueira
32,4,01:45,MIN,57,67,tempo_tecnico, Minas
33,4,01:45,LSB,57,67,LL_Pts_C,A  Pinheiro
34,4,01:45,LSB,57,66,LL_Pts_T,A  Pinheiro
35,4,01:45,LSB,57,66,FR,A  Pinheiro
36,4,01:45,MIN,57,66,FC,Léo Demétrio
37,4,02:09,MIN,57,66,2_Pts_C,Simmons
38,4,02:17,MIN,55,66,RD, Shilton
39,4,02:17,LSB,55,66,LL_Pts_T,Socas
40,4,02:17,LSB,55,66,LL_Pts_T,Socas
41,4,02:17,MIN,55,66,substituicao_entra,Shilton 
42,4,02:17,MIN,55,66,substituicao_sai,Ansaloni 
43,4,02:17,MIN,55,66,substituicao_entra,Coelho 
44,4,02:17,MIN,55,66,substituicao_sai,Sosa 
45,4,02:17,LSB,55,66,substituicao_entra,A  Pinheiro 
46,4,02:17,LSB,55,66,substituicao_sai,Avelino 
47,4,02:17,LSB,55,66,FR,Socas
48,4,02:17,MIN,55,66,FC,Sosa
49,4,02:19,LSB,55,66,FR,Socas
50,4,02:19,MIN,55,66,FC_O,Sosa
51,4,02:27,MIN,55,66,RD, Léo Demétrio
52,4,02:27,LSB,55,66,2_Pts_T,Fab Melo
53,4,02:46,LSB,55,66,,
54,4,02:46,MIN,55,66,ER,Siqueira
55,4,02:55,MIN,55,66,RD, Léo Demétrio
56,4,02:55,LSB,55,66,2_Pts_T,Neto
57,4,03:20,LSB,55,66,RD, Neto
58,4,03:20,LSB,55,66,TO,Fab Melo
59,4,03:20,MIN,55,66,2_Pts_T,Ansaloni
60,4,03:26,MIN,55,66,BR,Ansaloni
61,4,03:26,LSB,55,66,ER,Neto
62,4,03:38,MIN,55,66,LL_Pts_C,Léo Demétrio
63,4,03:38,MIN,54,66,2_Pts_C,Léo Demétrio
64,4,03:38,MIN,52,66,FR,Léo Demétrio
65,4,03:38,LSB,52,66,FC,Avelino
66,4,03:46,MIN,52,66,FR,Ansaloni
67,4,03:46,LSB,52,66,FC,Fab Melo
68,4,03:55,LSB,52,66,LL_Pts_C,Fab Melo
69,4,03:55,LSB,52,65,,
70,4,03:55,LSB,52,65,LL_Pts_C,Fab Melo
71,4,03:55,MIN,52,64,tempo_tecnico, Minas
72,4,03:55,LSB,52,64,FR,Fab Melo
73,4,03:55,MIN,52,64,FC,Simmons
74,4,04:19,LSB,52,64,BR,Neto
75,4,04:19,MIN,52,64,ER,Ansaloni
76,4,04:28,LSB,52,64,EN,Fab Melo
77,4,04:36,LSB,52,62,RO, Fab Melo
78,4,04:36,MIN,52,62,TO,Ansaloni
79,4,04:36,LSB,52,62,2_Pts_T,Neto
80,4,04:56,MIN,52,62,,
81,4,04:56,MIN,52,62,LL_Pts_C,Ansaloni
82,4,04:56,MIN,51,62,LL_Pts_T,Ansaloni
83,4,04:56,MIN,51,62,FR,Ansaloni
84,4,04:56,LSB,51,62,FC,Renato Scholz
85,4,05:14,MIN,51,62,BR,Sosa
86,4,05:14,LSB,51,62,ER,Socas
87,4,05:27,LSB,51,62,RO, Renato Scholz
88,4,05:27,LSB,51,62,3_Pts_T,Renato Scholz
89,4,05:38,LSB,51,62,substituicao_entra,Avelino 
90,4,05:38,LSB,51,62,substituicao_sai,Lacerda 
91,4,05:43,LSB,51,62,RD, Socas
92,4,05:43,MIN,51,62,3_Pts_T,Sosa
93,4,05:50,LSB,51,62,substituicao_entra,Fab Melo 
