,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,103,78,fim_partida, 
1,4,00:00,FRA,103,78,substituicao_sai,Antonio 
2,4,00:00,FRA,103,78,substituicao_sai,Mathias 
3,4,00:00,FRA,103,78,substituicao_sai,Thiaguinho 
4,4,00:00,FRA,103,78,substituicao_sai,Cauê 
5,4,00:00,FRA,103,78,substituicao_sai,Schneider 
6,4,00:00,BAU,103,78,substituicao_sai,Labbate 
7,4,00:00,BAU,103,78,substituicao_sai,Hettsheimeir 
8,4,00:00,BAU,103,78,substituicao_sai,Gui Santos 
9,4,00:00,BAU,103,78,substituicao_sai,Wesley  
10,4,00:00,BAU,103,78,substituicao_sai,Léo 
11,4,00:20,BAU,103,78,RD, Gui Santos
12,4,00:20,FRA,103,78,2_Pts_T,Mathias
13,4,00:38,BAU,103,78,substituicao_entra,Wesley  
14,4,00:38,BAU,103,78,substituicao_sai,Stefano 
15,4,00:38,BAU,103,78,2_Pts_C,Hettsheimeir
16,4,00:38,BAU,101,78,,
17,4,00:47,BAU,101,78,RD, Hettsheimeir
18,4,00:47,FRA,101,78,2_Pts_T,Antonio
19,4,01:04,BAU,101,78,substituicao_entra,Gui Santos 
20,4,01:04,BAU,101,78,substituicao_sai,Léo Meindl 
21,4,01:04,BAU,101,78,LL_Pts_C,Stefano
22,4,01:04,BAU,100,78,LL_Pts_T,Stefano
23,4,01:04,BAU,100,78,FR,Stefano
24,4,01:04,FRA,100,78,FC,Schneider
25,4,01:08,FRA,100,78,3_Pts_C,Cauê
26,4,01:08,FRA,100,75,,
27,4,01:19,FRA,100,75,RD, Mathias
28,4,01:19,FRA,100,75,TO,Mathias
29,4,01:19,BAU,100,75,2_Pts_T,Labbate
30,4,01:28,FRA,100,75,2_Pts_C,Schneider
31,4,01:28,FRA,100,73,,
32,4,01:34,FRA,100,73,BR,Antonio
33,4,01:34,BAU,100,73,ER,Stefano
34,4,01:47,BAU,100,73,RO, Léo Meindl
35,4,01:47,BAU,100,73,3_Pts_T,Léo
36,4,02:04,FRA,100,73,LL_Pts_C,Schneider
37,4,02:04,FRA,100,72,LL_Pts_C,Schneider
38,4,02:04,FRA,100,71,FR,Schneider
39,4,02:04,BAU,100,71,FC,Léo Meindl
40,4,02:18,FRA,100,71,FR,Cauê
41,4,02:18,BAU,100,71,FC,Labbate
42,4,02:18,FRA,100,71,BR,Cauê
43,4,02:18,BAU,100,71,ER,Léo Meindl
44,4,02:37,BAU,100,71,RD, Hettsheimeir
45,4,02:37,FRA,100,71,3_Pts_T,Thiaguinho
46,4,02:56,BAU,100,71,,
47,4,02:56,BAU,100,71,LL_Pts_C,Labbate
48,4,02:56,BAU,99,71,LL_Pts_C,Labbate
49,4,02:58,BAU,98,71,FR,Labbate
50,4,02:58,FRA,98,71,FC,Thiaguinho
51,4,03:00,BAU,98,71,BR,Léo
52,4,03:00,FRA,98,71,ER,Schneider
53,4,03:10,BAU,98,71,substituicao_entra,Stefano 
54,4,03:10,BAU,98,71,substituicao_sai,Paulinho Boracini 
55,4,03:10,FRA,98,71,FR,Mathias
56,4,03:10,BAU,98,71,FC,Labbate
57,4,03:18,FRA,98,71,FR,Antonio
58,4,03:18,BAU,98,71,FC_O,Hettsheimeir
59,4,03:26,BAU,98,71,substituicao_entra,Léo 
60,4,03:26,BAU,98,71,substituicao_sai,Alex Garcia 
61,4,03:26,BAU,98,71,RD, Bauru
62,4,03:26,FRA,98,71,3_Pts_T,Schneider
63,4,03:42,FRA,98,71,BR,Mathias
64,4,03:42,BAU,98,71,ER,Hettsheimeir
65,4,03:58,BAU,98,71,RD, Hettsheimeir
66,4,03:58,FRA,98,71,2_Pts_T,Cauê
67,4,04:13,FRA,98,71,substituicao_entra,Thiaguinho 
68,4,04:13,FRA,98,71,substituicao_sai,Matheus 
69,4,04:17,FRA,98,71,tempo_tecnico, Franca
70,4,04:17,BAU,98,71,3_Pts_C,Hettsheimeir
71,4,04:17,BAU,95,71,,
72,4,04:28,BAU,95,71,RD, Labbate
73,4,04:28,FRA,95,71,2_Pts_T,Mathias
74,4,04:41,FRA,95,71,RD, Franca
75,4,04:41,BAU,95,71,2_Pts_T,Alex Garcia
76,4,04:54,BAU,95,71,substituicao_entra,Hettsheimeir 
77,4,04:54,BAU,95,71,substituicao_sai,Jefferson W  
78,4,04:54,BAU,95,71,substituicao_entra,Labbate 
79,4,04:54,BAU,95,71,substituicao_sai,Murilo 
80,4,04:54,BAU,95,71,,
81,4,04:54,FRA,95,71,ER,Antonio
82,4,05:11,BAU,95,71,2_Pts_C,Murilo
83,4,05:11,BAU,93,71,,
84,4,05:28,FRA,93,71,3_Pts_C,Matheus
85,4,05:50,BAU,93,68,2_Pts_C,Jefferson W 
86,4,05:53,BAU,91,68,BR,Jefferson W 
87,4,05:53,FRA,91,68,ER,Matheus
88,4,05:59,FRA,91,68,RO, Franca
89,4,05:59,BAU,91,68,TO,Murilo
90,4,05:59,FRA,91,68,2_Pts_T,Mathias
91,4,06:15,BAU,91,68,2_Pts_C,Alex Garcia
92,4,06:15,BAU,89,68,,
93,4,06:24,BAU,89,68,RO, Murilo
94,4,06:24,BAU,89,68,3_Pts_T,Jefferson W 
95,4,06:42,FRA,89,68,2_Pts_C,Mathias
96,4,06:42,FRA,89,66,,
97,4,06:59,BAU,89,66,3_Pts_C,Léo Meindl
98,4,06:59,BAU,86,66,,
99,4,07:08,BAU,86,66,RD, Alex Garcia
100,4,07:08,FRA,86,66,3_Pts_T,Cauê
101,4,07:24,FRA,86,66,,
102,4,07:24,BAU,86,66,ER,Alex Garcia
103,4,07:35,BAU,86,66,LL_Pts_C,Léo Meindl
104,4,07:35,BAU,85,66,LL_Pts_C,Léo Meindl
105,4,07:35,BAU,84,66,LL_Pts_C,Léo Meindl
106,4,07:35,FRA,83,66,substituicao_entra,Schneider 
107,4,07:35,FRA,83,66,substituicao_sai,Nezinho 
108,4,07:35,FRA,83,66,FC_T,Nezinho
109,4,07:35,BAU,83,66,FR,Léo Meindl
110,4,07:35,FRA,83,66,FC,Mathias
111,4,07:40,FRA,83,66,substituicao_entra,Antonio 
112,4,07:40,FRA,83,66,substituicao_sai,Kurtz 
113,4,07:40,FRA,83,66,substituicao_entra,Mathias 
114,4,07:40,FRA,83,66,substituicao_sai,Isaac 
115,4,07:40,BAU,83,66,FR,Paulinho Boracini
116,4,07:40,FRA,83,66,FC,Nezinho
117,4,07:44,BAU,83,66,RD, Paulinho Boracini
118,4,07:44,FRA,83,66,2_Pts_T,Isaac
119,4,07:51,FRA,83,66,BR,Matheus
120,4,07:51,BAU,83,66,ER,Paulinho Boracini
121,4,08:00,BAU,83,66,RD, Murilo
122,4,08:00,FRA,83,66,3_Pts_T,Nezinho
123,4,08:04,FRA,83,66,FR,Nezinho
124,4,08:04,BAU,83,66,FC,Murilo
125,4,08:13,BAU,83,66,,
126,4,08:13,BAU,83,66,LL_Pts_C,Murilo
127,4,08:13,BAU,82,66,LL_Pts_T,Murilo
128,4,08:13,BAU,82,66,FR,Murilo
129,4,08:13,FRA,82,66,FC,Matheus
130,4,08:33,FRA,82,66,2_Pts_C,Kurtz
131,4,08:33,FRA,82,64,,
132,4,08:50,BAU,82,64,3_Pts_C,Murilo
133,4,08:50,BAU,79,64,,
134,4,09:02,FRA,79,64,EN,Kurtz
135,4,09:05,FRA,79,62,RO, Kurtz
136,4,09:05,FRA,79,62,2_Pts_T,Cauê
137,4,09:14,BAU,79,62,2_Pts_C,Alex Garcia
138,4,09:29,FRA,77,62,3_Pts_C,Nezinho
139,4,09:45,BAU,77,59,2_Pts_C,Jefferson W 
140,4,09:45,BAU,75,59,,
141,3,00:00,NaN.,75,59,fim_quarto, 
142,3,00:01,BAU,75,59,2_Pts_T,Jefferson W 
143,3,00:20,FRA,75,59,2_Pts_C,Kurtz
144,3,00:20,FRA,75,57,,
145,3,00:33,FRA,75,57,RD, Kurtz
146,3,00:33,BAU,75,57,2_Pts_T,Murilo
147,3,00:51,FRA,75,57,2_Pts_C,Kurtz
148,3,00:51,FRA,75,55,,
149,3,00:59,FRA,75,55,BR,Kurtz
150,3,00:59,BAU,75,55,ER,Jefferson W 
151,3,01:08,BAU,75,55,RO, Paulinho Boracini
152,3,01:08,BAU,75,55,2_Pts_T,Léo Meindl
153,3,01:20,BAU,75,55,RD, Alex Garcia
154,3,01:20,FRA,75,55,LL_Pts_T,Kurtz
155,3,01:20,FRA,75,55,,
156,3,01:20,FRA,75,55,LL_Pts_C,Kurtz
157,3,01:20,BAU,75,54,substituicao_entra,Jefferson W  
158,3,01:20,BAU,75,54,substituicao_sai,Wesley  
159,3,01:20,FRA,75,54,FR,Kurtz
160,3,01:20,BAU,75,54,FC,Wesley 
161,3,01:31,BAU,75,54,substituicao_entra,Murilo 
162,3,01:31,BAU,75,54,substituicao_sai,Robert Day 
163,3,01:31,BAU,75,54,substituicao_entra,Alex Garcia 
164,3,01:31,BAU,75,54,substituicao_sai,Hettsheimeir 
165,3,01:31,FRA,75,54,,
166,3,01:31,BAU,75,54,ER,Hettsheimeir
167,3,01:45,FRA,75,54,2_Pts_C,Kurtz
168,3,01:45,FRA,75,52,,
169,3,01:58,BAU,75,52,3_Pts_C,Hettsheimeir
170,3,01:58,BAU,72,52,,
171,3,02:15,FRA,72,52,3_Pts_C,Nezinho
172,3,02:22,BAU,72,49,EN,Wesley 
173,3,02:27,BAU,70,49,RO, Wesley 
174,3,02:27,BAU,70,49,2_Pts_T,Hettsheimeir
175,3,02:45,FRA,70,49,LL_Pts_C,Kurtz
176,3,02:45,FRA,70,48,LL_Pts_T,Kurtz
177,3,02:45,FRA,70,48,FR,Kurtz
178,3,02:45,BAU,70,48,FC,Wesley 
179,3,02:52,FRA,70,48,RD, Bruno
180,3,02:52,BAU,70,48,2_Pts_T,Wesley 
181,3,03:01,BAU,70,48,RD, Paulinho Boracini
182,3,03:01,FRA,70,48,2_Pts_T,Isaac
183,3,03:08,BAU,70,48,substituicao_sai,Gui Santos 
184,3,03:08,BAU,70,48,substituicao_entra,Hettsheimeir 
185,3,03:08,BAU,70,48,substituicao_entra,Paulinho Boracini 
186,3,03:08,BAU,70,48,substituicao_sai,Hettsheimeir 
187,3,03:08,FRA,70,48,FR,Nezinho
188,3,03:08,BAU,70,48,FC,Gui Santos
189,3,03:15,FRA,70,48,RO, Franca
190,3,03:15,FRA,70,48,2_Pts_T,Kurtz
191,3,03:23,FRA,70,48,FR,Bruno
192,3,03:23,BAU,70,48,FC,Gui Santos
193,3,03:23,FRA,70,48,BR,Bruno
194,3,03:23,BAU,70,48,ER,Robert Day
195,3,03:40,BAU,70,48,FR,Robert Day
196,3,03:40,FRA,70,48,FC,Kurtz
197,3,03:40,FRA,70,48,2_Pts_C,Matheus
198,3,03:50,BAU,70,46,3_Pts_C,Hettsheimeir
199,3,03:50,BAU,67,46,,
200,3,04:18,FRA,67,46,3_Pts_C,Nezinho
201,3,04:18,FRA,67,43,,
202,3,04:18,BAU,67,43,LL_Pts_C,Gui Santos
203,3,04:18,BAU,66,43,LL_Pts_T,Gui Santos
204,3,04:18,BAU,66,43,FR,Gui Santos
205,3,04:18,FRA,66,43,FC,Nezinho
206,3,04:42,FRA,66,43,,
207,3,04:56,FRA,66,43,substituicao_entra,Kurtz 
208,3,04:56,FRA,66,43,substituicao_sai,Antonio 
209,3,04:56,FRA,66,43,substituicao_entra,Matheus 
210,3,04:56,FRA,66,43,substituicao_sai,Mathias 
211,3,04:58,FRA,66,43,tempo_tecnico, Franca
212,3,04:58,BAU,66,43,3_Pts_C,Léo Meindl
213,3,04:58,BAU,63,43,,
214,3,05:13,BAU,63,43,FR,Robert Day
215,3,05:13,FRA,63,43,FC_O,Mathias
216,3,05:18,FRA,63,43,2_Pts_C,Isaac
217,3,05:28,BAU,63,41,2_Pts_C,Wesley 
218,3,05:28,BAU,61,41,,
219,3,05:43,FRA,61,41,3_Pts_C,Nezinho
220,3,05:43,FRA,61,38,,
221,3,06:04,BAU,61,38,3_Pts_C,Léo Meindl
222,3,06:04,BAU,58,38,,
223,3,06:20,FRA,58,38,LL_Pts_C,Antonio
224,3,06:20,FRA,58,37,LL_Pts_C,Antonio
225,3,06:20,FRA,58,36,FR,Antonio
226,3,06:20,BAU,58,36,FC,Wesley 
227,3,06:42,BAU,58,36,2_Pts_C,Hettsheimeir
228,3,06:42,BAU,56,36,,
229,3,07:01,FRA,56,36,2_Pts_C,Nezinho
230,3,07:12,BAU,56,34,3_Pts_C,Robert Day
231,3,07:29,FRA,53,34,2_Pts_C,Isaac
232,3,07:39,FRA,53,32,RD, Mathias
233,3,07:39,BAU,53,32,3_Pts_T,Robert Day
234,3,07:53,BAU,53,32,,
235,3,07:53,FRA,53,32,ER,Antonio
236,3,08:00,FRA,53,32,RD, Mathias
237,3,08:00,BAU,53,32,3_Pts_T,Hettsheimeir
238,3,08:26,BAU,53,32,RD, Robert Day
239,3,08:26,FRA,53,32,3_Pts_T,Antonio
240,3,08:37,FRA,53,32,RD, Antonio
241,3,08:37,BAU,53,32,2_Pts_T,Wesley 
242,3,08:45,BAU,53,32,RD, Léo Meindl
243,3,08:45,FRA,53,32,2_Pts_T,Nezinho
244,3,09:11,BAU,53,32,2_Pts_C,Gui Santos
245,3,09:18,BAU,51,32,RD, Robert Day
246,3,09:18,FRA,51,32,3_Pts_T,Nezinho
247,3,09:28,FRA,51,32,RD, Nezinho
248,3,09:28,BAU,51,32,2_Pts_T,Hettsheimeir
249,3,09:33,BAU,51,32,substituicao_entra,Hettsheimeir 
250,3,09:33,BAU,51,32,substituicao_sai,Murilo 
251,3,09:49,BAU,51,32,RD, Léo Meindl
252,3,09:49,FRA,51,32,2_Pts_T,Mathias
253,2,00:00,NaN.,51,32,fim_quarto, 
254,2,00:01,BAU,51,32,2_Pts_T,Paulinho Boracini
255,2,00:02,BAU,51,32,BR,Paulinho Boracini
256,2,00:02,FRA,51,32,ER,Schneider
257,2,00:05,FRA,51,32,RD, Schneider
258,2,00:05,BAU,51,32,3_Pts_T,Paulinho Boracini
259,2,00:17,FRA,51,32,2_Pts_C,Kurtz
260,2,00:17,FRA,51,30,,
261,2,00:35,BAU,51,30,substituicao_entra,Robert Day 
262,2,00:35,BAU,51,30,substituicao_sai,Jefferson W  
263,2,00:35,BAU,51,30,,
264,2,00:35,BAU,51,30,LL_Pts_C,Murilo
265,2,00:35,BAU,50,30,LL_Pts_T,Murilo
266,2,00:35,BAU,50,30,FR,Murilo
267,2,00:35,FRA,50,30,FC,Isaac
268,2,00:54,FRA,50,30,2_Pts_C,Kurtz
269,2,00:57,FRA,50,28,RO, Kurtz
270,2,00:57,FRA,50,28,3_Pts_T,Isaac
271,2,01:07,FRA,50,28,RO, Franca
272,2,01:07,BAU,50,28,TO,Jefferson W 
273,2,01:07,FRA,50,28,2_Pts_T,Cauê
274,2,01:13,FRA,50,28,RD, Schneider
275,2,01:13,BAU,50,28,3_Pts_T,Stefano
276,2,01:28,BAU,50,28,substituicao_entra,Paulinho Boracini 
277,2,01:28,BAU,50,28,substituicao_sai,Alex Garcia 
278,2,01:28,BAU,50,28,RD, Bauru
279,2,01:28,FRA,50,28,2_Pts_T,Schneider
280,2,01:43,BAU,50,28,3_Pts_C,Jefferson W 
281,2,01:43,BAU,47,28,,
282,2,02:08,FRA,47,28,LL_Pts_C,Kurtz
283,2,02:08,FRA,47,27,LL_Pts_T,Kurtz
284,2,02:08,FRA,47,27,FR,Kurtz
285,2,02:08,BAU,47,27,FC,Jefferson W 
286,2,02:24,BAU,47,27,2_Pts_C,Jefferson W 
287,2,02:24,BAU,45,27,,
288,2,02:36,BAU,45,27,BR,Léo
289,2,02:36,FRA,45,27,ER,Kurtz
290,2,02:41,FRA,45,27,RD, Kurtz
291,2,02:41,BAU,45,27,3_Pts_T,Alex Garcia
292,2,03:03,FRA,45,27,3_Pts_C,Isaac
293,2,03:03,FRA,45,24,,
294,2,03:14,BAU,45,24,3_Pts_C,Jefferson W 
295,2,03:14,BAU,42,24,,
296,2,03:28,FRA,42,24,2_Pts_C,Kurtz
297,2,03:33,FRA,42,22,RO, Kurtz
298,2,03:33,FRA,42,22,2_Pts_T,Schneider
299,2,03:57,BAU,42,22,substituicao_entra,Stefano 
