,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,107,95,fim_partida, 
1,4,00:06,MIN,107,95,LL_Pts_C,Shilton
2,4,00:06,MIN,106,95,LL_Pts_C,Shilton
3,4,00:06,MIN,105,95,FR,Shilton
4,4,00:06,BRA,105,95,FC,Cipolini
5,4,00:11,MIN,105,95,RD, Shilton
6,4,00:11,BRA,105,95,2_Pts_T,J  Campos
7,4,00:18,MIN,105,95,LL_Pts_C,Coelho
8,4,00:18,MIN,104,95,LL_Pts_C,Coelho
9,4,00:18,MIN,103,95,FR,Coelho
10,4,00:18,BRA,103,95,FC,J  Campos
11,4,00:21,BRA,103,95,2_Pts_C,J  Campos
12,4,00:27,BRA,103,93,RD, G  Giovannoni
13,4,00:27,MIN,103,93,LL_Pts_T,Coelho
14,4,00:27,MIN,103,93,LL_Pts_C,Coelho
15,4,00:27,MIN,102,93,FR,Coelho
16,4,00:27,BRA,102,93,FC,Cipolini
17,4,00:31,MIN,102,93,RD, Coelho
18,4,00:31,BRA,102,93,3_Pts_T,Deryk
19,4,00:35,BRA,102,93,substituicao_entra,Cipolini 
20,4,00:35,BRA,102,93,substituicao_sai,Ronald 
21,4,00:35,BRA,102,93,tempo_tecnico, Brasília
22,4,00:35,MIN,102,93,LL_Pts_C,Coelho
23,4,00:35,MIN,101,93,LL_Pts_C,Coelho
24,4,00:35,BRA,100,93,substituicao_entra,J  Campos 
25,4,00:35,BRA,100,93,substituicao_sai,Fulvio 
26,4,00:35,MIN,100,93,FR,Coelho
27,4,00:35,BRA,100,93,FC,Fulvio
28,4,00:39,BRA,100,93,3_Pts_C,Deryk
29,4,00:43,BRA,100,90,RO, Deryk
30,4,00:43,BRA,100,90,3_Pts_T,Deryk
31,4,00:46,BRA,100,90,tempo_tecnico, Brasília
32,4,00:46,MIN,100,90,LL_Pts_C,Coelho
33,4,00:46,MIN,99,90,LL_Pts_C,Coelho
34,4,00:46,MIN,98,90,FR,Coelho
35,4,00:46,BRA,98,90,FC,Fulvio
36,4,00:53,MIN,98,90,RD, Minas
37,4,00:53,MIN,98,90,TO,Léo Demétrio
38,4,00:53,BRA,98,90,3_Pts_T,G  Giovannoni
39,4,00:57,BRA,98,90,RO, G  Giovannoni
40,4,00:57,BRA,98,90,3_Pts_T,Deryk
41,4,01:08,BRA,98,90,LL_Pts_T,Deryk
42,4,01:08,BRA,98,90,LL_Pts_C,Deryk
43,4,01:08,MIN,98,89,substituicao_entra,Siqueira 
44,4,01:08,MIN,98,89,substituicao_sai,Carioca 
45,4,01:08,MIN,98,89,FC_T,Carioca
46,4,01:08,BRA,98,89,,
47,4,01:08,BRA,98,89,3_Pts_C,Deryk
48,4,01:08,BRA,98,86,FR,Deryk
49,4,01:08,MIN,98,86,FC,Carioca
50,4,01:16,BRA,98,86,substituicao_entra,Diego 
51,4,01:16,BRA,98,86,substituicao_sai,Pilar 
52,4,01:16,MIN,98,86,substituicao_entra,Carioca 
53,4,01:16,MIN,98,86,substituicao_sai,Siqueira 
54,4,01:18,MIN,98,86,ER,Coelho
55,4,01:30,MIN,98,86,LL_Pts_C,Coelho
56,4,01:30,MIN,97,86,LL_Pts_C,Coelho
57,4,01:30,MIN,96,86,FR,Coelho
58,4,01:30,BRA,96,86,FC_A,Fulvio
59,4,01:30,MIN,96,86,substituicao_entra,Siqueira 
60,4,01:30,MIN,96,86,substituicao_sai,Carioca 
61,4,01:30,MIN,96,86,FR,Coelho
62,4,01:30,BRA,96,86,FC,Deryk
63,4,01:34,MIN,96,86,RD, Coelho
64,4,01:34,BRA,96,86,2_Pts_T,Fulvio
65,4,01:40,BRA,96,86,,
66,4,01:40,MIN,96,86,ER,Coelho
67,4,02:07,BRA,96,86,EN,Ronald
68,4,02:07,BRA,96,84,,
69,4,02:12,MIN,96,84,substituicao_entra,Carioca 
70,4,02:12,MIN,96,84,substituicao_sai,Siqueira 
71,4,02:14,MIN,96,84,,
