,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,5,00:00,NaN.,86,82,fim_partida, 
1,5,00:00,CAX,86,82,2_Pts_T,Diego
2,5,00:00,CAX,86,82,RO, Diego
3,5,00:00,CAX,86,82,3_Pts_T,Alex
4,5,00:06,CAX,86,82,tempo_tecnico, Caxias do Sul
5,5,00:06,FRA,86,82,LL_Pts_C,Bruno
6,5,00:06,FRA,85,82,LL_Pts_C,Bruno
7,5,00:06,FRA,84,82,substituicao_entra,Isaac 
8,5,00:06,FRA,84,82,substituicao_sai,Schneider 
9,5,00:06,FRA,84,82,FR,Bruno
10,5,00:06,CAX,84,82,FC,Rubem
11,5,00:08,FRA,84,82,RD, Bruno
12,5,00:08,CAX,84,82,2_Pts_T,R  Stabile
13,5,00:12,CAX,84,82,RO, R  Stabile
14,5,00:12,CAX,84,82,3_Pts_T,Alex
15,5,00:33,CAX,84,82,BR,Rubem
16,5,00:33,FRA,84,82,ER,Schneider
17,5,00:56,CAX,84,82,LL_Pts_C,Vinícius
18,5,00:56,CAX,84,81,LL_Pts_C,Vinícius
19,5,00:56,CAX,84,80,substituicao_entra,Diego 
20,5,00:56,CAX,84,80,substituicao_sai,Tobias 
21,5,00:56,FRA,84,80,LL_Pts_T,Matheus
22,5,00:56,CAX,84,80,FR,Vinícius
23,5,00:56,FRA,84,80,FC,Schneider
24,5,00:58,CAX,84,80,BR,Vinícius
25,5,00:58,FRA,84,80,ER,Bruno
26,5,01:14,FRA,84,80,RO, Erick
27,5,01:14,FRA,84,80,LL_Pts_T,Matheus
28,5,01:14,FRA,84,80,FR,Matheus
29,5,01:14,CAX,84,80,FC,Rubem
30,5,01:33,FRA,84,80,RD, Matheus
31,5,01:33,CAX,84,80,3_Pts_T,Rubem
32,5,01:51,FRA,84,80,2_Pts_T,Antonio
33,5,01:51,FRA,84,80,LL_Pts_C,Erick
34,5,01:51,FRA,83,80,LL_Pts_T,Erick
35,5,01:51,FRA,83,80,FR,Erick
36,5,01:51,CAX,83,80,FC,Vinícius
37,5,02:13,CAX,83,80,LL_Pts_C,R  Stabile
38,5,02:13,CAX,83,79,LL_Pts_C,R  Stabile
39,5,02:13,CAX,83,78,FR,R  Stabile
40,5,02:13,FRA,83,78,FC,Antonio
41,5,02:28,FRA,83,78,LL_Pts_C,Bruno
42,5,02:28,FRA,82,78,LL_Pts_C,Bruno
43,5,02:28,FRA,81,78,substituicao_entra,Antonio 
44,5,02:28,FRA,81,78,substituicao_sai,Isaac 
45,5,02:28,CAX,81,78,substituicao_entra,Rubem 
46,5,02:28,CAX,81,78,substituicao_entra,Tobias 
47,5,02:28,CAX,81,78,substituicao_sai,Dida 
48,5,02:28,CAX,81,78,substituicao_sai,Diego 
49,5,02:28,FRA,81,78,FR,Bruno
50,5,02:28,CAX,81,78,FC,Diego
51,5,02:38,FRA,81,78,RD, Isaac
52,5,02:38,CAX,81,78,3_Pts_T,Diego
53,5,02:44,CAX,81,78,RD, Vinícius
54,5,02:44,CAX,81,78,TO,Diego
55,5,02:44,FRA,81,78,2_Pts_T,Bruno
56,5,03:07,FRA,81,78,RD, Erick
57,5,03:07,CAX,81,78,2_Pts_T,Diego
58,5,03:12,CAX,81,78,RO, Diego
59,5,03:12,CAX,81,78,2_Pts_T,Dida
60,5,03:24,CAX,81,78,RD, Diego
61,5,03:24,FRA,81,78,3_Pts_T,Isaac
62,5,03:48,FRA,81,78,RD, Schneider
63,5,03:48,CAX,81,78,2_Pts_T,Vinícius
64,5,04:04,FRA,81,78,LL_Pts_C,Bruno
65,5,04:04,FRA,80,78,LL_Pts_C,Bruno
66,5,04:07,FRA,79,78,FR,Bruno
67,5,04:07,CAX,79,78,FC,Diego
68,5,04:09,FRA,79,78,RD, Bruno
69,5,04:09,CAX,79,78,3_Pts_T,Alex
70,5,04:30,CAX,79,78,RD, Diego
71,5,04:30,FRA,79,78,LL_Pts_T,Matheus
72,5,04:30,FRA,79,78,LL_Pts_C,Matheus
73,5,04:30,CAX,78,78,substituicao_entra,Dida 
74,5,04:30,CAX,78,78,substituicao_sai,Gustavinho 
75,5,04:30,FRA,78,78,FR,Matheus
76,5,04:30,CAX,78,78,FC,Gustavinho
77,5,04:43,FRA,78,78,RD, Matheus
78,5,04:43,CAX,78,78,3_Pts_T,R  Stabile
79,5,05:00,CAX,78,78,substituicao_entra,R  Stabile 
80,5,05:00,CAX,78,78,substituicao_entra,Diego 
81,5,05:00,CAX,78,78,substituicao_entra,Alex 
82,5,05:00,CAX,78,78,substituicao_entra,Vinícius 
83,5,05:00,CAX,78,78,substituicao_entra,Gustavinho 
84,5,05:00,FRA,78,78,substituicao_entra,Isaac 
85,5,05:00,FRA,78,78,substituicao_entra,Erick 
86,5,05:00,FRA,78,78,substituicao_entra,Bruno 
87,5,05:00,FRA,78,78,substituicao_entra,Matheus 
88,5,05:00,FRA,78,78,substituicao_entra,Schneider 
89,5,05:00,CAX,78,78,substituicao_sai,R  Stabile 
90,5,05:00,CAX,78,78,substituicao_sai,Dida 
91,5,05:00,CAX,78,78,substituicao_sai,Diego 
92,5,05:00,CAX,78,78,substituicao_sai,Alex 
93,5,05:00,CAX,78,78,substituicao_sai,Gustavinho 
94,5,05:00,FRA,78,78,substituicao_sai,Isaac 
95,5,05:00,FRA,78,78,substituicao_sai,Erick 
96,5,05:00,FRA,78,78,substituicao_sai,Bruno 
97,5,05:00,FRA,78,78,substituicao_sai,Matheus 
98,5,05:00,FRA,78,78,substituicao_sai,Schneider 
99,4,00:00,NaN.,78,78,fim_quarto,  
100,4,00:02,FRA,78,78,substituicao_entra,Erick 
101,4,00:02,FRA,78,78,substituicao_sai,Antonio 
102,4,00:05,FRA,78,78,2_Pts_C,Schneider
103,4,00:05,FRA,76,78,,
104,4,00:08,FRA,76,78,tempo_tecnico, Franca
105,4,00:08,CAX,76,78,2_Pts_C,R  Stabile
106,4,00:08,CAX,76,76,,
107,4,00:25,CAX,76,76,RD, Alex
108,4,00:25,FRA,76,76,2_Pts_T,Matheus
109,4,00:38,FRA,76,76,RD, Matheus
110,4,00:38,CAX,76,76,2_Pts_T,Dida
111,4,00:45,CAX,76,76,RO, Dida
112,4,00:45,CAX,76,76,2_Pts_T,Diego
113,4,00:49,CAX,76,76,RO, Diego
114,4,00:49,CAX,76,76,2_Pts_T,Alex
115,4,01:13,CAX,76,76,RD, Diego
116,4,01:13,FRA,76,76,3_Pts_T,Schneider
117,4,01:35,CAX,76,76,2_Pts_C,Gustavinho
118,4,01:50,CAX,76,74,RO, Gustavinho
119,4,01:50,CAX,76,74,LL_Pts_T,Gustavinho
120,4,01:50,CAX,76,74,,
121,4,01:50,CAX,76,74,LL_Pts_C,Gustavinho
122,4,01:50,CAX,76,73,FR,Gustavinho
123,4,01:50,FRA,76,73,FC,Antonio
124,4,02:04,FRA,76,73,2_Pts_C,Schneider
125,4,02:04,FRA,74,73,,
126,4,02:18,CAX,74,73,3_Pts_C,Diego
127,4,02:18,CAX,74,70,,
128,4,02:25,CAX,74,70,RO, Alex
129,4,02:25,CAX,74,70,LL_Pts_T,Dida
130,4,02:25,CAX,74,70,LL_Pts_T,Dida
131,4,02:25,FRA,74,70,substituicao_entra,Antonio 
132,4,02:25,FRA,74,70,substituicao_sai,Kurtz 
133,4,02:25,FRA,74,70,tempo_tecnico, Franca
134,4,02:25,CAX,74,70,FR,Dida
135,4,02:25,FRA,74,70,FC,Kurtz
136,4,02:39,FRA,74,70,substituicao_entra,Matheus 
137,4,02:39,FRA,74,70,substituicao_sai,Thiaguinho 
138,4,02:39,CAX,74,70,,
139,4,02:39,FRA,74,70,ER,Thiaguinho
140,4,03:02,CAX,74,70,2_Pts_C,Gustavinho
141,4,03:17,CAX,74,68,RD, Diego
142,4,03:17,FRA,74,68,LL_Pts_T,Schneider
143,4,03:17,FRA,74,68,LL_Pts_C,Schneider
144,4,03:17,FRA,73,68,FR,Schneider
145,4,03:17,CAX,73,68,FC,Dida
146,4,03:21,FRA,73,68,BR,Thiaguinho
147,4,03:21,CAX,73,68,ER,Alex
148,4,03:41,CAX,73,68,LL_Pts_C,Diego
149,4,03:41,FRA,73,67,FC_T,Banco do Franca
150,4,03:45,CAX,73,67,BR,Gustavinho
151,4,03:45,FRA,73,67,ER,Isaac
152,4,03:52,CAX,73,67,LL_Pts_C,Alex
153,4,03:52,CAX,73,66,LL_Pts_C,Alex
154,4,03:52,CAX,73,65,FR,Alex
155,4,03:52,FRA,73,65,FC,Isaac
156,4,03:55,CAX,73,65,RO, Alex
157,4,03:55,CAX,73,65,2_Pts_T,Gustavinho
158,4,04:02,CAX,73,65,RD, Gustavinho
159,4,04:02,FRA,73,65,3_Pts_T,Thiaguinho
160,4,04:06,FRA,73,65,RO, Bruno
161,4,04:06,FRA,73,65,2_Pts_T,Bruno
162,4,04:23,FRA,73,65,RO, Franca
163,4,04:23,CAX,73,65,TO,Diego
164,4,04:23,FRA,73,65,2_Pts_T,Schneider
165,4,04:27,FRA,73,65,BR,Thiaguinho
166,4,04:27,CAX,73,65,ER,Gustavinho
167,4,04:45,FRA,73,65,LL_Pts_C,Bruno
168,4,04:45,FRA,72,65,LL_Pts_C,Bruno
169,4,04:45,FRA,71,65,substituicao_entra,Thiaguinho 
170,4,04:45,FRA,71,65,substituicao_sai,Matheus 
171,4,04:45,FRA,71,65,FR,Bruno
172,4,04:45,CAX,71,65,FC,Dida
173,4,04:57,CAX,71,65,2_Pts_C,Dida
174,4,04:57,CAX,71,63,,
175,4,05:13,CAX,71,63,RD, R  Stabile
176,4,05:13,FRA,71,63,3_Pts_T,Matheus
177,4,05:37,FRA,71,63,LL_Pts_T,Schneider
178,4,05:37,CAX,71,63,FC_T,Gustavinho
179,4,05:45,FRA,71,63,LL_Pts_C,Bruno
180,4,05:45,CAX,70,63,substituicao_sai,Marcão 
181,4,05:45,CAX,70,63,substituicao_entra,Dida 
182,4,05:45,CAX,70,63,FC_T,Banco do Caxias do Sul
183,4,05:45,FRA,70,63,FR,Kurtz
184,4,05:45,CAX,70,63,FC,Marcão
185,4,05:45,CAX,70,63,FR,Marcão
186,4,05:45,FRA,70,63,FC,Kurtz
187,4,05:52,CAX,70,63,RD, Diego
188,4,05:52,FRA,70,63,2_Pts_T,Isaac
189,4,06:13,CAX,70,63,2_Pts_C,Gustavinho
190,4,06:18,CAX,70,61,RO, Gustavinho
191,4,06:18,CAX,70,61,2_Pts_T,Marcão
192,4,06:35,CAX,70,61,substituicao_entra,Marcão 
193,4,06:35,CAX,70,61,substituicao_sai,Dida 
194,4,06:35,CAX,70,61,tempo_tecnico, Caxias do Sul
195,4,06:35,CAX,70,61,FR,Gustavinho
196,4,06:35,FRA,70,61,FC,Matheus
197,4,06:37,FRA,70,61,2_Pts_C,Schneider
198,4,06:42,FRA,68,61,FR,Schneider
199,4,06:42,CAX,68,61,FC,Alex
200,4,07:04,FRA,68,61,RD, Bruno
201,4,07:04,CAX,68,61,3_Pts_T,Alex
202,4,07:14,CAX,68,61,substituicao_entra,Gustavinho 
203,4,07:14,CAX,68,61,substituicao_sai,Vinícius 
204,4,07:14,CAX,68,61,FR,Alex
205,4,07:14,FRA,68,61,FC,Schneider
206,4,07:40,FRA,68,61,2_Pts_C,Bruno
207,4,08:03,FRA,66,61,,
208,4,08:03,CAX,66,61,ER,R  Stabile
209,4,08:16,CAX,66,61,,
210,4,08:16,FRA,66,61,ER,Matheus
211,4,08:18,FRA,66,61,RD, Matheus
212,4,08:18,CAX,66,61,2_Pts_T,Vinícius
213,4,08:42,CAX,66,61,BR,Alex
214,4,08:42,FRA,66,61,ER,Kurtz
215,4,08:57,FRA,66,61,,
216,4,08:57,CAX,66,61,ER,Alex
217,4,09:13,CAX,66,61,RD, Vinícius
218,4,09:13,FRA,66,61,LL_Pts_T,Kurtz
219,4,09:13,FRA,66,61,LL_Pts_T,Kurtz
220,4,09:13,FRA,66,61,FR,Kurtz
221,4,09:13,CAX,66,61,FC,Dida
222,4,09:27,FRA,66,61,RD, Isaac
223,4,09:27,CAX,66,61,3_Pts_T,Alex
224,4,09:41,CAX,66,61,RD, Caxias do Sul
225,4,09:41,FRA,66,61,3_Pts_T,Schneider
226,3,00:00,NaN.,66,61,fim_quarto, 
227,3,00:00,FRA,66,61,2_Pts_C,Schneider
228,3,00:19,FRA,64,61,RD, Thiaguinho
229,3,00:19,CAX,64,61,3_Pts_T,Vinícius
230,3,00:41,FRA,64,61,2_Pts_C,Kurtz
231,3,00:54,FRA,62,61,BR,Kurtz
232,3,00:54,CAX,62,61,ER,R  Stabile
233,3,01:08,FRA,62,61,LL_Pts_C,Bruno
234,3,01:08,FRA,61,61,LL_Pts_C,Bruno
235,3,01:08,FRA,60,61,FR,Bruno
236,3,01:08,CAX,60,61,FC,Vinícius
237,3,01:13,CAX,60,61,3_Pts_C,Vinícius
238,3,01:36,FRA,60,58,LL_Pts_C,Kurtz
239,3,01:36,FRA,59,58,LL_Pts_C,Kurtz
240,3,01:36,FRA,58,58,FR,Kurtz
241,3,01:36,CAX,58,58,FC,Vinícius
242,3,01:48,CAX,58,58,2_Pts_C,Alex
243,3,02:07,FRA,58,56,2_Pts_C,Antonio
244,3,02:17,CAX,56,56,2_Pts_C,R  Stabile
245,3,02:23,CAX,56,54,BR,R  Stabile
246,3,02:23,FRA,56,54,ER,Thiaguinho
247,3,02:31,CAX,56,54,LL_Pts_C,R  Stabile
248,3,02:31,CAX,56,53,LL_Pts_T,R  Stabile
249,3,02:31,CAX,56,53,FR,R  Stabile
250,3,02:31,FRA,56,53,FC,Kurtz
251,3,02:46,CAX,56,53,RD, Diego
252,3,02:46,FRA,56,53,LL_Pts_T,Antonio
253,3,02:46,FRA,56,53,LL_Pts_T,Antonio
254,3,02:46,CAX,56,53,substituicao_entra,Dida 
255,3,02:46,CAX,56,53,substituicao_sai,Marcão 
256,3,02:46,FRA,56,53,FR,Antonio
257,3,02:46,CAX,56,53,FC,Marcão
258,3,03:01,FRA,56,53,RD, Schneider
259,3,03:01,CAX,56,53,3_Pts_T,R  Stabile
260,3,03:27,FRA,56,53,2_Pts_C,Kurtz
261,3,03:48,FRA,54,53,RD, Bruno
262,3,03:48,CAX,54,53,LL_Pts_T,Marcão
263,3,03:48,CAX,54,53,LL_Pts_C,Marcão
264,3,03:48,FRA,54,52,substituicao_entra,Antonio 
265,3,03:48,FRA,54,52,substituicao_entra,Kurtz 
266,3,03:48,FRA,54,52,substituicao_sai,João Pedro 
267,3,03:48,FRA,54,52,substituicao_sai,Cauê 
268,3,03:48,CAX,54,52,FR,Marcão
269,3,03:48,FRA,54,52,FC,João Pedro
270,3,04:02,FRA,54,52,LL_Pts_C,Bruno
271,3,04:02,FRA,53,52,LL_Pts_T,Bruno
272,3,04:02,FRA,53,52,FR,Bruno
273,3,04:02,CAX,53,52,FC,R  Stabile
274,3,04:23,CAX,53,52,LL_Pts_C,Marcão
275,3,04:23,CAX,53,51,LL_Pts_C,Marcão
276,3,04:23,CAX,53,50,substituicao_entra,Vinícius 
277,3,04:23,CAX,53,50,substituicao_sai,Gustavinho 
278,3,04:23,CAX,53,50,FR,Marcão
279,3,04:23,FRA,53,50,FC,João Pedro
280,3,04:38,FRA,53,50,LL_Pts_C,Bruno
281,3,04:38,FRA,52,50,LL_Pts_C,Bruno
282,3,04:38,FRA,51,50,FR,Bruno
283,3,04:38,CAX,51,50,FC,Alex
284,3,04:38,FRA,51,50,BR,Bruno
285,3,04:38,CAX,51,50,ER,R  Stabile
286,3,04:38,CAX,51,50,RD, R  Stabile
287,3,04:38,FRA,51,50,3_Pts_T,Schneider
288,3,04:48,FRA,51,50,RO, Cauê
289,3,04:48,FRA,51,50,3_Pts_T,Thiaguinho
290,3,05:17,CAX,51,50,LL_Pts_C,Gustavinho
291,3,05:17,CAX,51,49,LL_Pts_T,Gustavinho
292,3,05:17,CAX,51,49,FR,Gustavinho
293,3,05:17,FRA,51,49,FC,Schneider
294,3,05:20,CAX,51,49,BR,Diego
295,3,05:20,FRA,51,49,ER,Cauê
296,3,05:32,CAX,51,49,LL_Pts_C,Marcão
297,3,05:32,CAX,51,48,,
298,3,05:32,CAX,51,48,LL_Pts_C,Marcão
299,3,05:32,FRA,51,47,substituicao_entra,João Pedro 
300,3,05:32,FRA,51,47,substituicao_entra,Cauê 
301,3,05:32,FRA,51,47,substituicao_sai,Isaac 
302,3,05:32,FRA,51,47,substituicao_sai,Erick 
303,3,05:32,CAX,51,47,FR,Marcão
304,3,05:32,FRA,51,47,FC,Erick
305,3,05:53,CAX,51,47,RD, Diego
306,3,05:53,FRA,51,47,3_Pts_T,Isaac
307,3,06:11,CAX,51,47,,
308,3,06:11,CAX,51,47,LL_Pts_C,Alex
309,3,06:11,CAX,51,46,LL_Pts_T,Alex
310,3,06:11,CAX,51,46,FR,Alex
311,3,06:11,FRA,51,46,FC,Thiaguinho
312,3,06:16,CAX,51,46,RD, Diego
313,3,06:16,CAX,51,46,TO,Diego
314,3,06:16,FRA,51,46,2_Pts_T,Erick
315,3,06:33,CAX,51,46,2_Pts_C,Marcão
316,3,06:52,CAX,51,44,RD, Marcão
317,3,06:52,FRA,51,44,3_Pts_T,Isaac
318,3,07:07,FRA,51,44,FR,Isaac
319,3,07:07,CAX,51,44,FC,Diego
320,3,07:13,CAX,51,44,LL_Pts_C,R  Stabile
321,3,07:13,CAX,51,43,,
322,3,07:13,CAX,51,43,LL_Pts_C,R  Stabile
323,3,07:13,CAX,51,42,FR,R  Stabile
324,3,07:13,FRA,51,42,FC,Erick
325,3,07:19,CAX,51,42,RD, Diego
326,3,07:19,FRA,51,42,2_Pts_T,Thiaguinho
327,3,07:40,CAX,51,42,2_Pts_C,Gustavinho
328,3,07:56,CAX,51,40,RO, Gustavinho
329,3,07:56,CAX,51,40,3_Pts_T,Alex
330,3,08:06,FRA,51,40,3_Pts_C,Bruno
331,3,08:06,FRA,48,40,,
332,3,08:16,FRA,48,40,RD, Schneider
333,3,08:16,CAX,48,40,3_Pts_T,R  Stabile
334,3,08:30,FRA,48,40,2_Pts_C,Bruno
335,3,08:30,FRA,46,40,,
336,3,08:39,CAX,46,40,2_Pts_C,Gustavinho
337,3,09:02,FRA,46,38,EN,Erick
338,3,09:02,FRA,44,38,,
339,3,09:12,CAX,44,38,LL_Pts_C,Marcão
340,3,09:12,CAX,44,37,LL_Pts_C,Marcão
341,3,09:12,CAX,44,36,FR,Marcão
342,3,09:12,FRA,44,36,FC,Erick
343,3,09:33,FRA,44,36,2_Pts_C,Erick
344,3,09:46,FRA,42,36,FR,Thiaguinho
345,3,09:46,CAX,42,36,FC,Gustavinho
346,3,09:54,FRA,42,36,FR,Erick
347,3,09:54,CAX,42,36,FC_O,Marcão
