,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,5,00:00,NaN.,91,84,fim_partida, 
1,5,00:00,MIN,91,84,FR, Sosa
2,5,00:00,SJO,91,84,FC, (4 falta(s) - Equipe: 28 falta(s))Bruno Ferreira
3,5,00:00,SJO,91,84,FR, Bruno Ferreira
4,5,00:00,MIN,91,84,FC, (4 falta(s) - Equipe: 27 falta(s))Panunzio
5,5,00:04,MIN,91,84,8 - 87 5% - Equipe: 19, (7
6,5,00:04,SJO,90,84,substituicao_entra,Bruno Ferreira 
7,5,00:04,SJO,90,84,substituicao_sai,Matheus Dalla 
8,5,00:04,MIN,90,84,7 - 85 7% - Equipe: 18, (6
9,5,00:04,MIN,89,84,FC_T, (4 falta(s) - Equipe: 26 falta(s))Shilton
10,5,00:04,SJO,89,84,FC_T, (4 falta(s) - Equipe: 27 falta(s))Matheus Dalla
11,5,00:04,MIN,89,84,FR, Sosa
12,5,00:04,SJO,89,84,FC_A, (3 falta(s) - Equipe: 26 falta(s))Matheus Dalla
13,5,00:10,MIN,89,84,substituicao_entra,Panunzio 
14,5,00:10,MIN,89,84,substituicao_sai,Rafael 
15,5,00:10,MIN,89,84,FR, Coelho
16,5,00:10,SJO,89,84,FC_O, (3 falta(s) - Equipe: 25 falta(s))Cauê
17,5,00:16,MIN,89,84,6 - 83 3% - Equipe: 17, (5
18,5,00:16,MIN,88,84,5 - 80 0% - Equipe: 16, (4
19,5,00:16,MIN,87,84,substituicao_entra,Rafael 
20,5,00:16,MIN,87,84,substituicao_sai,Léo Demétrio 
21,5,00:16,SJO,87,84,substituicao_sai,César 
22,5,00:16,SJO,87,84,substituicao_entra,Arthur 
23,5,00:16,MIN,87,84,FR, Sosa
24,5,00:16,SJO,87,84,FC, (5 falta(s) - Equipe: 24 falta(s))César
25,5,00:21,MIN,87,84,RD, (1rebote(s) - Equipe: 36 rebote(s))(Duplo-Duplo)Shilton
26,5,00:21,SJO,87,84,3 - 33 3% - Equipe: 18, (1
27,5,00:31,SJO,87,84,substituicao_entra,Cauê 
28,5,00:31,SJO,87,84,substituicao_sai,Gustavo 
29,5,00:31,MIN,87,84,substituicao_entra,Léo Demétrio 
30,5,00:31,MIN,87,84,substituicao_sai,Ansaloni 
31,5,00:31,MIN,87,84,substituicao_entra,Sosa 
32,5,00:31,MIN,87,84,substituicao_sai,Léo Demétrio 
33,5,00:31,MIN,87,84,substituicao_sai,Sosa 
34,5,00:31,MIN,87,84,substituicao_entra,Léo Demétrio 
35,5,00:32,SJO,87,84,tempo_tecnico, São José
36,5,00:32,MIN,87,84,12 - 75 0% - Equipe: 24, (9
37,5,00:32,MIN,85,84,AS,Sosa (3 assistência(s) - Equipe:5 assistência(s))
38,5,00:46,SJO,85,84,substituicao_entra,Gustavo 
39,5,00:46,SJO,85,84,substituicao_sai,Cauê 
40,5,00:46,MIN,85,84,substituicao_entra,Sosa 
41,5,00:46,MIN,85,84,substituicao_sai,Pitico 
42,5,00:46,SJO,85,84,ER, Pedro
43,5,01:05,MIN,85,84,6 - 83 3% - Equipe: 15, (5
44,5,01:05,MIN,84,84,5 - 80 0% - Equipe: 14, (4
45,5,01:05,MIN,83,84,substituicao_entra,Pitico 
46,5,01:05,MIN,83,84,substituicao_sai,Sosa 
47,5,01:05,SJO,83,84,substituicao_entra,Pedro 
48,5,01:05,SJO,83,84,substituicao_sai,Gustavo 
49,5,01:05,MIN,83,84,FR, Shilton
50,5,01:05,SJO,83,84,FC, (2 falta(s) - Equipe: 23 falta(s))Matheus Dalla
51,5,01:19,SJO,83,84,4 - 50 0% - Equipe: 18, (2
52,5,01:19,MIN,83,83,substituicao_entra,Ansaloni 
53,5,01:19,MIN,83,83,substituicao_sai,Léo Demétrio 
54,5,01:51,SJO,83,83,9 - 77 8% - Equipe: 18, (7
55,5,01:51,SJO,83,81,FR, Renato C 
56,5,01:51,MIN,83,81,FC, (4 falta(s) - Equipe: 25 falta(s))Léo Demétrio
57,5,01:52,SJO,83,81,RO, (5 rebote(s) - Equipe: 33 rebote(s))Matheus Dalla
58,5,01:52,SJO,83,81,6 - 33 3% - Equipe: 10, (2
59,5,01:52,MIN,83,81,4 - 75 0% - Equipe: 23, (3
60,5,01:59,SJO,81,81,substituicao_entra,Gustavo 
61,5,01:59,SJO,81,81,substituicao_sai,Pedro 
62,5,02:03,SJO,81,81,11 - 90 9% - Equipe: 17, (10
63,5,02:03,SJO,81,80,10 - 90 0% - Equipe: 16, (9
64,5,02:03,SJO,81,80,FR, Pedro
65,5,02:03,MIN,81,80,FC, (4 falta(s) - Equipe: 24 falta(s))Siqueira
66,5,02:16,MIN,81,80,11 - 45 5% - Equipe: 22, (5
67,5,02:16,MIN,79,80,AS,Coelho (6 assistência(s) - Equipe:4 assistência(s))
68,5,02:39,MIN,79,80,RD, (2 rebote(s) - Equipe: 35 rebote(s))Sosa
69,5,02:39,SJO,79,80,5 - 40 0% - Equipe: 10, (2
70,5,02:57,SJO,79,80,RD, (2 rebote(s) - Equipe: 32 rebote(s))César
71,5,02:57,MIN,79,80,15 - 40 0% - Equipe: 8, (6
72,5,03:14,SJO,79,80,3 - 66 7% - Equipe: 17, (2
73,5,03:14,SJO,79,78,AS,Pedro (assistência(s) - Equipe:2 assistência(s))
74,5,03:16,MIN,79,78,substituicao_entra,Sosa 
75,5,03:16,MIN,79,78,substituicao_sai,Pitico 
76,5,03:34,MIN,79,78,substituicao_entra,Pitico 
77,5,03:34,MIN,79,78,substituicao_sai,Sosa 
78,5,03:39,MIN,79,78,14 - 42 9% - Equipe: 8, (6
79,5,03:39,MIN,76,78,AS,Siqueira (2 assistência(s) - Equipe:3 assistência(s))
80,5,03:50,MIN,76,78,RD, (10 rebote(s) - Equipe: 34 rebote(s))Shilton
81,5,03:50,MIN,76,78,TO, Siqueira
82,5,03:50,SJO,76,78,8 - 62 5% - Equipe: 16, (5
83,5,04:00,SJO,76,78,RD, (9 rebote(s) - Equipe: 3rebote(s))Cauê
84,5,04:00,MIN,76,78,3 - 33 3% - Equipe: 7, (1
85,5,04:20,SJO,76,78,6 - 100 0% - Equipe: 16, (6
86,5,04:20,SJO,76,77,5 - 100 0% - Equipe: 15, (5
87,5,04:20,SJO,76,76,FR, César
88,5,04:20,MIN,76,76,FC, (3 falta(s) - Equipe: 23 falta(s))Léo Demétrio
89,5,04:41,SJO,76,76,,
90,5,04:41,MIN,76,76,ER, Shilton
91,5,05:00,MIN,76,76,substituicao_entra,Siqueira 
92,5,05:00,MIN,76,76,substituicao_entra,Sosa 
93,5,05:00,MIN,76,76,substituicao_entra,Léo Demétrio 
94,5,05:00,MIN,76,76,substituicao_entra,Coelho 
95,5,05:00,MIN,76,76,substituicao_entra,Shilton 
96,5,05:00,SJO,76,76,substituicao_entra,Renato C  
97,5,05:00,SJO,76,76,substituicao_entra,Pedro 
98,5,05:00,SJO,76,76,substituicao_entra,Cauê 
99,5,05:00,SJO,76,76,substituicao_entra,Matheus Dalla 
100,5,05:00,SJO,76,76,substituicao_entra,César 
