,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,104,74,fim_partida, 
1,4,00:19,SJO,104,74,3 - 66 7% - Equipe: 19, (2
2,4,00:36,BAU,104,72,4 - 75 0% - Equipe: 16, (3
3,4,00:36,BAU,102,72,AS,Gui Santos (assistência(s) - Equipe: 26 assistência(s))
4,4,00:42,BAU,102,72,RD, (rebote(s) - Equipe: 3rebote(s))Felipe
5,4,00:42,SJO,102,72,3 - 33 3% - Equipe: 18, (1
6,4,00:59,BAU,102,72,2 - 50 0% - Equipe: 18, (1
7,4,00:59,BAU,101,72,1 - 0 0% - Equipe: 17, (0
8,4,00:59,SJO,101,72,substituicao_entra,Juan 
9,4,00:59,SJO,101,72,substituicao_sai,Bruno Ferreira 
10,4,00:59,BAU,101,72,FR, Labbate
11,4,00:59,SJO,101,72,FC, (falta(s) - Equipe: 24 falta(s))Jonathan
12,4,01:13,SJO,101,72,2 - 50 0% - Equipe: 18, (1
13,4,01:17,SJO,101,70,RO, (rebote(s) - Equipe:7 rebote(s))Pedrinho
14,4,01:17,SJO,101,70,2 - 50 0% - Equipe: 17, (1
15,4,01:31,SJO,101,70,RD, (2 rebote(s) - Equipe:6 rebote(s))Bruno Ferreira
16,4,01:31,BAU,101,70,1 - 0 0% - Equipe: 18, (0
17,4,01:56,SJO,101,70,2 - 50 0% - Equipe: 18, (1
18,4,01:56,SJO,101,69,1 - 0 0% - Equipe: 17, (0
19,4,01:56,SJO,101,69,substituicao_sai,Gustavo 
20,4,01:56,SJO,101,69,substituicao_entra,Pedrinho 
21,4,01:56,SJO,101,69,FR, Bruno Ferreira
22,4,01:56,BAU,101,69,FC, (falta(s) - Equipe: 24 falta(s))Felipe
23,4,02:06,SJO,101,69,RO, (rebote(s) - Equipe:5 rebote(s))Jonathan
24,4,02:06,SJO,101,69,1 - 0 0% - Equipe: 17, (0
25,4,02:06,SJO,101,69,FR, Jonathan
26,4,02:06,BAU,101,69,FC, (falta(s) - Equipe: 23 falta(s))Gui Santos
27,4,02:06,SJO,101,69,1 - 100 0% - Equipe: 17, (1
28,4,02:06,SJO,101,67,AS,Matheus Dalla (2 assistência(s) - Equipe:4 assistência(s))
29,4,02:30,BAU,101,67,3 - 66 7% - Equipe: 15, (2
30,4,02:30,BAU,99,67,AS,Paulinho Boracini (4 assistência(s) - Equipe: 25 assistência(s))
31,4,02:46,BAU,99,67,RD, (rebote(s) - Equipe: 30 rebote(s))Labbate
