,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,,66,52,fim_partida, 
1,4,00:04,MIN,66,52,RD,Xande (2 rebote(s) - Equipe: 35 rebote(s))
2,4,00:09,CAX,66,52,3_Pts_T,Marcão (0/3 - 0.0% - Equipe: 7/28 - 25.0%)
3,4,00:20,CAX,66,52,FR,Diego 
4,4,00:20,MIN,66,52,FC,Wesley (4 falta(s) - Equipe: 22 falta(s))
5,4,00:32,CAX,66,52,RD,Diego (5 rebote(s) - Equipe: 43 rebote(s))
6,4,00:35,MIN,66,52,2_Pts_T,Wesley (1/2 - 50.0% - Equipe: 11/34 - 32.4%)
7,4,00:41,MIN,66,52,RD,P. Macedo (3 rebote(s) - Equipe: 34 rebote(s))
8,4,00:46,CAX,66,52,3_Pts_T,Guto (1/4 - 25.0% - Equipe: 7/27 - 25.9%)
9,4,00:57,MIN,66,52,substituicao_entra,Xande 
10,4,00:57,MIN,66,52,substituicao_sai,Rodgers 
11,4,00:57,CAX,66,52,tempo_tecnico,Caxias do Sul
12,4,00:57,MIN,66,52,LL_Pts_C,Rodgers (5/5 - 100.0% - Equipe: 9/9 - 100.0%)
13,4,00:57,MIN,66,51,LL_Pts_C,Rodgers (4/4 - 100.0% - Equipe: 8/8 - 100.0%)
14,4,00:57,MIN,66,50,substituicao_entra,Panunzio 
15,4,00:57,MIN,66,50,substituicao_sai,Siqueira 
16,4,00:57,MIN,66,50,substituicao_entra,Matheus P 
17,4,00:57,MIN,66,50,substituicao_sai,Maynard 
18,4,00:57,MIN,66,50,substituicao_entra,Wesley 
19,4,00:57,MIN,66,50,substituicao_sai,Mosso 
20,4,00:57,MIN,66,50,FR,Rodgers 
21,4,00:57,CAX,66,50,FC,Vinícius (4 falta(s) - Equipe: 18 falta(s))
22,4,01:03,CAX,66,50,AS,Marcão (3 assistência(s) - Equipe: 19 assistência(s))(Duplo-Duplo)
23,4,01:03,CAX,66,50,3_Pts_C,Diego (2/6 - 33.3% - Equipe: 7/26 - 26.9%)
24,4,01:17,CAX,63,50,RD,Diego (4 rebote(s) - Equipe: 42 rebote(s))
25,4,01:22,MIN,63,50,2_Pts_T,P. Macedo (2/5 - 40.0% - Equipe: 11/33 - 33.3%)
26,4,01:40,CAX,63,50,AS,Marcão (2 assistência(s) - Equipe: 18 assistência(s))(Duplo-Duplo)
27,4,01:40,CAX,63,50,EN,Diego(1/2 - 50.0% - Equipe: 17/35 - 48.6%)
28,4,02:01,MIN,61,50,AS,Rodgers (4 assistência(s) - Equipe: 14 assistência(s))
29,4,02:01,MIN,61,50,3_Pts_C,Maynard (2/5 - 40.0% - Equipe: 7/22 - 31.8%)
30,4,02:19,CAX,61,47,AS,Vinícius (6 assistência(s) - Equipe: 17 assistência(s))
31,4,02:19,CAX,61,47,2_Pts_C,R. Stabile (2/4 - 50.0% - Equipe: 16/34 - 47.1%)(Duplo-Duplo)
32,4,02:29,CAX,59,47,RO,Marcão (11 rebote(s) - Equipe: 41 rebote(s))(Duplo-Duplo)
33,4,02:32,CAX,59,47,3_Pts_T,R. Stabile (2/5 - 40.0% - Equipe: 6/25 - 24.0%)
34,4,02:38,MIN,59,47,tempo_tecnico,Minas
35,4,02:38,MIN,59,47,ER,Rodgers 
36,4,02:44,MIN,59,47,BR,Mosso 
37,4,02:44,CAX,59,47,ER,Guto 
38,4,03:00,MIN,59,47,ER,Rodgers andou com a bola 
39,4,03:03,MIN,59,47,RO,Rodgers (8 rebote(s) - Equipe: 33 rebote(s))
40,4,03:09,MIN,59,47,2_Pts_T,Rodgers (2/8 - 25.0% - Equipe: 11/32 - 34.4%)
41,4,03:17,MIN,59,47,RD,Maynard (6 rebote(s) - Equipe: 32 rebote(s))
42,4,03:20,CAX,59,47,2_Pts_T,Guto (0/3 - 0.0% - Equipe: 15/33 - 45.5%)
43,4,03:41,MIN,59,47,AS,Mosso (3 assistência(s) - Equipe: 13 assistência(s))
44,4,03:41,MIN,59,47,3_Pts_C,P. Macedo (4/5 - 80.0% - Equipe: 6/21 - 28.6%)
45,4,04:05,CAX,59,44,AS,Vinícius (5 assistência(s) - Equipe: 16 assistência(s))
46,4,04:05,CAX,59,44,2_Pts_C,R. Stabile (1/3 - 33.3% - Equipe: 15/32 - 46.9%)
