,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,84,85,fim_partida, 
1,4,00:03,FLA,84,85,RD, Flamengo
2,4,00:03,FRA,84,85,5 - 0 0% - Equipe: 8, (0
3,4,7,FRA,84,85,substituicao_entra,Pedro 
4,4,7,FRA,84,85,substituicao_sai,Alexey 
5,4,00:07,FRA,84,85,tempo_tecnico, Franca
6,4,00:07,FRA,84,85,4 - 50 0% - Equipe: 24, (2
7,4,00:07,FRA,83,85,3 - 33 3% - Equipe: 23, (1
8,4,00:07,FRA,83,85,FR, Alexey
9,4,00:07,FLA,83,85,FC_A, (4 falta(s) - Equipe: 24 falta(s))Olivinha
10,4,00:07,FRA,83,85,BR, Alexey
11,4,00:07,FLA,83,85,ER, Marquinhos
12,4,00:07,FLA,83,85,RD, Flamengo
13,4,00:07,FRA,83,85,3 - 33 3% - Equipe: 8, (1
14,4,9,FRA,83,85,substituicao_entra,Cipolini 
15,4,9,FRA,83,85,substituicao_sai,Du Sommer 
16,4,9,FLA,83,85,substituicao_entra,Mineiro 
17,4,9,FLA,83,85,substituicao_sai,Batista 
18,4,00:09,FRA,83,85,tempo_tecnico, Franca
19,4,00:09,FLA,83,85,,
20,4,00:10,FLA,83,85,tempo_tecnico, Flamengo
21,4,00:10,FRA,83,85,4 - 100 0% - Equipe: 23, (4
22,4,00:10,FRA,82,85,3 - 100 0% - Equipe: 22, (3
23,4,00:10,FRA,81,85,FR, Cauê
24,4,00:10,FLA,81,85,FC, (3 falta(s) - Equipe: 23 falta(s))Olivinha
25,4,00:10,FRA,81,85,RD, Franca
26,4,00:10,FLA,81,85,10 - 50 0% - Equipe: 7, (5
27,4,00:37,FRA,81,85,2 - 50 0% - Equipe: 21, (1
28,4,00:37,FRA,80,85,1 - 0 0% - Equipe: 20, (0
29,4,00:37,FRA,80,85,FR, Alexey
30,4,00:37,FLA,80,85,FC, (2 falta(s) - Equipe: 22 falta(s))Ramon
31,4,00:37,FRA,80,85,BR, Alexey
32,4,00:37,FLA,80,85,ER, Marcelinho
33,4,00:38,FLA,80,85,7 - 85 7% - Equipe: 24, (6
34,4,00:38,FRA,80,84,FC_T, (2 falta(s) - Equipe: 25 falta(s))Técnico do Franca
35,4,00:38,FLA,80,84,FR, Marquinhos
36,4,00:38,FRA,80,84,FC, (4 falta(s) - Equipe: 24 falta(s))Du Sommer
37,4,00:43,FRA,80,84,BR, Alexey
38,4,00:43,FLA,80,84,,
39,4,00:43,FRA,80,84,AS,Alexey (4 assist√™ncia(s) - Equipe:3 assist√™ncia(s))
40,4,00:43,FRA,80,84,4 - 75 0% - Equipe: 18, (3
41,4,00:59,FRA,78,84,8 - 100 0% - Equipe: 20, (8
42,4,00:59,FRA,77,84,7 - 100 0% - Equipe: 19, (7
43,4,00:59,FRA,76,84,FR, Coelho
44,4,00:59,FLA,76,84,FC, (3 falta(s) - Equipe: 2falta(s))Batista
45,4,01:16,FLA,76,84,AS,Batista (3 assist√™ncia(s) - Equipe:9 assist√™ncia(s))
46,4,01:21,FLA,76,84,8 - 75 0% - Equipe: 20, (6
47,4,01:35,FLA,76,82,FR, Marcelinho
48,4,01:42,FLA,76,82,tempo_tecnico, Flamengo
49,4,01:42,FRA,76,82,6 - 100 0% - Equipe: 18, (6
50,4,01:42,FRA,75,82,5 - 100 0% - Equipe: 17, (5
51,4,01:42,FRA,74,82,FR, Coelho
52,4,01:42,FLA,74,82,ER, Olivinha
53,4,01:42,FLA,74,82,FC_O, (2 falta(s) - Equipe: 20 falta(s))Olivinha
54,4,02:08,FRA,74,82,6 - 66 7% - Equipe: 17, (4
55,4,02:11,FRA,72,82,RD, (2 rebote(s) - Equipe: 27 rebote(s))Alexey
56,4,02:13,FLA,72,82,4 - 25 0% - Equipe: 19, (1
57,4,02:15,FLA,72,82,RO, (2 rebote(s) - Equipe: 36 rebote(s))Batista
58,4,02:18,FLA,72,82,2 - 0 0% - Equipe: 7, (0
59,4,02:35,FRA,72,82,AS,Alexey (3 assist√™ncia(s) - Equipe:2 assist√™ncia(s))
60,4,02:43,FRA,72,82,5 - 60 0% - Equipe: 16, (3
61,4,02:46,FRA,70,82,RD, (rebote(s) - Equipe: 26 rebote(s))Alexey
62,4,02:51,FLA,70,82,10 - 50 0% - Equipe: 19, (5
63,4,253,FLA,70,82,substituicao_entra,Marcelinho 
64,4,253,FLA,70,82,substituicao_sai,Danilo 
65,4,02:53,FLA,70,82,FR, Danilo
66,4,02:53,FRA,70,82,FC, (3 falta(s) - Equipe: 23 falta(s))Du Sommer
67,4,03:00,FRA,70,82,7 - 28 6% - Equipe: 8, (2
68,4,03:03,FRA,67,82,RO, (5 rebote(s) - Equipe: 25 rebote(s))Antonio
69,4,03:06,FRA,67,82,6 - 16 7% - Equipe: 7, (1
70,4,03:16,FLA,67,82,AS,Batista (2 assist√™ncia(s) - Equipe:8 assist√™ncia(s))
71,4,03:23,FLA,67,82,1 - 100 0% - Equipe: 19, (1
72,4,03:26,FRA,67,80,2 - 100 0% - Equipe: 16, (2
73,4,03:26,FRA,66,80,1 - 100 0% - Equipe: 15, (1
74,4,326,FLA,65,80,substituicao_entra,Danilo 
75,4,326,FLA,65,80,substituicao_sai,Marcelinho 
76,4,03:26,FRA,65,80,FR, Cauê
77,4,03:26,FLA,65,80,FC, (3 falta(s) - Equipe:9 falta(s))Marquinhos
78,4,03:30,FRA,65,80,BR, Du Sommer
79,4,03:32,FLA,65,80,ER, Batista
80,4,03:49,FLA,65,80,6 - 83 3% - Equipe: 23, (5
81,4,03:49,FRA,65,79,FC_T, (2 falta(s) - Equipe: 22 falta(s))Du Sommer
82,4,03:49,FLA,65,79,AS,Olivinha (2 assist√™ncia(s) - Equipe:7 assist√™ncia(s))
83,4,03:49,FLA,65,79,6 - 50 0% - Equipe: 18, (3
84,4,356,FLA,65,77,substituicao_entra,Batista 
85,4,356,FLA,65,77,substituicao_sai,Mineiro 
86,4,03:56,FRA,65,77,4 - 100 0% - Equipe: 14, (4
87,4,03:56,FRA,64,77,3 - 100 0% - Equipe: 13, (3
88,4,356,FLA,63,77,substituicao_entra,Marcelinho 
89,4,356,FLA,63,77,substituicao_sai,Danilo 
90,4,03:56,FRA,63,77,FR, Antonio
91,4,03:56,FLA,63,77,FC, (3 falta(s) - Equipe:8 falta(s))Mineiro
92,4,404,FRA,63,77,substituicao_entra,Alexey 
93,4,404,FRA,63,77,substituicao_sai,Pedro 
94,4,404,FRA,63,77,substituicao_entra,Cauê 
95,4,404,FRA,63,77,substituicao_sai,Cipolini 
96,4,04:09,FRA,63,77,RD, (5 rebote(s) - Equipe: 24 rebote(s))Pedro
97,4,04:11,FLA,63,77,8 - 25 0% - Equipe: 7, (2
98,4,04:31,FLA,63,77,RD, (2 rebote(s) - Equipe: 35 rebote(s))Mineiro
99,4,04:34,FRA,63,77,5 - 40 0% - Equipe: 15, (2
100,4,04:52,FLA,63,77,7 - 28 6% - Equipe: 7, (2
101,4,05:01,FLA,63,74,RO, (rebote(s) - Equipe: 34 rebote(s))Danilo
102,4,05:04,FLA,63,74,4 - 50 0% - Equipe: 17, (2
103,4,05:28,FRA,63,74,5 - 20 0% - Equipe: 7, (1
104,4,05:37,FLA,60,74,3 - 66 7% - Equipe: 17, (2
105,4,05:48,FLA,60,72,2 - 50 0% - Equipe: 16, (1
106,4,06:06,FLA,60,72,RD, (9 rebote(s) - Equipe: 33 rebote(s))Olivinha
107,4,06:10,FRA,60,72,7 - 28 6% - Equipe: 15, (2
108,4,631,FLA,60,72,substituicao_entra,Marquinhos 
109,4,631,FLA,60,72,substituicao_sai,Marcelinho 
110,4,06:31,FRA,60,72,2 - 100 0% - Equipe: 12, (2
111,4,06:31,FRA,59,72,1 - 100 0% - Equipe: 11, (1
112,4,06:31,FRA,58,72,FR, Antonio
113,4,06:31,FLA,58,72,FC_A, (4 falta(s) - Equipe:7 falta(s))Marcelinho
114,4,06:44,FLA,58,72,AS,Marcelinho (4 assist√™ncia(s) - Equipe:6 assist√™ncia(s))
115,4,06:48,FLA,58,72,7 - 71 4% - Equipe: 16, (5
116,4,657,FLA,58,70,substituicao_entra,Danilo 
117,4,657,FLA,58,70,substituicao_sai,Marquinhos 
118,4,657,FRA,58,70,substituicao_entra,Du Sommer 
119,4,657,FRA,58,70,substituicao_sai,Cesar 
120,4,06:57,FRA,58,70,tempo_tecnico, Franca
121,4,06:57,FLA,58,70,RD, Flamengo
122,4,06:57,FRA,58,70,4 - 0 0% - Equipe: 6, (0
123,4,07:10,FLA,58,70,6 - 66 7% - Equipe: 15, (4
124,4,07:13,FLA,58,68,RO, (8 rebote(s) - Equipe: 3rebote(s))Olivinha
125,4,07:16,FLA,58,68,5 - 40 0% - Equipe: 14, (2
126,4,07:21,FLA,58,68,RD, (7 rebote(s) - Equipe: 30 rebote(s))Marcelinho
127,4,07:22,FLA,58,68,TO, Mineiro
128,4,07:27,FRA,58,68,6 - 33 3% - Equipe: 15, (2
129,4,07:33,FRA,58,68,RD, (2 rebote(s) - Equipe: 23 rebote(s))Coelho
130,4,07:35,FLA,58,68,1 - 0 0% - Equipe: 6, (0
131,4,07:59,FRA,58,68,AS,Antonio (assist√™ncia(s) - Equipe:assist√™ncia(s))
132,4,08:02,FRA,58,68,8 - 75 0% - Equipe: 15, (6
133,4,08:12,FLA,56,68,AS,Marcelinho (3 assist√™ncia(s) - Equipe:5 assist√™ncia(s))
134,4,08:14,FLA,56,68,1 - 100 0% - Equipe: 14, (1
135,4,08:30,FRA,56,66,AS,Cesar (2 assist√™ncia(s) - Equipe:0 assist√™ncia(s))
136,4,08:33,FRA,56,66,7 - 57 1% - Equipe: 6, (4
137,4,08:43,FRA,53,66,FR, Antonio
138,4,08:43,FLA,53,66,FC, (2 falta(s) - Equipe:6 falta(s))Marquinhos
139,4,08:51,FLA,53,66,9 - 88 9% - Equipe: 22, (8
140,4,08:51,FLA,53,65,8 - 87 5% - Equipe: 21, (7
141,4,08:51,FLA,53,64,7 - 85 7% - Equipe: 20, (6
142,4,08:51,FLA,53,63,FR, Marquinhos
143,4,08:51,FRA,53,63,FC, (4 falta(s) - Equipe: 2falta(s))Antonio
144,4,09:06,FLA,53,63,RD, (rebote(s) - Equipe: 29 rebote(s))Mineiro
145,4,09:09,FRA,53,63,3 - 33 3% - Equipe: 14, (1
146,4,09:17,FRA,53,63,RD, (6 rebote(s) - Equipe: 22 rebote(s))Cipolini
147,4,09:20,FLA,53,63,1 - 0 0% - Equipe: 6, (0
148,4,09:35,FLA,53,63,RD, (7 rebote(s) - Equipe: 28 rebote(s))Olivinha
149,4,09:37,FRA,53,63,5 - 20 0% - Equipe: 5, (1
150,4,09:44,FRA,53,63,RD, (4 rebote(s) - Equipe: 2rebote(s))Pedro
151,4,09:46,FLA,53,63,9 - 55 6% - Equipe: 6, (5
152,4,10:00,NaN.,53,63,inicio_quarto, 
153,3,0,FLA,53,63,substituicao_entra,Marcelinho 
154,3,0,FLA,53,63,substituicao_entra,Olivinha 
155,3,0,FLA,53,63,substituicao_entra,Mineiro 
156,3,0,FLA,53,63,substituicao_entra,Marquinhos 
157,3,0,FLA,53,63,substituicao_entra,Ramon 
158,3,0,FRA,53,63,substituicao_entra,Cipolini 
159,3,0,FRA,53,63,substituicao_entra,Cesar 
160,3,0,FRA,53,63,substituicao_entra,Pedro 
161,3,0,FRA,53,63,substituicao_entra,Antonio 
162,3,0,FRA,53,63,substituicao_entra,Coelho 
163,3,0,FLA,53,63,substituicao_sai,Danilo 
164,3,0,FLA,53,63,substituicao_sai,Olivinha 
165,3,0,FLA,53,63,substituicao_sai,Mineiro 
166,3,0,FLA,53,63,substituicao_sai,Marquinhos 
167,3,0,FLA,53,63,substituicao_sai,Ramon 
168,3,0,FRA,53,63,substituicao_sai,Du Sommer 
169,3,0,FRA,53,63,substituicao_sai,Antonio 
170,3,0,FRA,53,63,substituicao_sai,Coelho 
171,3,0,FRA,53,63,substituicao_sai,Cauê 
172,3,0,FRA,53,63,substituicao_sai,Cesar 
173,3,00:00,NaN.,53,63,fim_quarto, 
174,3,00:00,FLA,53,63,RD, (4 rebote(s) - Equipe: 27 rebote(s))Marquinhos
175,3,00:00,FRA,53,63,5 - 40 0% - Equipe: 14, (2
176,3,00:00,FRA,53,63,RO, (4 rebote(s) - Equipe: 20 rebote(s))Antonio
177,3,00:00,FRA,53,63,4 - 0 0% - Equipe: 5, (0
178,3,00:07,FRA,53,63,3 - 0 0% - Equipe: 5, (0
179,3,18,FRA,53,63,substituicao_entra,Antonio 
180,3,18,FRA,53,63,substituicao_sai,Alexey 
181,3,18,FLA,53,63,substituicao_entra,Danilo 
182,3,18,FLA,53,63,substituicao_sai,Batista 
183,3,18,FLA,53,63,substituicao_entra,Mineiro 
184,3,18,FLA,53,63,substituicao_sai,Marcelinho 
185,3,00:18,FLA,53,63,4 - 100 0% - Equipe: 19, (4
186,3,00:18,FLA,53,62,3 - 100 0% - Equipe: 18, (3
187,3,00:18,FLA,53,61,FR, Olivinha
188,3,00:18,FRA,53,61,ER, Alexey
189,3,00:18,FRA,53,61,FC_O, (4 falta(s) - Equipe: 20 falta(s))Alexey
190,3,00:18,FLA,53,61,AS,Ramon (6 assist√™ncia(s) - Equipe:4 assist√™ncia(s))
191,3,00:22,FLA,53,61,8 - 62 5% - Equipe: 6, (5
192,3,00:28,FLA,53,58,RD, (rebote(s) - Equipe: 26 rebote(s))Batista
193,3,00:30,FRA,53,58,4 - 50 0% - Equipe: 14, (2
194,3,00:46,FLA,53,58,AS,Ramon (5 assist√™ncia(s) - Equipe:3 assist√™ncia(s))
195,3,00:46,FLA,53,58,6 - 16 7% - Equipe: 5, (1
196,3,01:02,FLA,53,55,RD, (6 rebote(s) - Equipe: 25 rebote(s))Marcelinho
197,3,01:05,FRA,53,55,2 - 0 0% - Equipe: 5, (0
198,3,01:23,FLA,53,55,2 - 100 0% - Equipe: 17, (2
199,3,01:23,FLA,53,54,1 - 100 0% - Equipe: 16, (1
200,3,123,FRA,53,53,substituicao_entra,Coelho 
201,3,123,FRA,53,53,substituicao_sai,Pedro 
202,3,01:23,FLA,53,53,FR, Olivinha
203,3,01:23,FRA,53,53,FC, (4 falta(s) - Equipe:9 falta(s))Cesar
204,3,01:26,FLA,53,53,BR, Olivinha
205,3,01:29,FRA,53,53,,
206,3,01:35,FRA,53,53,FC, (3 falta(s) - Equipe:8 falta(s))Alexey
207,3,01:35,FLA,53,53,AS,Ramon (4 assist√™ncia(s) - Equipe:2 assist√™ncia(s))
208,3,01:44,FLA,53,53,9 - 55 6% - Equipe: 13, (5
209,3,01:53,FLA,53,51,RD, (5 rebote(s) - Equipe: 24 rebote(s))Marcelinho
210,3,01:56,FRA,53,51,4 - 0 0% - Equipe: 5, (0
211,3,02:08,FLA,53,51,6 - 83 3% - Equipe: 15, (5
212,3,02:08,FLA,53,50,5 - 80 0% - Equipe: 14, (4
213,3,208,FRA,53,49,substituicao_entra,Cesar 
214,3,208,FRA,53,49,substituicao_sai,Cipolini 
215,3,02:08,FLA,53,49,FR, Marquinhos
216,3,02:08,FLA,53,49,FC, (3 falta(s) - Equipe:5 falta(s))Marcelinho
217,3,02:10,FLA,53,49,RD, (6 rebote(s) - Equipe: 23 rebote(s))Olivinha
218,3,02:12,FRA,53,49,6 - 50 0% - Equipe: 5, (3
