,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,66,73,fim_partida, 
1,4,00:03,LSB,66,73,RD, (4 rebote(s) - Equipe: 32 rebote(s))Lucas
2,4,00:03,BRA,66,73,3 - 33 3% - Equipe: 22, (1
3,4,00:06,BRA,66,73,RD, (7 rebote(s) - Equipe: 40 rebote(s))Fulvio
4,4,00:08,LSB,66,73,6 - 16 7% - Equipe: 6, (1
5,4,00:11,LSB,66,73,FR, Lucas
6,4,00:11,BRA,66,73,FC, (3 falta(s) - Equipe:7 falta(s))Fulvio
7,4,00:14,BRA,66,73,5 - 100 0% - Equipe: 20, (5
8,4,00:14,BRA,66,72,4 - 100 0% - Equipe: 19, (4
9,4,00:14,BRA,66,71,FR, Giovannoni
10,4,00:14,LSB,66,71,FC, (2 falta(s) - Equipe: 24 falta(s))Castellon
11,4,00:15,BRA,66,71,RD, Brasília
12,4,00:18,LSB,66,71,3 - 0 0% - Equipe: 6, (0
13,4,00:23,LSB,66,71,tempo_tecnico, L  Sorocabana
14,4,00:23,BRA,66,71,3 - 100 0% - Equipe: 18, (3
15,4,00:23,BRA,66,70,2 - 100 0% - Equipe: 17, (2
16,4,00:23,LSB,66,69,substituicao_entra,Lucas 
17,4,00:23,LSB,66,69,substituicao_sai,Cafferata 
18,4,00:23,BRA,66,69,FR, Giovannoni
19,4,00:23,LSB,66,69,FC, (2 falta(s) - Equipe: 23 falta(s))J  Sobral
20,4,00:24,BRA,66,69,BR, Lucas Mariano
21,4,00:26,LSB,66,69,ER, Cafferata
22,4,00:34,LSB,66,69,tempo_tecnico, L  Sorocabana
23,4,00:34,BRA,66,69,2 - 100 0% - Equipe: 16, (2
24,4,00:34,BRA,66,68,1 - 100 0% - Equipe: 15, (1
25,4,00:34,BRA,66,67,substituicao_entra,Giovannoni 
26,4,00:34,BRA,66,67,substituicao_sai,João 
27,4,00:34,LSB,66,67,substituicao_entra,Castellon 
28,4,00:34,LSB,66,67,substituicao_entra,J  Sobral 
29,4,00:34,LSB,66,67,substituicao_sai,Luisinho 
30,4,00:34,LSB,66,67,substituicao_sai,Ted 
31,4,00:34,BRA,66,67,FR, Fulvio
32,4,00:34,LSB,66,67,FC, (falta(s) - Equipe: 22 falta(s))Cafferata
33,4,00:34,BRA,66,67,RD, (6 rebote(s) - Equipe: 38 rebote(s))Fulvio
34,4,00:38,BRA,66,67,14 - 71 4% - Equipe: 22, (10
35,4,00:58,BRA,66,67,RD, (5 rebote(s) - Equipe: 37 rebote(s))Fulvio
36,4,00:59,LSB,66,67,4 - 50 0% - Equipe: 20, (2
37,4,01:14,LSB,66,67,FR, Ted
38,4,01:14,BRA,66,67,FC, (3 falta(s) - Equipe:6 falta(s))Pilar
39,4,01:16,BRA,66,67,AS,Fulvio (7 assistência(s) - Equipe: 20 assistência(s))
40,4,01:20,BRA,66,67,13 - 76 9% - Equipe: 22, (10
41,4,01:22,BRA,66,65,BR, Fulvio
