,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,80,74,fim_partida, 
1,4,00:06,PIN,80,74,RD, (2 rebote(s) - Equipe: 4rebote(s))Gustavo
2,4,00:07,CEA,80,74,5 - 40 0% - Equipe: 9, (2
3,4,00:10,PIN,80,74,substituicao_entra,Gustavo 
4,4,00:10,PIN,80,74,substituicao_sai,Ansaloni 
5,4,00:10,PIN,80,74,7 - 71 4% - Equipe: 22, (5
6,4,00:10,PIN,79,74,6 - 66 7% - Equipe: 21, (4
7,4,00:10,CEA,78,74,substituicao_entra,Gruber 
8,4,00:10,CEA,78,74,substituicao_sai,Lima 
9,4,00:10,PIN,78,74,FR, Ansaloni
10,4,00:10,CEA,78,74,FC, (2 falta(s) - Equipe: 24 falta(s))Toledo
11,4,00:12,PIN,78,74,substituicao_entra,Ansaloni 
12,4,00:12,PIN,78,74,substituicao_sai,Gustavo 
13,4,00:12,CEA,78,74,substituicao_entra,Toledo 
14,4,00:12,CEA,78,74,substituicao_sai,Gruber 
15,4,00:12,PIN,78,74,tempo_tecnico, Pinheiros
16,4,00:13,PIN,78,74,RD, Pinheiros
17,4,00:14,CEA,78,74,5 - 20 0% - Equipe: 9, (1
18,4,00:20,CEA,78,74,substituicao_entra,Duda 
19,4,00:20,CEA,78,74,substituicao_sai,Toledo 
20,4,00:20,PIN,78,74,substituicao_entra,Gustavo 
21,4,00:20,PIN,78,74,substituicao_sai,Ansaloni 
22,4,00:20,PIN,78,74,6 - 50 0% - Equipe: 20, (3
23,4,00:20,PIN,77,74,5 - 40 0% - Equipe: 19, (2
24,4,00:20,PIN,77,74,FR, Bennett
25,4,00:20,CEA,77,74,FC, (3 falta(s) - Equipe: 23 falta(s))Davi
26,4,00:21,PIN,77,74,RD, (6 rebote(s) - Equipe: 39 rebote(s))Bennett
27,4,00:22,CEA,77,74,6 - 16 7% - Equipe: 15, (1
28,4,00:31,PIN,77,74,11 - 81 8% - Equipe: 19, (9
29,4,00:31,PIN,76,74,10 - 80 0% - Equipe: 18, (8
30,4,00:31,PIN,75,74,FR, Holloway
31,4,00:31,CEA,75,74,FC, (4 falta(s) - Equipe: 22 falta(s))Gruber
32,4,00:53,PIN,75,74,RD, (10 rebote(s) - Equipe: 38 rebote(s))(Duplo-Duplo)Gemerson
33,4,00:55,CEA,75,74,5 - 40 0% - Equipe: 15, (2
34,4,01:11,CEA,75,74,tempo_tecnico, Basq  Cearense
35,4,01:11,PIN,75,74,AS,Renan (assistência(s) - Equipe:4 assistência(s))
36,4,01:11,PIN,75,74,5 - 60 0% - Equipe: 8, (3
37,4,01:11,PIN,72,74,RO, (3 rebote(s) - Equipe: 37 rebote(s))Renan
38,4,01:13,CEA,72,74,TO, Gruber
39,4,01:15,PIN,72,74,8 - 62 5% - Equipe: 17, (5
40,4,01:33,CEA,72,74,5 - 100 0% - Equipe: 17, (5
41,4,01:33,CEA,72,73,4 - 100 0% - Equipe: 16, (4
42,4,01:33,CEA,72,72,FR, Gruber
43,4,01:33,PIN,72,72,FC, (4 falta(s) - Equipe: 2falta(s))Renan
44,4,01:35,CEA,72,72,tempo_tecnico, Basq  Cearense
45,4,01:35,PIN,72,72,3 - 33 3% - Equipe: 17, (1
46,4,01:35,PIN,70,72,RO, (2 rebote(s) - Equipe: 36 rebote(s))Renan
47,4,01:36,PIN,70,72,12 - 50 0% - Equipe: 16, (6
48,4,01:38,PIN,70,72,RO, (9 rebote(s) - Equipe: 35 rebote(s))Ansaloni
49,4,01:39,PIN,70,72,7 - 71 4% - Equipe: 16, (5
50,4,01:55,CEA,70,72,2 - 100 0% - Equipe: 15, (2
51,4,01:55,CEA,70,71,1 - 100 0% - Equipe: 14, (1
52,4,01:55,CEA,70,70,FR, Lima
53,4,01:55,PIN,70,70,FC, (4 falta(s) - Equipe: 20 falta(s))Holloway
54,4,01:59,CEA,70,70,FR, Toledo
55,4,01:59,PIN,70,70,FC, (4 falta(s) - Equipe:9 falta(s))Ansaloni
56,4,02:10,CEA,70,70,RD, (8 rebote(s) - Equipe: 43 rebote(s))Davi
57,4,02:12,PIN,70,70,2 - 0 0% - Equipe: 7, (0
