,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,73,78,fim_partida, 
1,4,00:05,LSB,73,78,AS,Ted (assistência(s) - Equipe:5 assistência(s))
2,4,00:05,LSB,73,78,8 - 50 0% - Equipe: 12, (4
3,4,00:08,LSB,73,76,BR, Ted
4,4,00:10,CMO,73,76,ER, Betinho
5,4,00:24,CMO,73,76,substituicao_entra,Pastor 
6,4,00:24,CMO,73,76,substituicao_sai,Wesley 
7,4,00:24,LSB,73,76,substituicao_entra,Bruno 
8,4,00:24,LSB,73,76,substituicao_sai,Lucas 
9,4,00:24,CMO,73,76,substituicao_entra,Atílio  
10,4,00:24,CMO,73,76,substituicao_sai,Andrezão 
11,4,00:24,LSB,73,76,ER, 
12,4,00:48,CMO,73,76,13 - 92 3% - Equipe: 23, (12
13,4,00:48,CMO,72,76,12 - 91 7% - Equipe: 22, (11
14,4,00:48,CMO,71,76,substituicao_entra,Wesley 
15,4,00:48,CMO,71,76,substituicao_sai,Atílio  
16,4,00:48,CMO,71,76,substituicao_entra,Andrezão 
17,4,00:48,CMO,71,76,substituicao_sai,Taddei 
18,4,00:48,CMO,71,76,FR, Betinho
19,4,00:48,LSB,71,76,FC, (falta(s) - Equipe: 26 falta(s))Lucas
20,4,00:59,CMO,71,76,substituicao_entra,Taddei 
21,4,00:59,CMO,71,76,substituicao_sai,W  César 
22,4,00:59,CMO,71,76,tempo_tecnico, Campo Mourão
23,4,00:59,LSB,71,76,9 - 100 0% - Equipe: 18, (9
24,4,00:59,LSB,71,75,8 - 100 0% - Equipe: 17, (8
25,4,00:59,LSB,71,74,FR, Cafferata
26,4,00:59,CMO,71,74,FC, (3 falta(s) - Equipe: 22 falta(s))Atílio 
27,4,00:59,LSB,71,74,BR, Cafferata
28,4,00:59,CMO,71,74,,
29,4,01:12,LSB,71,74,7 - 100 0% - Equipe: 16, (7
30,4,01:12,LSB,71,73,6 - 100 0% - Equipe: 15, (6
31,4,01:12,LSB,71,72,FR, Cafferata
32,4,01:12,CMO,71,72,FC, (2 falta(s) - Equipe: 2falta(s))Leandro
33,4,01:18,LSB,71,72,RO, (5 rebote(s) - Equipe: 34 rebote(s))Lucas
34,4,01:20,LSB,71,72,3 - 33 3% - Equipe: 12, (1
35,4,01:39,CMO,71,72,9 - 77 8% - Equipe: 16, (7
36,4,01:41,CMO,69,72,RO, (7 rebote(s) - Equipe: 29 rebote(s))Atílio 
37,4,01:43,CMO,69,72,12 - 33 3% - Equipe: 15, (4
38,4,02:03,LSB,69,72,tempo_tecnico, L  Sorocabana
39,4,02:03,LSB,69,72,ER, 
40,4,02:29,CMO,69,72,AS,Cauê (4 assistência(s) - Equipe:assistência(s))
41,4,02:31,CMO,69,72,7 - 28 6% - Equipe: 6, (2
42,4,02:39,CMO,66,72,RD, (4 rebote(s) - Equipe: 28 rebote(s))Cauê
43,4,02:39,LSB,66,72,7 - 42 9% - Equipe: 11, (3
44,4,02:39,LSB,66,72,substituicao_entra,Ted 
45,4,02:39,LSB,66,72,substituicao_sai,Bruno 
46,4,02:40,LSB,66,72,RO, L  Sorocabana
47,4,02:41,CMO,66,72,TO, Cauê
48,4,02:47,LSB,66,72,4 - 50 0% - Equipe: 11, (2
