,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,70,87,fim_partida,
1,4,00:20,VAS,70,87,AS,Renato
2,4,00:20,VAS,70,87,2_Pts_C,Gustavo
3,4,00:32,CAX,68,87,2_Pts_C,Cafferata
4,4,00:35,CAX,68,85,RO,Cafferata
5,4,00:38,CAX,68,85,2_Pts_T,Alex
6,4,01:01,VAS,68,85,AS,Fúlvio
7,4,01:01,VAS,68,85,2_Pts_C,Renato
8,4,01:04,VAS,66,85,RD,Fúlvio
9,4,01:06,CAX,66,85,2_Pts_T,Paranhos
10,4,01:33,VAS,66,85,3_Pts_C,Fúlvio
11,4,01:40,CAX,63,85,ER,Cauê B 
12,4,01:45,CAX,63,85,BR,Cafferata
13,4,01:45,VAS,63,85,ER,Jackson
14,4,02:01,VAS,63,85,tempo_tecnico,Vasco da Gama
15,4,02:01,CAX,63,85,AS,Cauê B 
16,4,02:01,CAX,63,85,3_Pts_C,Cafferata
17,4,02:05,CAX,63,82,RD,Cauê B 
18,4,02:08,VAS,63,82,3_Pts_T,Deodato
19,4,02:18,CAX,63,82,2_Pts_C,Cafferata
20,4,02:35,CAX,63,80,substituicao_entra,Cauê B 
21,4,02:35,CAX,63,80,substituicao_sai,Cauê V 
22,4,02:48,CAX,63,80,RD,Alex
23,4,02:50,VAS,63,80,2_Pts_T,Gustavo
24,4,02:51,VAS,63,80,RO,Gustavo
25,4,02:53,VAS,63,80,2_Pts_T,Renato
26,4,03:20,CAX,63,80,AS,Cafferata
27,4,03:20,CAX,63,80,2_Pts_C,Paranhos
28,4,03:40,CAX,63,78,BR,Alex
29,4,03:40,VAS,63,78,ER,Jackson
30,4,03:50,VAS,63,78,FR,Gustavo
31,4,03:50,CAX,63,78,FC,Cafferata
32,4,04:06,CAX,63,78,AS,Cafferata
33,4,04:06,CAX,63,78,2_Pts_C,Paranhos
34,4,04:26,CAX,63,76,RD,Paranhos
35,4,04:29,VAS,63,76,3_Pts_T,Jackson
36,4,04:47,CAX,63,76,substituicao_entra,Cauê V 
37,4,04:47,CAX,63,76,substituicao_sai,Cauê B 
38,4,04:47,VAS,63,76,substituicao_entra,Deodato
39,4,04:47,VAS,63,76,substituicao_sai,Lucas
40,4,04:47,VAS,63,76,RD,Vasco da Gama
41,4,04:47,CAX,63,76,3_Pts_T,Cauê B 
42,4,05:16,VAS,63,76,AS,Fúlvio
43,4,05:16,VAS,63,76,3_Pts_C,Jackson
44,4,05:36,CAX,60,76,2_Pts_C,Cauê B 
45,4,06:01,VAS,60,74,2_Pts_C,Jackson
46,4,06:13,CAX,58,74,AS,Cauê B 
47,4,06:13,CAX,58,74,2_Pts_C,Cafferata
48,4,06:15,CAX,58,72,RD,Paranhos
49,4,06:20,CAX,58,72,TO,Pedro
50,4,06:20,VAS,58,72,2_Pts_T,Jackson
51,4,06:35,VAS,58,72,tempo_tecnico,Vasco da Gama
52,4,06:35,VAS,58,72,ER,
53,4,06:35,VAS,58,72,RD,Vasco da Gama
54,4,06:35,CAX,58,72,2_Pts_T,Alex
55,4,06:45,CAX,58,72,RD,Cafferata
56,4,06:45,VAS,58,72,3_Pts_T,Lucas
57,4,07:00,CAX,58,72,AS,Cauê B 
58,4,07:00,CAX,58,72,EN,Paranhos
59,4,07:24,VAS,58,70,substituicao_entra,Gustavo
60,4,07:24,VAS,58,70,substituicao_sai,Nezinho
61,4,07:24,CAX,58,70,BR,Alex
62,4,07:24,VAS,58,70,ER,Renato
63,4,07:26,CAX,58,70,ER,Cafferata
64,4,07:40,VAS,58,70,AS,Jackson
65,4,07:40,VAS,58,70,2_Pts_C,Lucas
66,4,08:06,CAX,56,70,LL_Pts_C,Pedro
67,4,08:06,CAX,56,69,LL_Pts_C,Pedro
68,4,08:06,VAS,56,68,substituicao_entra,Jackson
69,4,08:06,VAS,56,68,substituicao_sai,Dedé
70,4,08:06,CAX,56,68,FR,Pedro
71,4,08:06,VAS,56,68,FC,Lucas
72,4,08:20,VAS,56,68,2_Pts_C,Lucas
73,4,08:31,CAX,54,68,AS,Pedro
74,4,08:31,CAX,54,68,3_Pts_C,Cafferata
75,4,08:37,VAS,54,65,ER,Nezinho
76,4,08:48,VAS,54,65,substituicao_entra,Nezinho
77,4,08:48,CAX,54,65,substituicao_entra,Pedro
78,4,08:48,CAX,54,65,substituicao_sai,Cauê V 
79,4,08:48,VAS,54,65,substituicao_sai,Nezinho
80,4,08:48,VAS,54,65,FR,Nezinho
81,4,08:48,CAX,54,65,FC,Cauê V 
82,4,09:02,VAS,54,65,RD,Vasco da Gama
83,4,09:02,CAX,54,65,3_Pts_T,Alex
84,4,09:29,VAS,54,65,AS,Renato
85,4,09:29,VAS,54,65,2_Pts_C,Lucas
86,4,09:45,CAX,52,65,AS,Cauê V 
87,4,09:45,CAX,52,65,3_Pts_C,Cafferata
88,4,09:50,VAS,52,62,ER,Renato
89,4,10:00,NaN,52,62,inicio_quarto,
90,3,00:00,NaN,52,62,fim_quarto,
91,3,00:01,CAX,52,62,3_Pts_T,Alex
92,3,00:02,CAX,52,62,substituicao_entra,Cauê V 
93,3,00:02,CAX,52,62,substituicao_sai,Jonathan
94,3,00:02,VAS,52,62,substituicao_entra,Alexei
95,3,00:02,VAS,52,62,substituicao_sai,Fúlvio
96,3,00:02,VAS,52,62,AS,Dedé
97,3,00:02,VAS,52,62,LL_Pts_C,Lucas
98,3,00:02,VAS,51,62,LL_Pts_C,Lucas
99,3,00:02,CAX,50,62,substituicao_entra,Cafferata
100,3,00:02,CAX,50,62,substituicao_sai,Buboltz 
101,3,00:02,VAS,50,62,FR,Lucas
102,3,00:02,CAX,50,62,FC,Jonathan
103,3,00:27,CAX,50,62,substituicao_entra,Jonathan
104,3,00:27,CAX,50,62,substituicao_sai,Paranhos
105,3,00:27,CAX,50,62,LL_Pts_C,Paranhos
106,3,00:27,VAS,50,61,substituicao_entra,Renato
107,3,00:27,VAS,50,61,substituicao_entra,Fúlvio
108,3,00:27,VAS,50,61,substituicao_sai,Alexei
109,3,00:27,VAS,50,61,substituicao_sai,Hayes
110,3,00:27,CAX,50,61,substituicao_entra,Buboltz 
111,3,00:27,CAX,50,61,substituicao_sai,Cafferata
112,3,00:27,CAX,50,61,substituicao_entra,Cafferata
113,3,00:27,CAX,50,61,substituicao_sai,Buboltz 
114,3,00:27,CAX,50,61,substituicao_entra,Cauê B 
115,3,00:27,CAX,50,61,substituicao_sai,Cafferata
116,3,00:27,CAX,50,61,substituicao_entra,Buboltz 
117,3,00:27,CAX,50,61,substituicao_sai,Pedro
118,3,00:27,CAX,50,61,substituicao_entra,Paranhos
119,3,00:27,CAX,50,61,substituicao_sai,Paranhos
120,3,00:27,CAX,50,61,FR,Paranhos
121,3,00:27,VAS,50,61,FC,Hayes
122,3,00:27,CAX,50,61,AS,Alex
123,3,00:27,CAX,50,61,2_Pts_C,Paranhos
124,3,00:41,VAS,50,59,substituicao_entra,Alexei
125,3,00:41,VAS,50,59,substituicao_sai,Fúlvio
126,3,00:41,VAS,50,59,AS,Nezinho
127,3,00:41,VAS,50,59,LL_Pts_C,Dedé
128,3,00:41,VAS,49,59,LL_Pts_C,Dedé
129,3,00:41,VAS,48,59,FR,Dedé
130,3,00:41,CAX,48,59,FC,Pedro
131,3,00:44,VAS,48,59,BR,Nezinho
132,3,00:44,CAX,48,59,ER,Alex
133,3,01:05,CAX,48,59,LL_Pts_C,Warren
134,3,01:05,CAX,48,58,LL_Pts_C,Warren
135,3,01:05,CAX,48,57,FR,Warren
136,3,01:05,VAS,48,57,FC_A,Hayes
137,3,01:05,VAS,48,57,2_Pts_C,Nezinho
138,3,01:19,CAX,46,57,LL_Pts_C,Pedro
139,3,01:19,CAX,46,56,LL_Pts_C,Pedro
140,3,01:19,VAS,46,55,substituicao_entra,Fúlvio
141,3,01:19,VAS,46,55,substituicao_sai,Jackson
142,3,01:19,CAX,46,55,FR,Pedro
143,3,01:19,VAS,46,55,FC,Hayes
144,3,01:19,CAX,46,55,RO,Pedro
145,3,01:19,CAX,46,55,2_Pts_T,Pedro
146,3,01:27,CAX,46,55,FR,Paranhos
147,3,01:27,VAS,46,55,FC,Lucas
148,3,01:47,VAS,46,55,2_Pts_C,Lucas
149,3,01:49,VAS,44,55,RO,Lucas
150,3,01:51,VAS,44,55,2_Pts_T,Hayes
151,3,01:53,VAS,44,55,2_Pts_T,Hayes
152,3,02:17,CAX,44,55,substituicao_entra,Warren
153,3,02:17,CAX,44,55,substituicao_sai,Cauê B 
154,3,02:17,CAX,44,55,LL_Pts_C,Cauê B 
155,3,02:17,CAX,44,54,LL_Pts_C,Cauê B 
156,3,02:17,CAX,44,53,substituicao_entra,Cafferata
157,3,02:17,CAX,44,53,substituicao_sai,Cauê V 
158,3,02:17,CAX,44,53,FR,Cauê B 
159,3,02:17,VAS,44,53,FC,Hayes
160,3,02:32,VAS,44,53,3_Pts_C,Jackson
161,3,02:41,VAS,41,53,substituicao_entra,Hayes
162,3,02:41,VAS,41,53,substituicao_sai,Renato
163,3,02:41,CAX,41,53,ER,Pedro
164,3,03:01,CAX,41,53,RD,Cauê B 
165,3,03:04,VAS,41,53,3_Pts_T,Renato
166,3,03:27,CAX,41,53,AS,Alex
167,3,03:27,CAX,41,53,2_Pts_C,Paranhos
168,3,03:42,VAS,41,51,,
169,3,03:55,VAS,41,51,substituicao_entra,Dedé
170,3,03:55,VAS,41,51,substituicao_sai,Deodato
171,3,03:55,VAS,41,51,substituicao_entra,Jackson
172,3,03:55,VAS,41,51,substituicao_sai,Jackson
173,3,03:55,VAS,41,51,FR,Jackson
174,3,03:55,CAX,41,51,FC,Cauê V 
175,3,03:57,VAS,41,51,RD,Renato
176,3,04:01,VAS,41,51,TO,Jackson
177,3,04:01,CAX,41,51,2_Pts_T,Cauê B 
178,3,04:06,CAX,41,51,RD,Cauê V 
179,3,04:08,VAS,41,51,3_Pts_T,Nezinho
180,3,04:17,VAS,41,51,RD,Lucas
181,3,04:20,CAX,41,51,2_Pts_T,Paranhos
182,3,04:35,VAS,41,51,AS,Jackson
183,3,04:35,VAS,41,51,2_Pts_C,Renato
184,3,04:40,VAS,39,51,RD,Lucas
185,3,04:43,CAX,39,51,3_Pts_T,Pedro
186,3,05:11,CAX,39,51,RD,Paranhos
187,3,05:11,VAS,39,51,2_Pts_T,Lucas
188,3,05:24,VAS,39,51,RD,Renato
189,3,05:26,CAX,39,51,3_Pts_T,Cauê V 
190,3,05:46,CAX,39,51,RD,Paranhos
191,3,05:48,VAS,39,51,2_Pts_T,Renato
192,3,06:12,CAX,39,51,AS,Paranhos
193,3,06:12,CAX,39,51,2_Pts_C,Alex
194,3,06:33,VAS,39,49,ER,Deodato
195,3,06:50,CAX,39,49,LL_Pts_C,Cauê V 
196,3,06:50,VAS,39,48,substituicao_entra,Nezinho
197,3,06:50,VAS,39,48,substituicao_sai,Fúlvio
198,3,06:50,VAS,39,48,substituicao_entra,Lucas
199,3,06:50,VAS,39,48,substituicao_sai,Gustavo
200,3,06:50,CAX,39,48,FR,Cauê V 
201,3,06:50,VAS,39,48,FC,Gustavo
202,3,06:50,CAX,39,48,2_Pts_C,Cauê V 
203,3,06:58,CAX,39,46,RD,Cauê V 
204,3,07:00,VAS,39,46,3_Pts_T,Deodato
205,3,07:12,VAS,39,46,FR,Fúlvio
206,3,07:12,CAX,39,46,FC,Pedro
207,3,07:24,CAX,39,46,AS,Pedro
208,3,07:24,CAX,39,46,2_Pts_C,Cauê B 
209,3,07:28,VAS,39,44,ER,Fúlvio
210,3,07:38,VAS,39,44,RD,Fúlvio
211,3,07:40,CAX,39,44,2_Pts_T,Paranhos
212,3,07:53,CAX,39,44,RD,Paranhos
213,3,07:53,VAS,39,44,AS,Fúlvio
214,3,07:53,VAS,39,44,LL_Pts_T,Renato
215,3,07:53,VAS,39,44,LL_Pts_C,Renato
216,3,07:53,CAX,38,44,substituicao_entra,Paranhos
217,3,07:53,CAX,38,44,substituicao_sai,Nandão
218,3,07:53,VAS,38,44,FR,Renato
219,3,07:53,CAX,38,44,FC,Nandão
220,3,08:00,VAS,38,44,RD,Renato
221,3,08:02,CAX,38,44,2_Pts_T,Alex
222,3,08:23,CAX,38,44,RD,Cauê V 
223,3,08:26,VAS,38,44,3_Pts_T,Gustavo
224,3,08:51,CAX,38,44,2_Pts_C,Cauê V 
225,3,09:14,VAS,38,42,3_Pts_C,Jackson
226,3,09:20,VAS,35,42,RD,Deodato
227,3,09:24,CAX,35,42,3_Pts_T,Alex
228,3,09:39,CAX,35,42,RD,Caxias do Sul
229,3,09:41,VAS,35,42,2_Pts_T,Gustavo
230,3,09:53,VAS,35,42,RO,Renato
231,3,09:55,VAS,35,42,2_Pts_T,Jackson
232,3,10:00,NaN,35,42,inicio_quarto,
233,2,00:00,NaN,35,42,fim_quarto,
234,2,00:01,VAS,35,42,LL_Pts_C,Jackson
235,2,00:01,VAS,34,42,LL_Pts_C,Jackson
236,2,00:01,VAS,33,42,FR,Jackson
237,2,00:01,CAX,33,42,FC,Pedro
238,2,00:19,CAX,33,42,AS,Cauê B 
239,2,00:19,CAX,33,42,3_Pts_C,Alex
240,2,00:41,VAS,33,39,AS,Jackson
241,2,00:41,VAS,33,39,2_Pts_C,Dedé
242,2,00:56,CAX,31,39,substituicao_entra,Buboltz 
243,2,00:56,CAX,31,39,substituicao_sai,Cauê V 
244,2,00:56,CAX,31,39,AS,Pedro
245,2,00:56,CAX,31,39,2_Pts_C,Jonathan
246,2,01:00,CAX,31,37,RD,Jonathan
247,2,01:03,VAS,31,37,2_Pts_T,Jackson
248,2,01:21,CAX,31,37,2_Pts_C,Cauê B 
249,2,01:32,CAX,31,35,FR,Cauê V 
250,2,01:32,VAS,31,35,FC,Alexei
251,2,01:32,VAS,31,35,substituicao_entra,Alexei
252,2,01:32,VAS,31,35,substituicao_sai,Fúlvio
253,2,01:32,CAX,31,35,FR,Cauê V 
254,2,01:32,VAS,31,35,FC,Fúlvio
255,2,01:41,VAS,31,35,AS,Fúlvio
256,2,01:41,VAS,31,35,LL_Pts_C,Jackson
257,2,01:41,VAS,30,35,LL_Pts_C,Jackson
258,2,01:41,VAS,29,35,substituicao_entra,Jackson
259,2,01:41,VAS,29,35,substituicao_entra,Fúlvio
260,2,01:41,VAS,29,35,substituicao_sai,Fúlvio
261,2,01:41,VAS,29,35,substituicao_sai,Gustavo
262,2,01:41,VAS,29,35,substituicao_entra,Renato
263,2,01:41,VAS,29,35,substituicao_sai,Jackson
264,2,01:41,VAS,29,35,substituicao_entra,Jackson
265,2,01:41,VAS,29,35,substituicao_sai,Jackson
266,2,01:41,VAS,29,35,substituicao_entra,Jackson
267,2,01:41,VAS,29,35,substituicao_sai,Jackson
268,2,01:41,VAS,29,35,FR,Jackson
269,2,01:41,CAX,29,35,FC,Cauê V 
270,2,01:41,VAS,29,35,RD,Fúlvio
271,2,01:45,VAS,29,35,TO,Lucas
272,2,01:45,CAX,29,35,2_Pts_T,Cauê B 
273,2,01:47,CAX,29,35,substituicao_entra,Cauê B 
274,2,01:47,CAX,29,35,substituicao_sai,Warren
275,2,01:48,CAX,29,35,FR,Alex
276,2,01:48,VAS,29,35,FC,Gustavo
277,2,02:08,VAS,29,35,substituicao_entra,Gustavo
278,2,02:08,VAS,29,35,substituicao_sai,Gustavo
279,2,02:08,VAS,29,35,ER,Gustavo
280,2,02:23,VAS,29,35,RD,Vasco da Gama
281,2,02:23,CAX,29,35,3_Pts_T,Cauê V 
282,2,02:37,CAX,29,35,RD,Cauê V 
283,2,02:39,VAS,29,35,2_Pts_T,Lucas
284,2,02:48,CAX,29,35,substituicao_entra,Pedro
285,2,02:48,CAX,29,35,substituicao_sai,Cafferata
286,2,02:48,CAX,29,35,tempo_tecnico,Caxias do Sul
287,2,02:48,VAS,29,35,FR,Gustavo
288,2,02:48,CAX,29,35,ER,Cafferata
289,2,02:48,CAX,29,35,FC_O,Cafferata
290,2,03:01,VAS,29,35,AS,Gustavo
291,2,03:01,VAS,29,35,2_Pts_C,Lucas
292,2,03:18,CAX,27,35,ER,Alex
293,2,03:31,CAX,27,35,RD,Alex
294,2,03:31,VAS,27,35,LL_Pts_T,Gustavo
295,2,03:31,VAS,27,35,FR,Gustavo
296,2,03:31,CAX,27,35,FC,Cauê V 
297,2,03:31,VAS,27,35,AS,Jackson
298,2,03:31,VAS,27,35,2_Pts_C,Gustavo
299,2,03:34,VAS,25,35,RD,Jackson
300,2,03:36,CAX,25,35,3_Pts_T,Alex
301,2,03:52,CAX,25,35,RD,Cauê V 
302,2,03:56,CAX,25,35,TO,Warren
303,2,03:56,VAS,25,35,3_Pts_T,Fúlvio
304,2,04:09,VAS,25,35,substituicao_entra,Dedé
305,2,04:09,VAS,25,35,substituicao_sai,Hayes
306,2,04:09,VAS,25,35,substituicao_entra,Fúlvio
307,2,04:09,VAS,25,35,substituicao_sai,Nezinho
308,2,04:09,VAS,25,35,tempo_tecnico,Vasco da Gama
309,2,04:09,CAX,25,35,AS,Warren
310,2,04:09,CAX,25,35,2_Pts_C,Alex
311,2,04:13,CAX,25,33,BR,Cafferata
312,2,04:13,VAS,25,33,ER,Nezinho
313,2,04:38,CAX,25,33,AS,Cafferata
314,2,04:38,CAX,25,33,2_Pts_C,Jonathan
315,2,05:01,VAS,25,31,ER,Hayes
316,2,05:23,CAX,25,31,AS,Cafferata
317,2,05:23,CAX,25,31,3_Pts_C,Alex
318,2,05:37,CAX,25,28,substituicao_entra,Jonathan
319,2,05:37,CAX,25,28,substituicao_sai,Nandão
320,2,05:37,VAS,25,28,substituicao_entra,Gustavo
321,2,05:37,VAS,25,28,substituicao_sai,Deodato
322,2,05:37,CAX,25,28,FR,Cauê V 
323,2,05:37,VAS,25,28,ER,Lucas
324,2,05:37,VAS,25,28,FC_O,Lucas
325,2,05:47,VAS,25,28,RD,Deodato
326,2,05:49,CAX,25,28,3_Pts_T,Warren
327,2,06:00,CAX,25,28,RD,Cauê V 
328,2,06:02,VAS,25,28,3_Pts_T,Jackson
329,2,06:28,CAX,25,28,AS,Cauê V 
330,2,06:28,CAX,25,28,2_Pts_C,Nandão
331,2,06:44,VAS,25,26,AS,Nezinho
332,2,06:44,VAS,25,26,LL_Pts_C,Deodato
333,2,06:44,VAS,24,26,LL_Pts_C,Deodato
334,2,06:44,VAS,23,26,FR,Deodato
335,2,06:44,CAX,23,26,FC,Cafferata
336,2,07:06,CAX,23,26,2_Pts_C,Warren
337,2,07:24,VAS,23,24,substituicao_entra,Hayes
338,2,07:24,VAS,23,24,substituicao_sai,Renato
339,2,07:24,CAX,23,24,substituicao_entra,Cauê V 
340,2,07:24,CAX,23,24,substituicao_sai,Cauê B 
341,2,07:24,VAS,23,24,LL_Pts_C,Nezinho
342,2,07:24,VAS,22,24,LL_Pts_C,Nezinho
343,2,07:24,VAS,21,24,FR,Nezinho
