,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,93,89,fim_partida,
1,4,00:03,CAP,93,89,3_Pts_T,Lucas
2,4,00:11,CAP,93,89,RO,Lucas
3,4,00:12,CAP,93,89,LL_Pts_T,Yago
4,4,00:12,CAP,93,89,LL_Pts_C,Yago
5,4,00:12,CEA,92,89,substituicao_entra,Leonardo
6,4,00:12,CEA,92,89,substituicao_sai,Armani
7,4,00:12,CAP,92,89,FR,Yago
8,4,00:12,CEA,92,89,FC,Davi
9,4,00:21,CEA,92,89,substituicao_entra,Armani
10,4,00:21,CEA,92,89,substituicao_sai,Leal
11,4,00:21,CAP,92,89,tempo_tecnico,Paulistano
12,4,00:21,CEA,92,89,2_Pts_C,Betinho
13,4,00:31,CEA,92,87,RD,Rashaun
14,4,00:32,CAP,92,87,3_Pts_T,Lucas
15,4,00:49,CAP,92,87,substituicao_entra,Lucas
16,4,00:49,CAP,92,87,substituicao_sai,Victão
17,4,00:49,CAP,92,87,substituicao_entra,Yago
18,4,00:49,CAP,92,87,substituicao_sai,Jhonatan
19,4,00:49,CEA,92,87,AS,Sualisson
20,4,00:49,CEA,92,87,2_Pts_C,Davi
21,4,00:50,CEA,92,85,BR,Sualisson
22,4,00:50,CAP,92,85,ER,Hubner
23,4,00:55,CAP,92,85,RD,Deryk
24,4,00:55,CEA,92,85,3_Pts_T,Betinho
25,4,01:11,CAP,92,85,substituicao_entra,Victão
26,4,01:11,CAP,92,85,substituicao_entra,Jhonatan
27,4,01:11,CAP,92,85,substituicao_sai,Lucas
28,4,01:11,CAP,92,85,substituicao_sai,Yago
29,4,01:11,CAP,92,85,LL_Pts_C,Fuller
30,4,01:11,CAP,91,85,LL_Pts_T,Fuller
31,4,01:11,CAP,91,85,FR,Fuller
32,4,01:11,CEA,91,85,FC,Sualisson
33,4,01:34,CEA,91,85,AS,Leal
34,4,01:34,CEA,91,85,LL_Pts_C,Sualisson
35,4,01:34,CEA,91,84,LL_Pts_T,Sualisson
36,4,01:34,CEA,91,84,LL_Pts_C,Sualisson
37,4,01:34,CEA,91,83,FR,Sualisson
38,4,01:34,CAP,91,83,FC,Lucas
39,4,01:45,CEA,91,83,tempo_tecnico,Basq  Cearense
40,4,01:46,CAP,91,83,AS,Deryk
41,4,01:46,CAP,91,83,3_Pts_C,Hubner
42,4,01:59,CEA,88,83,2_Pts_C,Betinho
43,4,02:05,CEA,88,81,RD,Rashaun
44,4,02:07,CAP,88,81,3_Pts_T,Deryk
45,4,02:14,CAP,88,81,RD,Yago
46,4,02:16,CEA,88,81,3_Pts_T,Davi
47,4,02:23,CEA,88,81,RO,Basq  Cearense
48,4,02:23,CEA,88,81,3_Pts_T,Rashaun
49,4,02:40,CAP,88,81,LL_Pts_C,Fuller
50,4,02:40,CAP,87,81,LL_Pts_T,Fuller
51,4,02:40,CAP,87,81,FR,Fuller
52,4,02:40,CEA,87,81,FC,Davi
53,4,02:55,CEA,87,81,LL_Pts_C,Sualisson
54,4,02:55,CEA,87,80,FR,Sualisson
55,4,02:55,CAP,87,80,FC,Lucas
56,4,02:55,CEA,87,80,AS,Betinho
57,4,02:55,CEA,87,80,2_Pts_C,Sualisson
58,4,03:02,CEA,87,78,RD,Betinho
59,4,03:03,CAP,87,78,3_Pts_T,Deryk
60,4,03:23,CAP,87,78,tempo_tecnico,Paulistano
61,4,03:23,CEA,87,78,3_Pts_C,Betinho
62,4,03:36,CAP,87,75,LL_Pts_C,Lucas
63,4,03:36,CAP,86,75,LL_Pts_C,Lucas
64,4,03:36,CAP,85,75,FR,Lucas
65,4,03:36,CEA,85,75,FC,Leal
66,4,03:36,CAP,85,75,RO,Lucas
67,4,03:36,CAP,85,75,2_Pts_T,Fuller
68,4,04:01,CEA,85,75,AS,Sualisson
69,4,04:01,CEA,85,75,2_Pts_C,Leal
70,4,04:16,CEA,85,73,RD,Leal
71,4,04:16,CAP,85,73,3_Pts_T,Lucas
72,4,04:27,CEA,85,73,tempo_tecnico,Basq  Cearense
73,4,04:27,CAP,85,73,RD,Paulistano
74,4,04:29,CEA,85,73,3_Pts_T,Rashaun
75,4,04:41,CAP,85,73,AS,Deryk
76,4,04:41,CAP,85,73,EN,Hubner
77,4,04:54,CEA,83,73,LL_Pts_C,Davi
78,4,04:54,CEA,83,72,LL_Pts_C,Davi
79,4,04:54,CAP,83,71,substituicao_entra,Yago
80,4,04:54,CAP,83,71,substituicao_sai,Elinho
81,4,04:54,CEA,83,71,FR,Davi
82,4,04:54,CAP,83,71,FC,Elinho
83,4,05:02,CEA,83,71,RD,Sualisson
84,4,05:04,CAP,83,71,3_Pts_T,Elinho
85,4,05:16,CEA,83,71,substituicao_entra,Leal
86,4,05:16,CEA,83,71,substituicao_sai,Walisson
87,4,05:16,CAP,83,71,FR,Hubner
88,4,05:16,CEA,83,71,FC,Walisson
89,4,05:26,CAP,83,71,RO,Hubner
90,4,05:28,CAP,83,71,2_Pts_T,Hubner
91,4,05:41,CAP,83,71,FR,Lucas
92,4,05:41,CEA,83,71,FC,Davi
93,4,05:41,CAP,83,71,RO,Paulistano
94,4,05:41,CAP,83,71,2_Pts_T,Deryk
95,4,05:48,CAP,83,71,BR,Hubner
96,4,05:48,CEA,83,71,ER,Davi
97,4,06:17,CAP,83,71,AS,Fuller
98,4,06:17,CAP,83,71,2_Pts_C,Hubner
99,4,06:24,CAP,81,71,RD,Elinho
100,4,06:25,CEA,81,71,LL_Pts_T,Betinho
101,4,06:25,CEA,81,71,LL_Pts_C,Betinho
102,4,06:25,CEA,81,70,FR,Betinho
103,4,06:25,CAP,81,70,FC,Hubner
104,4,06:46,CEA,81,70,LL_Pts_C,Betinho
105,4,06:46,CAP,81,69,substituicao_entra,Fuller
106,4,06:46,CAP,81,69,substituicao_sai,Victão
107,4,06:46,CAP,81,69,substituicao_entra,Elinho
108,4,06:46,CAP,81,69,substituicao_sai,Yago
109,4,06:46,CEA,81,69,FR,Betinho
110,4,06:46,CAP,81,69,FC,Deryk
111,4,06:46,CEA,81,69,2_Pts_C,Betinho
112,4,06:53,CEA,81,67,RD,Walisson
113,4,06:55,CAP,81,67,3_Pts_T,Victão
114,4,07:06,CAP,81,67,RO,Lucas
115,4,07:07,CAP,81,67,3_Pts_T,Deryk
116,4,07:16,CAP,81,67,RD,Deryk
117,4,07:18,CEA,81,67,3_Pts_T,Betinho
118,4,07:32,CAP,81,67,AS,Deryk
119,4,07:32,CAP,81,67,3_Pts_C,Victão
120,4,07:39,CAP,78,67,BR,Victão
121,4,07:39,CEA,78,67,ER,Rashaun
122,4,07:54,CEA,78,67,FR,Sualisson
123,4,07:54,CAP,78,67,ER,Victão
124,4,07:54,CAP,78,67,FC_O,Victão
125,4,08:01,CAP,78,67,substituicao_entra,Hubner
126,4,08:01,CAP,78,67,substituicao_sai,Nesbitt
127,4,08:01,CEA,78,67,substituicao_entra,Walisson
128,4,08:01,CEA,78,67,substituicao_sai,Felipe
129,4,08:01,CAP,78,67,FR,Nesbitt
130,4,08:01,CEA,78,67,FC,Felipe
131,4,08:01,CEA,78,67,RD,Basq  Cearense
132,4,08:01,CAP,78,67,2_Pts_T,Lucas
133,4,08:18,CEA,78,67,LL_Pts_C,Betinho
134,4,08:18,CEA,78,66,LL_Pts_C,Betinho
135,4,08:18,CAP,78,65,substituicao_entra,Deryk
136,4,08:18,CAP,78,65,substituicao_sai,Fuller
137,4,08:18,CAP,78,65,substituicao_entra,Yago
138,4,08:18,CAP,78,65,substituicao_sai,Elinho
139,4,08:18,CEA,78,65,FR,Betinho
140,4,08:18,CAP,78,65,FC,Elinho
141,4,08:33,CAP,78,65,AS,Lucas
142,4,08:33,CAP,78,65,EN,Victão
