,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,67,76,fim_partida,
1,4,00:11,CAX,67,76,BR,Cauê V 
2,4,00:11,CEA,67,76,ER,Paulinho
3,4,00:16,CAX,67,76,AS,Cauê V 
4,4,00:16,CAX,67,76,2_Pts_C,Cafferata
5,4,00:20,CAX,67,74,BR,Marcão
6,4,00:20,CEA,67,74,ER,Rashaun
7,4,00:29,CAX,67,74,LL_Pts_C,Cauê B 
8,4,00:29,CAX,67,73,LL_Pts_C,Cauê B 
9,4,00:29,CAX,67,72,FR,Cauê B 
10,4,00:29,CEA,67,72,FC,Davi
11,4,00:32,CAX,67,72,RD,Cauê V 
12,4,00:32,CEA,67,72,LL_Pts_T,Davi
13,4,00:32,CEA,67,72,LL_Pts_T,Davi
14,4,00:32,CAX,67,72,substituicao_entra,Pedro
15,4,00:32,CAX,67,72,substituicao_sai,Alex
16,4,00:32,CEA,67,72,FR,Davi
17,4,00:32,CAX,67,72,FC,Alex
18,4,00:41,CAX,67,72,LL_Pts_C,Cafferata
19,4,00:41,CAX,67,71,LL_Pts_C,Cafferata
20,4,00:41,CAX,67,70,FR,Cafferata
21,4,00:41,CEA,67,70,FC,Paulinho
22,4,00:44,CEA,67,70,2_Pts_C,B  Fiorotto
23,4,00:55,CEA,65,70,RD,B  Fiorotto
24,4,00:57,CAX,65,70,LL_Pts_T,Alex
25,4,00:57,CAX,65,70,LL_Pts_T,Alex
26,4,00:57,CAX,65,70,FR,Alex
27,4,00:57,CEA,65,70,FC,Betinho
28,4,00:57,CAX,65,70,BR,Alex
29,4,00:57,CEA,65,70,ER,Paulinho
30,4,01:02,CEA,65,70,tempo_tecnico,Basq  Cearense
31,4,01:02,CAX,65,70,LL_Pts_C,Alex
32,4,01:02,CAX,65,69,LL_Pts_C,Alex
33,4,01:02,CEA,65,68,substituicao_entra,Betinho
34,4,01:02,CEA,65,68,substituicao_sai,Felipe
35,4,01:02,CAX,65,68,FR,Alex
36,4,01:02,CEA,65,68,FC,Felipe
37,4,01:16,CAX,65,68,FR,Marcão
38,4,01:16,CEA,65,68,FC,Paulinho
39,4,01:39,CEA,65,68,AS,B  Fiorotto
40,4,01:39,CEA,65,68,3_Pts_C,Davi
