,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,63,67,fim_partida,
1,4,00:07,FRA,63,67,tempo_tecnico,Franca
2,4,00:07,BOT,63,67,LL_Pts_C,Tatum
3,4,00:07,BOT,62,67,LL_Pts_T,Tatum
4,4,00:07,BOT,62,67,FR,Tatum
5,4,00:07,FRA,62,67,FC,Mineiro
6,4,00:13,FRA,62,67,LL_Pts_C,Leandrinho
7,4,00:13,FRA,62,66,LL_Pts_C,Leandrinho
8,4,00:13,FRA,62,65,FR,Leandrinho
9,4,00:13,BOT,62,65,FC,Tatum
10,4,00:31,FRA,62,65,RD,Gruber
11,4,00:32,BOT,62,65,LL_Pts_T,Coimbra
12,4,00:32,BOT,62,65,LL_Pts_T,Coimbra
13,4,00:32,BOT,62,65,FR,Coimbra
14,4,00:32,FRA,62,65,FC,Gruber
15,4,00:32,BOT,62,65,tempo_tecnico,Botafogo
16,4,00:32,FRA,62,65,LL_Pts_C,Leandrinho
17,4,00:32,FRA,62,64,LL_Pts_C,Leandrinho
18,4,00:32,BOT,62,63,substituicao_entra,Fabrício
19,4,00:32,BOT,62,63,substituicao_sai,Gabriel
20,4,00:32,FRA,62,63,FR,Leandrinho
21,4,00:32,BOT,62,63,FC,Gabriel
22,4,00:32,FRA,62,63,RD,Gruber
23,4,00:33,BOT,62,63,2_Pts_T,Guga
24,4,00:54,BOT,62,63,RD,Átila
25,4,00:55,FRA,62,63,LL_Pts_T,Leandrinho
26,4,00:55,FRA,62,63,LL_Pts_C,Leandrinho
27,4,00:55,FRA,62,62,FR,Leandrinho
28,4,00:55,BOT,62,62,FC,Átila
29,4,01:08,BOT,62,62,2_Pts_C,Guga
30,4,01:29,BOT,60,62,tempo_tecnico,Botafogo
31,4,01:29,FRA,60,62,LL_Pts_C,Leandrinho
32,4,01:29,FRA,60,61,LL_Pts_C,Leandrinho
33,4,01:29,FRA,60,60,FR,Leandrinho
34,4,01:29,BOT,60,60,FC,Átila
35,4,01:43,FRA,60,60,FR,Mineiro
36,4,01:43,BOT,60,60,ER,Coimbra
37,4,01:43,BOT,60,60,FC_O,Coimbra
38,4,02:00,FRA,60,60,2_Pts_C,Leandrinho
39,4,02:07,FRA,60,58,FR,Mineiro
40,4,02:07,BOT,60,58,FC,Gabriel
