,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,74,76,,fim_partida,
1,4,00:00,74,76,,fim_quarto,
2,4,00:01,74,76,BAU,2_Pts_C,Lucas
3,4,00:01,74,74,BAU,RO,Lucas
4,4,00:05,74,74,BAU,2_Pts_T,Larry
5,4,00:11,74,74,CAP,substituicao_entra,Du Sommer
6,4,00:11,74,74,CAP,substituicao_sai,Yago
7,4,00:11,74,74,CAP,substituicao_entra,De Paula
8,4,00:11,74,74,CAP,substituicao_sai,Guilherme
9,4,00:11,74,74,BAU,tempo_tecnico,Bauru
10,4,00:12,74,74,BAU,FR,Larry
11,4,00:12,74,74,CAP,FC,Guilherme
12,4,00:21,74,74,CAP,substituicao_entra,Eddy
13,4,00:21,74,74,CAP,substituicao_sai,De Paula
14,4,00:21,74,74,BAU,FR,Larry
15,4,00:21,74,74,CAP,FC,Victão
16,4,00:34,74,74,BAU,RD,Lucas
17,4,00:37,74,74,CAP,3_Pts_T,Léo Meindl
18,4,00:56,74,74,CAP,BR,Victão
19,4,00:56,74,74,BAU,ER,Fúlvio
20,4,01:01,74,74,BAU,RD,Fúlvio
21,4,01:06,74,74,CAP,2_Pts_T,De Paula
22,4,01:10,74,74,CAP,RD,Léo Meindl
23,4,01:13,74,74,BAU,3_Pts_T,Fúlvio
24,4,01:27,74,74,BAU,RD,Ruiz
25,4,01:32,74,74,BAU,TO,Jefferson
26,4,01:32,74,74,CAP,2_Pts_T,Léo Meindl
27,4,01:34,74,74,CAP,RO,Victão
28,4,01:37,74,74,CAP,3_Pts_T,De Paula
29,4,01:52,74,74,BAU,AS,Fúlvio
30,4,01:52,74,74,BAU,3_Pts_C,Jefferson
31,4,02:08,74,71,BAU,substituicao_entra,Ruiz
32,4,02:08,74,71,BAU,substituicao_sai,Gustavo
33,4,02:08,74,71,CAP,tempo_tecnico,Paulistano
34,4,02:08,74,71,CAP,ER,
35,4,02:08,74,71,CAP,2_Pts_T,De Paula
36,4,02:24,74,71,CAP,substituicao_entra,Victão
37,4,02:24,74,71,CAP,substituicao_sai,Eddy
38,4,02:24,74,71,CAP,substituicao_entra,De Paula
39,4,02:24,74,71,CAP,substituicao_sai,Antonio
40,4,02:24,74,71,BAU,ER,Larry
41,4,02:24,74,71,BAU,BR,Larry
42,4,02:24,74,71,CAP,ER,Antonio
43,4,02:36,74,71,BAU,AS,Fúlvio
44,4,02:36,74,71,BAU,2_Pts_C,Lucas
45,4,02:45,74,69,CAP,ER,Yago
46,4,02:57,74,69,CAP,RD,Léo Meindl
47,4,03:00,74,69,BAU,2_Pts_T,Lucas
48,4,03:25,74,69,BAU,substituicao_entra,Jefferson
49,4,03:25,74,69,BAU,substituicao_sai,Cauê
50,4,03:25,74,69,BAU,tempo_tecnico,Bauru
51,4,03:25,74,69,CAP,AS,Léo Meindl
52,4,03:25,74,69,CAP,3_Pts_C,Eddy
53,4,03:34,71,69,CAP,RD,Antonio
54,4,03:38,71,69,BAU,3_Pts_T,Cauê
55,4,04:06,71,69,CAP,2_Pts_C,Guilherme
56,4,04:07,69,69,CAP,RO,Guilherme
57,4,04:08,69,69,CAP,LL_Pts_T,Léo Meindl
58,4,04:08,69,69,CAP,LL_Pts_T,Léo Meindl
59,4,04:08,69,69,BAU,substituicao_entra,Larry
60,4,04:08,69,69,BAU,substituicao_sai,Ruiz
61,4,04:08,69,69,CAP,FR,Léo Meindl
62,4,04:08,69,69,BAU,FC,Ruiz
63,4,04:23,69,69,BAU,AS,Fúlvio
64,4,04:23,69,69,BAU,3_Pts_C,Gustavo
65,4,04:49,69,66,CAP,2_Pts_C,Yago
66,4,05:11,67,66,BAU,AS,Fúlvio
67,4,05:11,67,66,BAU,2_Pts_C,Lucas
68,4,05:33,67,64,CAP,AS,Yago
69,4,05:33,67,64,CAP,2_Pts_C,Antonio
70,4,05:40,65,64,CAP,FR,Yago
71,4,05:40,65,64,BAU,FC,Cauê
72,4,05:44,65,64,CAP,BR,Eddy
73,4,05:44,65,64,BAU,ER,Fúlvio
74,4,05:47,65,64,BAU,RD,Fúlvio
75,4,05:51,65,64,CAP,2_Pts_T,Léo Meindl
76,4,05:59,65,64,CAP,RD,Léo Meindl
77,4,06:01,65,64,BAU,3_Pts_T,Fúlvio
78,4,06:11,65,64,BAU,substituicao_entra,Fúlvio
79,4,06:11,65,64,BAU,substituicao_sai,Larry
80,4,06:26,65,64,CAP,AS,Eddy
81,4,06:26,65,64,CAP,2_Pts_C,Yago
82,4,06:30,63,64,CAP,RD,Guilherme
83,4,06:32,63,64,BAU,3_Pts_T,Cauê
84,4,06:47,63,64,BAU,RO,Bauru
85,4,06:49,63,64,BAU,3_Pts_T,Ruiz
86,4,06:57,63,64,CAP,substituicao_entra,Eddy
87,4,06:57,63,64,CAP,substituicao_sai,De Paula
88,4,06:57,63,64,BAU,FR,Larry
89,4,06:57,63,64,CAP,FC,Guilherme
90,4,07:11,63,64,BAU,RD,Larry
91,4,07:14,63,64,CAP,3_Pts_T,Yago
92,4,07:27,63,64,BAU,substituicao_entra,Lucas
93,4,07:27,63,64,BAU,substituicao_sai,Jefferson
94,4,07:27,63,64,CAP,substituicao_entra,Guilherme
95,4,07:27,63,64,CAP,substituicao_sai,Victão
96,4,07:27,63,64,CAP,FR,Victão
97,4,07:27,63,64,BAU,ER,Jefferson
98,4,07:27,63,64,BAU,FC_O,Jefferson
99,4,07:39,63,64,CAP,ER,Léo Meindl
100,4,07:47,63,64,CAP,FR,Léo Meindl
101,4,07:47,63,64,BAU,FC,Jefferson
102,4,07:57,63,64,BAU,LL_Pts_C,Larry
103,4,07:57,63,63,CAP,substituicao_entra,Léo Meindl
104,4,07:57,63,63,CAP,substituicao_sai,Renan
105,4,07:57,63,63,CAP,substituicao_entra,Yago
106,4,07:57,63,63,CAP,substituicao_sai,Eddy
107,4,07:57,63,63,BAU,FR,Larry
108,4,07:57,63,63,CAP,FC,De Paula
109,4,07:57,63,63,BAU,2_Pts_C,Larry
110,4,08:03,63,61,BAU,RD,Cauê
111,4,08:04,63,61,CAP,2_Pts_T,Eddy
112,4,08:04,63,61,CAP,RO,Eddy
113,4,08:08,63,61,CAP,3_Pts_T,Renan
114,4,08:29,63,61,BAU,2_Pts_C,Larry
115,4,08:38,63,59,BAU,BR,Cauê
116,4,08:38,63,59,CAP,ER,Victão
117,4,08:48,63,59,CAP,LL_Pts_C,De Paula
118,4,08:48,62,59,CAP,LL_Pts_T,De Paula
119,4,08:48,62,59,CAP,FR,De Paula
120,4,08:48,62,59,BAU,FC_A,Ruiz
121,4,08:48,62,59,CAP,RD,Victão
122,4,08:51,62,59,BAU,3_Pts_T,Jefferson
123,4,08:57,62,59,BAU,BR,Ruiz
124,4,08:57,62,59,CAP,ER,Renan
125,4,09:23,62,59,BAU,3_Pts_C,Jefferson
126,4,09:42,62,56,CAP,AS,Eddy
127,4,09:42,62,56,CAP,3_Pts_C,Antonio
128,4,10:00,59,56,,inicio_quarto,
129,3,00:00,59,56,,fim_quarto,
130,3,00:01,59,56,CAP,RD,Antonio
131,3,00:01,59,56,BAU,3_Pts_T,Larry
132,3,00:06,59,56,BAU,FR,Larry
133,3,00:06,59,56,CAP,FC,Eddy
134,3,00:18,59,56,BAU,RD,Larry
135,3,00:20,59,56,CAP,3_Pts_T,De Paula
136,3,00:35,59,56,BAU,substituicao_entra,Cauê
137,3,00:35,59,56,BAU,substituicao_sai,Fúlvio
138,3,00:35,59,56,BAU,substituicao_entra,Jefferson
139,3,00:35,59,56,BAU,substituicao_sai,Lucas
140,3,00:35,59,56,CAP,substituicao_entra,Victão
141,3,00:35,59,56,CAP,substituicao_sai,Léo Meindl
142,3,00:35,59,56,CAP,substituicao_entra,Antonio
143,3,00:35,59,56,CAP,substituicao_sai,Yago
144,3,00:35,59,56,CAP,substituicao_entra,Renan
145,3,00:35,59,56,CAP,substituicao_sai,Guilherme
146,3,00:35,59,56,CAP,FR,De Paula
147,3,00:35,59,56,BAU,FC,Fúlvio
148,3,00:48,59,56,BAU,AS,Fúlvio
149,3,00:48,59,56,BAU,3_Pts_C,Ruiz
150,3,01:03,59,53,CAP,2_Pts_C,Léo Meindl
151,3,01:12,57,53,CAP,RO,Guilherme
152,3,01:14,57,53,CAP,3_Pts_T,Léo Meindl
153,3,01:26,57,53,CAP,RD,Eddy
154,3,01:28,57,53,BAU,3_Pts_T,Lucas
155,3,01:51,57,53,BAU,RD,Larry
156,3,01:53,57,53,CAP,2_Pts_T,Léo Meindl
157,3,02:04,57,53,CAP,RD,Eddy
158,3,02:07,57,53,BAU,3_Pts_T,Gustavo
159,3,02:14,57,53,BAU,BR,Gustavo
160,3,02:14,57,53,CAP,ER,Yago
161,3,02:17,57,53,CAP,BR,Yago
162,3,02:17,57,53,BAU,ER,Lucas
163,3,02:36,57,53,CAP,EN,De Paula
164,3,02:38,55,53,CAP,RO,Guilherme
165,3,02:41,55,53,CAP,3_Pts_T,Eddy
166,3,03:06,55,53,BAU,2_Pts_C,Larry
167,3,03:18,55,51,CAP,ER,Eddy
168,3,03:32,55,51,CAP,substituicao_entra,Eddy
169,3,03:32,55,51,CAP,substituicao_sai,Victão
170,3,03:32,55,51,BAU,ER,Ruiz
171,3,03:54,55,51,CAP,AS,De Paula
