,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,75,90,,fim_partida,
1,4,00:00,75,90,,fim_quarto,
2,4,00:25,75,90,BOT,3_Pts_C,Jamaal
3,4,00:30,72,90,FLA,substituicao_entra,Weber
4,4,00:30,72,90,FLA,substituicao_sai,Marquinhos
5,4,00:30,72,90,FLA,LL_Pts_C,Marquinhos
6,4,00:30,72,89,FLA,LL_Pts_C,Marquinhos
7,4,00:30,72,88,FLA,LL_Pts_C,Marquinhos
8,4,00:30,72,87,FLA,substituicao_entra,Ruan
9,4,00:30,72,87,FLA,substituicao_sai,Varejão
10,4,00:30,72,87,FLA,substituicao_entra,Crescenzi
11,4,00:30,72,87,FLA,substituicao_sai,Balbi
12,4,00:30,72,87,FLA,FR,Marquinhos
13,4,00:30,72,87,BOT,FC,Arthur
14,4,00:56,72,87,BOT,2_Pts_C,Jamaal
15,4,01:03,70,87,FLA,AS,Balbi
16,4,01:03,70,87,FLA,2_Pts_C,Marquinhos
17,4,01:13,70,85,FLA,substituicao_entra,Varejão
18,4,01:13,70,85,FLA,substituicao_sai,Nesbitt
19,4,01:13,70,85,FLA,substituicao_entra,Marquinhos
20,4,01:13,70,85,FLA,substituicao_sai,Olivinha
21,4,01:13,70,85,FLA,substituicao_entra,Deryk
22,4,01:13,70,85,FLA,substituicao_sai,Mineiro
23,4,01:13,70,85,FLA,substituicao_entra,Balbi
24,4,01:13,70,85,FLA,substituicao_sai,Crescenzi
25,4,01:16,70,85,BOT,2_Pts_C,Jamaal
26,4,01:25,68,85,FLA,LL_Pts_C,Nesbitt
27,4,01:25,68,84,FLA,AS,Balbi
28,4,01:25,68,84,FLA,LL_Pts_C,Nesbitt
29,4,01:25,68,83,FLA,substituicao_entra,Olivinha
30,4,01:25,68,83,FLA,substituicao_sai,Deryk
31,4,01:25,68,83,FLA,substituicao_entra,Crescenzi
32,4,01:25,68,83,FLA,substituicao_sai,Balbi
33,4,01:25,68,83,BOT,substituicao_entra,Coelho
34,4,01:25,68,83,BOT,substituicao_sai,Maique
35,4,01:25,68,83,FLA,FR,Nesbitt
36,4,01:25,68,83,BOT,FC,Arthur
37,4,01:32,68,83,FLA,RD,Nesbitt
38,4,01:35,68,83,FLA,TO,Mineiro
39,4,01:35,68,83,BOT,2_Pts_T,Cauê
40,4,01:40,68,83,BOT,tempo_tecnico,Botafogo
41,4,01:40,68,83,BOT,substituicao_entra,Maique
42,4,01:40,68,83,BOT,substituicao_sai,Coelho
43,4,01:41,68,83,FLA,substituicao_entra,Deryk
44,4,01:41,68,83,FLA,substituicao_sai,Marquinhos
45,4,01:41,68,83,BOT,FR,Jamaal
46,4,01:41,68,83,FLA,FC,Balbi
47,4,01:43,68,83,BOT,RD,Arthur
48,4,01:47,68,83,FLA,2_Pts_T,Marquinhos
49,4,02:06,68,83,FLA,RD,Davi
50,4,02:09,68,83,BOT,3_Pts_T,Cauê
51,4,02:20,68,83,BOT,RD,Jamaal
52,4,02:24,68,83,FLA,3_Pts_T,Balbi
53,4,02:42,68,83,FLA,RD,Nesbitt
54,4,02:44,68,83,BOT,3_Pts_T,Jamaal
55,4,03:04,68,83,FLA,AS,Marquinhos
56,4,03:04,68,83,FLA,2_Pts_C,Mineiro
57,4,03:13,68,81,FLA,FR,Balbi
58,4,03:13,68,81,BOT,FC,Coelho
59,4,04:10,68,81,FLA,BR,Balbi
60,4,04:10,68,81,BOT,ER,Cauê
61,4,04:10,68,81,FLA,AS,Balbi
62,4,04:10,68,81,FLA,2_Pts_C,Marquinhos
63,4,04:10,68,79,FLA,RD,Balbi
64,4,04:10,68,79,BOT,3_Pts_T,Diego
65,4,04:10,68,79,BOT,substituicao_entra,Diego
66,4,04:10,68,79,BOT,substituicao_sai,Maique
67,4,04:10,68,79,BOT,tempo_tecnico,Botafogo
68,4,04:11,68,79,FLA,3_Pts_C,Marquinhos
69,4,04:30,68,76,FLA,RD,Balbi
70,4,04:32,68,76,BOT,3_Pts_T,Cauê
71,4,04:57,68,76,FLA,2_Pts_C,Marquinhos
72,4,05:03,68,74,FLA,RD,Mineiro
73,4,05:07,68,74,FLA,TO,Mineiro
74,4,05:07,68,74,BOT,2_Pts_T,Maique
75,4,05:16,68,74,BOT,RD,Arthur
76,4,05:19,68,74,FLA,2_Pts_T,Balbi
77,4,05:43,68,74,BOT,AS,Cauê
78,4,05:43,68,74,BOT,2_Pts_C,Arthur
79,4,06:01,66,74,FLA,3_Pts_C,Davi
80,4,06:20,66,71,BOT,LL_Pts_C,Maique
81,4,06:20,65,71,BOT,LL_Pts_C,Maique
82,4,06:20,64,71,FLA,substituicao_entra,Nesbitt
83,4,06:20,64,71,FLA,substituicao_sai,Varejão
84,4,06:20,64,71,BOT,FR,Maique
85,4,06:20,64,71,FLA,FC,Varejão
86,4,06:20,64,71,BOT,BR,Maique
87,4,06:20,64,71,FLA,ER,Marquinhos
88,4,06:23,64,71,BOT,substituicao_entra,Maique
89,4,06:23,64,71,BOT,substituicao_sai,Diego
90,4,06:23,64,71,FLA,FR,Balbi
91,4,06:23,64,71,BOT,FC,Diego
92,4,06:36,64,71,FLA,RD,Balbi
93,4,06:39,64,71,BOT,2_Pts_T,Coelho
94,4,07:05,64,71,FLA,3_Pts_C,Balbi
95,4,07:25,64,68,FLA,substituicao_entra,Varejão
96,4,07:25,64,68,FLA,substituicao_sai,Olivinha
97,4,07:29,64,68,BOT,AS,Arthur
