,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,57,55,fim_partida,
1,4,00:00,NaN,57,55,fim_quarto, 
2,4,00:02,COR,57,55,FR,Aguiar
3,4,00:02,CEA,57,55,FC,Victor
4,4,00:02,CEA,57,55,substituicao_entra,Cobb
5,4,00:02,CEA,57,55,substituicao_sai,Rashaun
6,4,00:02,CEA,57,55,substituicao_entra,Paulo
7,4,00:02,CEA,57,55,substituicao_sai,Brite
8,4,00:03,CEA,57,55,substituicao_entra,Feliciano
9,4,00:03,CEA,57,55,substituicao_sai,Kurtz
10,4,00:03,CEA,57,55,substituicao_entra,Victor
11,4,00:03,CEA,57,55,substituicao_sai,Cobb
12,4,00:03,CEA,57,55,substituicao_entra,Brite
13,4,00:03,CEA,57,55,substituicao_sai,Paulo
14,4,00:03,COR,57,55,substituicao_entra,Aguiar
15,4,00:03,COR,57,55,substituicao_sai,Shilton
16,4,00:03,COR,57,55,tempo_tecnico,Corinthians
17,4,00:03,COR,57,55,RD,Corinthians
18,4,00:03,CEA,57,55,3_Pts_T,Felipe
19,4,00:17,CEA,57,55,tempo_tecnico,Basq  Cearense
20,4,00:17,COR,57,55,ER,
21,4,00:31,CEA,57,55,substituicao_entra,Rashaun
22,4,00:31,CEA,57,55,substituicao_sai,Victor
23,4,00:31,COR,57,55,RO,Humberto
24,4,00:31,COR,57,55,3_Pts_T,Fuller
25,4,00:54,COR,57,55,tempo_tecnico,Corinthians
26,4,00:54,CEA,57,55,LL_Pts_C,Paulo
27,4,00:54,CEA,57,54,LL_Pts_C,Paulo
28,4,00:54,CEA,57,53,substituicao_entra,Victor
29,4,00:54,CEA,57,53,substituicao_sai,Rashaun
30,4,00:54,COR,57,53,substituicao_entra,Fuller
31,4,00:54,COR,57,53,substituicao_sai,Aguiar
32,4,00:54,CEA,57,53,FR,Paulo
33,4,00:54,COR,57,53,FC,Shilton
34,4,00:54,CEA,57,53,RO,Paulo
35,4,00:55,CEA,57,53,3_Pts_T,Rashaun
36,4,00:58,CEA,57,53,RO,Rashaun
37,4,01:02,CEA,57,53,LL_Pts_T,Rashaun
38,4,01:02,CEA,57,53,LL_Pts_C,Rashaun
39,4,01:02,CEA,57,52,FR,Rashaun
40,4,01:02,COR,57,52,FC,Shilton
41,4,01:02,CEA,57,52,RD,Rashaun
42,4,01:07,COR,57,52,2_Pts_T,Aguiar
43,4,01:16,COR,57,52,RO,Shilton
44,4,01:22,COR,57,52,2_Pts_T,Gustavinho
45,4,01:42,CEA,57,52,ER,
46,4,02:07,COR,57,52,substituicao_entra,Humberto
47,4,02:07,COR,57,52,substituicao_sai,Fuller
48,4,02:07,COR,57,52,ER,
49,4,02:07,COR,57,52,3_Pts_T,Fuller
50,4,02:32,COR,57,52,substituicao_entra,Shilton
51,4,02:32,COR,57,52,substituicao_sai,Abner
52,4,02:32,COR,57,52,substituicao_entra,Aguiar
53,4,02:32,COR,57,52,substituicao_sai,Humberto
54,4,02:32,COR,57,52,tempo_tecnico,Corinthians
55,4,02:32,CEA,57,52,AS,Cobb
56,4,02:32,CEA,57,52,2_Pts_C,Kurtz
57,4,02:49,CEA,57,50,RD,Rashaun
58,4,02:53,COR,57,50,2_Pts_T,Teichmann
59,4,03:12,CEA,57,50,2_Pts_C,Cobb
60,4,03:19,CEA,57,48,RD,Kurtz
61,4,03:22,COR,57,48,3_Pts_T,Humberto
62,4,03:46,COR,57,48,RD,Abner
63,4,03:49,CEA,57,48,LL_Pts_T,Rashaun
64,4,03:49,CEA,57,48,FR,Rashaun
65,4,03:49,COR,57,48,FC,Humberto
66,4,03:49,CEA,57,48,AS,Cobb
67,4,03:49,CEA,57,48,3_Pts_C,Rashaun
68,4,04:14,CEA,57,45,FR,Rashaun
69,4,04:14,COR,57,45,FC,Humberto
70,4,04:17,CEA,57,45,substituicao_entra,Rashaun
71,4,04:17,CEA,57,45,substituicao_sai,Victor
