,Quarto,Tempo,placar_casa,placar_visitante,Time,Indicador,Nome
0,4,00:00,76,73,,fim_partida,
1,4,00:00,76,73,,fim_quarto,
2,4,00:02,76,73,APB,3_Pts_T,Gegê
3,4,00:03,76,73,APB,RD,Leandro
4,4,00:03,76,73,BRA,LL_Pts_T,Ronald
5,4,00:03,76,73,BRA,LL_Pts_C,Ronald
6,4,00:03,75,73,APB,substituicao_entra,Leandro
7,4,00:03,75,73,APB,substituicao_sai,Paulo
8,4,00:04,75,73,BRA,FR,Ronald
9,4,00:04,75,73,APB,FC,Paulo
10,4,00:05,75,73,APB,ER,Gegê
11,4,00:05,75,73,BRA,substituicao_entra,P Rava
12,4,00:05,75,73,BRA,substituicao_sai,B Fiorotto
13,4,00:05,75,73,APB,tempo_tecnico,Pato Basquete
14,4,00:23,75,73,APB,tempo_tecnico,Pato Basquete
15,4,00:23,75,73,BRA,2_Pts_C,Ronald
16,4,00:23,73,73,BRA,RO,Ronald
17,4,00:23,73,73,BRA,3_Pts_T,Nezinho
18,4,00:24,73,73,BRA,RO,Nezinho
19,4,00:28,73,73,BRA,2_Pts_T,Nezinho
20,4,00:45,73,73,APB,ER,Thornton
21,4,00:58,73,73,BRA,substituicao_entra,Nezinho
22,4,00:58,73,73,BRA,substituicao_sai,P Rava
23,4,00:58,73,73,BRA,ER,Gui Santos
24,4,01:15,73,73,BRA,RD,P Rava
25,4,01:18,73,73,APB,3_Pts_T,Gustavo
26,4,01:35,73,73,BRA,2_Pts_C,Gui Santos
27,4,01:43,71,73,BRA,RD,B Fiorotto
28,4,01:47,71,73,APB,2_Pts_T,Paulo
29,4,01:47,71,73,APB,RO,Paulo
30,4,01:51,71,73,APB,3_Pts_T,Gustavo
31,4,02:03,71,73,BRA,substituicao_entra,P Rava
32,4,02:03,71,73,BRA,substituicao_sai,Nezinho
33,4,02:03,71,73,BRA,,
34,4,02:10,71,73,APB,AS,Paulo
35,4,02:10,71,73,APB,3_Pts_C,Gegê
36,4,02:12,71,70,BRA,tempo_tecnico,Universo/Brasília
37,4,02:13,71,70,APB,RO,Paulo
38,4,02:17,71,70,APB,3_Pts_T,Thornton
39,4,02:40,71,70,BRA,LL_Pts_C,Ronald
40,4,02:40,70,70,BRA,AS,B Fiorotto
41,4,02:40,70,70,BRA,LL_Pts_C,Ronald
42,4,02:40,69,70,APB,substituicao_entra,Paulo
43,4,02:40,69,70,APB,substituicao_sai,Coimbra
44,4,02:40,69,70,BRA,FR,Ronald
45,4,02:40,69,70,APB,FC,Coimbra
46,4,02:56,69,70,APB,LL_Pts_C,Coimbra
47,4,02:56,69,69,APB,substituicao_entra,Paulo
48,4,02:56,69,69,APB,substituicao_sai,Augusto
49,4,02:56,69,69,APB,FR,Coimbra
50,4,02:56,69,69,BRA,FC,B Fiorotto
51,4,02:56,69,69,APB,2_Pts_C,Coimbra
52,4,03:24,69,67,BRA,2_Pts_C,Arthur
53,4,03:40,67,67,BRA,RD,Gui Santos
54,4,03:43,67,67,APB,3_Pts_T,Gegê
55,4,03:46,67,67,APB,RD,Thornton
56,4,03:50,67,67,BRA,2_Pts_T,Arthur
57,4,03:56,67,67,BRA,RO,Universo/Brasília
58,4,03:57,67,67,BRA,2_Pts_T,Ronald
59,4,04:15,67,67,APB,LL_Pts_C,Thornton
60,4,04:15,67,66,APB,LL_Pts_C,Thornton
61,4,04:15,67,65,APB,FR,Thornton
62,4,04:15,67,65,BRA,FC,B Fiorotto
63,4,04:32,67,65,BRA,AS,Nezinho
64,4,04:32,67,65,BRA,2_Pts_C,Ronald
65,4,04:52,65,65,APB,ER,Gegê
66,4,04:58,65,65,BRA,AS,Nezinho
67,4,04:58,65,65,BRA,2_Pts_C,Ronald
68,4,05:13,63,65,BRA,RD,Gui Santos
69,4,05:17,63,65,APB,2_Pts_T,Thornton
70,4,05:28,63,65,BRA,substituicao_entra,Ronald
71,4,05:28,63,65,BRA,substituicao_sai,P Rava
72,4,05:28,63,65,APB,tempo_tecnico,Pato Basquete
73,4,05:31,63,65,BRA,2_Pts_C,Nezinho
74,4,05:49,61,65,BRA,BR,Nezinho
75,4,05:49,61,65,APB,ER,Coimbra
76,4,05:57,61,65,APB,RO,Pato Basquete
77,4,06:00,61,65,APB,2_Pts_T,Augusto
78,4,06:18,61,65,BRA,2_Pts_C,B Fiorotto
79,4,06:19,59,65,APB,substituicao_entra,Coimbra
80,4,06:19,59,65,APB,substituicao_sai,Funches III
81,4,06:19,59,65,BRA,substituicao_entra,Gui Santos
82,4,06:19,59,65,BRA,substituicao_sai,Rafa Moreira
83,4,06:19,59,65,BRA,FR,Nezinho
84,4,06:19,59,65,APB,FC,Funches III
85,4,06:31,59,65,APB,AS,Gegê
86,4,06:31,59,65,APB,3_Pts_C,Thornton
87,4,06:41,59,62,APB,substituicao_entra,Gustavo
88,4,06:41,59,62,APB,substituicao_sai,Leandro
89,4,06:41,59,62,APB,FR,Leandro
90,4,06:41,59,62,BRA,FC,Arthur
91,4,06:41,59,62,APB,RO,Thornton
92,4,06:44,59,62,APB,3_Pts_T,Leandro
93,4,06:48,59,62,APB,RD,Gegê
94,4,06:52,59,62,BRA,3_Pts_T,Arthur
95,4,07:05,59,62,BRA,FR,Arthur
96,4,07:05,59,62,APB,FC,Leandro
97,4,07:11,59,62,BRA,RD,Nezinho
98,4,07:18,59,62,APB,2_Pts_T,Thornton
99,4,07:28,59,62,APB,RD,Funches III
100,4,07:33,59,62,BRA,3_Pts_T,Rafa Moreira
101,4,07:40,59,62,APB,substituicao_entra,Funches III
102,4,07:40,59,62,APB,substituicao_sai,Coimbra
103,4,07:40,59,62,BRA,FR,B Fiorotto
104,4,07:40,59,62,APB,FC,Coimbra
105,4,08:16,59,62,BRA,RD,Universo/Brasília
106,4,08:16,59,62,APB,3_Pts_T,Augusto
107,4,08:22,59,62,APB,BR,Coimbra
108,4,08:22,59,62,BRA,ER,Rafa Moreira
109,4,08:30,59,62,APB,AS,Leandro
110,4,08:30,59,62,APB,3_Pts_C,Augusto
111,4,08:47,59,59,BRA,RD,Universo/Brasília
112,4,08:47,59,59,APB,LL_Pts_T,Coimbra
113,4,08:47,59,59,APB,FR,Coimbra
114,4,08:47,59,59,BRA,FC,Nezinho
115,4,08:47,59,59,APB,AS,Augusto
116,4,08:47,59,59,APB,2_Pts_C,Coimbra
117,4,08:52,59,57,APB,RD,Coimbra
118,4,08:58,59,57,BRA,3_Pts_T,Rafa Moreira
119,4,09:11,59,57,BRA,RD,Arthur
120,4,09:11,59,57,APB,LL_Pts_T,Leandro
121,4,09:11,59,57,APB,LL_Pts_C,Leandro
122,4,09:11,59,56,APB,FR,Leandro
123,4,09:11,59,56,BRA,FC,Rafa Moreira
124,4,09:30,59,56,BRA,AS,P Rava
125,4,09:30,59,56,BRA,2_Pts_C,Arthur
126,4,09:33,57,56,BRA,RD,P Rava
127,4,09:37,57,56,APB,3_Pts_T,Thornton
128,4,10:00,57,56,,inicio_quarto,
129,3,00:00,57,56,,fim_quarto,
130,3,00:06,57,56,BRA,AS,P Rava
131,3,00:06,57,56,BRA,3_Pts_C,B Fiorotto
132,3,00:28,54,56,APB,2_Pts_C,Gustavo
133,3,00:29,54,54,APB,RD,Gustavo
134,3,00:32,54,54,BRA,2_Pts_T,Gui Santos
135,3,00:39,54,54,BRA,BR,Arthur
136,3,00:39,54,54,APB,ER,Coimbra
137,3,00:58,54,54,BRA,ER,P Rava
138,3,01:17,54,54,APB,substituicao_entra,Coimbra
139,3,01:17,54,54,APB,substituicao_sai,Funches III
140,3,01:17,54,54,BRA,FR,Rafa Moreira
