,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,6,00:00,NaN,91,95,fim_partida,
1,6,00:00,Fim  do período de prorragação,91,95,,
2,6,00:01,FLA,91,95,3_Pts_T,Balbi
3,6,00:01,MIN,91,95,LL_Pts_C,Alex
4,6,00:01,MIN,91,94,LL_Pts_C,Alex
5,6,00:01,FLA,91,93,substituicao_entra,Léo Demétrio
6,6,00:01,FLA,91,93,substituicao_entra,Olivinha
7,6,00:01,FLA,91,93,substituicao_sai,Mineiro
8,6,00:01,FLA,91,93,substituicao_sai,Jhonatan
9,6,00:03,MIN,91,93,FR,Alex
10,6,00:03,FLA,91,93,FC,Mineiro
11,6,00:05,MIN,91,93,RO,Alex
12,6,00:07,MIN,91,93,LL_Pts_T,Davi
13,6,00:07,MIN,91,93,LL_Pts_T,Davi
14,6,00:07,MIN,91,93,FR,Davi
15,6,00:07,FLA,91,93,FC,Marquinhos
16,6,00:09,MIN,91,93,RO,Alex
17,6,00:13,MIN,91,93,3_Pts_T,Davi
18,6,00:32,FLA,91,93,ER,Zach Graham
19,6,00:50,FLA,91,93,RD,Marquinhos
20,6,00:50,MIN,91,93,LL_Pts_T,Scott
21,6,00:50,MIN,91,93,AS,Alex
22,6,00:50,MIN,91,93,LL_Pts_C,Scott
23,6,00:50,MIN,91,92,FR,Scott
24,6,00:50,FLA,91,92,FC,Mineiro
25,6,01:09,MIN,91,92,RD,Minas
26,6,01:11,FLA,91,92,3_Pts_T,Zach Graham
27,6,01:18,FLA,91,92,RO,Zach Graham
28,6,01:22,FLA,91,92,3_Pts_T,Balbi
29,6,01:44,MIN,91,92,ER,Davi
30,6,02:07,MIN,91,92,RD,Scott
31,6,02:11,FLA,91,92,3_Pts_T,Zach Graham
32,6,02:20,MIN,91,92,2_Pts_C,Davi
33,6,02:36,FLA,91,90,2_Pts_C,Zach Graham
34,6,02:56,FLA,89,90,RD,Jhonatan
35,6,03:00,MIN,89,90,2_Pts_T,Leandrinho
36,6,03:14,FLA,89,90,AS,Balbi
37,6,03:14,FLA,89,90,3_Pts_C,Marquinhos
38,6,03:20,FLA,86,90,RO,Flamengo
39,6,03:20,FLA,86,90,LL_Pts_T,Mineiro
40,6,03:20,FLA,86,90,LL_Pts_C,Mineiro
41,6,03:20,FLA,85,90,FR,Mineiro
42,6,03:20,MIN,85,90,FC,Davi
43,6,03:34,MIN,85,90,LL_Pts_C,Scott
44,6,03:34,MIN,85,89,LL_Pts_C,Scott
45,6,03:34,FLA,85,88,substituicao_entra,Balbi
46,6,03:34,FLA,85,88,substituicao_sai,Vargas
47,6,03:34,FLA,85,88,substituicao_entra,Mineiro
48,6,03:34,FLA,85,88,substituicao_sai,Barrera
49,6,03:34,MIN,85,88,FR,Alex
50,6,03:34,FLA,85,88,FC,Vargas
51,6,03:34,FLA,85,88,RO,Flamengo
52,6,03:35,FLA,85,88,3_Pts_T,Zach Graham
53,6,03:48,MIN,85,88,3_Pts_C,Leandrinho
54,6,04:00,FLA,85,85,LL_Pts_C,Vargas
55,6,04:00,FLA,84,85,LL_Pts_T,Vargas
56,6,04:00,FLA,84,85,substituicao_entra,Barrera
57,6,04:00,FLA,84,85,substituicao_sai,Balbi
58,6,04:00,FLA,84,85,FR,Vargas
59,6,04:00,MIN,84,85,FC,Scott
60,6,04:15,MIN,84,85,LL_Pts_C,Leandrinho
61,6,04:15,MIN,84,84,LL_Pts_T,Leandrinho
62,6,04:15,FLA,84,84,substituicao_entra,Marquinhos
63,6,04:15,FLA,84,84,substituicao_sai,Deryk
64,6,04:15,MIN,84,84,FR,Leandrinho
65,6,04:15,FLA,84,84,FC,Jhonatan
66,6,04:20,MIN,84,84,RD,Scott
67,6,04:25,FLA,84,84,2_Pts_T,Vargas
68,6,04:45,FLA,84,84,BR,Zach Graham
69,6,04:45,MIN,84,84,ER,Alex
70,6,04:46,MIN,84,84,RO,Alex
71,6,04:50,MIN,84,84,2_Pts_T,Alex
72,6,05:00,Início do  de período de prorragação,84,84,,
73,6,05:00,FLA,84,84,substituicao_entra,Vargas
74,6,05:00,FLA,84,84,substituicao_entra,Jhonatan
75,6,05:00,FLA,84,84,substituicao_sai,Léo Demétrio
76,6,05:00,FLA,84,84,substituicao_sai,Mineiro
77,6,05:00,MIN,84,84,substituicao_entra,Deodato
78,6,05:00,MIN,84,84,substituicao_sai,Tyrone 
79,6,05:00,FLA,84,84,substituicao_entra,Léo Demétrio
80,6,05:00,FLA,84,84,substituicao_sai,Marquinhos
81,5,00:00,Fim  do período de prorragação,84,84,,
82,5,00:04,MIN,84,84,RD,Tyrone 
83,5,00:04,FLA,84,84,2_Pts_T,Balbi
84,5,00:08,FLA,84,84,RD,Balbi
85,5,00:10,MIN,84,84,3_Pts_T,Alex
86,5,00:26,MIN,84,84,RD,Tyrone 
87,5,00:30,FLA,84,84,3_Pts_T,Marquinhos
88,5,00:31,FLA,84,84,RO,Marquinhos
89,5,00:35,FLA,84,84,3_Pts_T,Balbi
90,5,00:47,FLA,84,84,substituicao_entra,Deryk
91,5,00:47,FLA,84,84,substituicao_sai,Léo Demétrio
92,5,00:47,MIN,84,84,LL_Pts_C,Scott
93,5,00:47,MIN,84,83,LL_Pts_C,Scott
94,5,00:47,MIN,84,82,FR,Scott
95,5,00:47,FLA,84,82,FC,Mineiro
96,5,00:55,FLA,84,82,LL_Pts_C,Marquinhos
97,5,00:55,FLA,83,82,LL_Pts_T,Marquinhos
98,5,00:55,FLA,83,82,FR,Marquinhos
99,5,00:55,MIN,83,82,FC,Scott
100,5,01:13,MIN,83,82,LL_Pts_C,Leandrinho
101,5,01:13,MIN,83,81,LL_Pts_C,Leandrinho
102,5,01:13,FLA,83,80,substituicao_entra,Marquinhos
103,5,01:13,FLA,83,80,substituicao_sai,Barrera
104,5,01:13,MIN,83,80,FR,Leandrinho
105,5,01:13,FLA,83,80,FC,Barrera
106,5,01:22,FLA,83,80,substituicao_entra,Barrera
107,5,01:22,FLA,83,80,substituicao_sai,Marquinhos
108,5,01:22,FLA,83,80,2_Pts_C,Zach Graham
109,5,01:45,FLA,81,80,substituicao_entra,Léo Demétrio
110,5,01:45,FLA,81,80,substituicao_sai,Olivinha
111,5,01:45,MIN,81,80,AS,Alex
112,5,01:45,MIN,81,80,2_Pts_C,Scott
113,5,01:53,MIN,81,78,RD,Alex
114,5,01:55,FLA,81,78,3_Pts_T,Marquinhos
115,5,02:15,FLA,81,78,RD,Marquinhos
116,5,02:20,MIN,81,78,2_Pts_T,Leandrinho
117,5,02:37,MIN,81,78,tempo_tecnico,Minas
118,5,02:39,FLA,81,78,AS,Balbi
119,5,02:39,FLA,81,78,2_Pts_C,Marquinhos
120,5,02:41,FLA,79,78,RD,Balbi
121,5,02:46,FLA,79,78,TO,Marquinhos
122,5,02:46,MIN,79,78,2_Pts_T,Leandrinho
123,5,03:06,FLA,79,78,substituicao_entra,Balbi
124,5,03:06,FLA,79,78,substituicao_sai,Barrera
125,5,03:08,MIN,79,78,FR,Tyrone 
126,5,03:08,FLA,79,78,ER,Zach Graham
127,5,03:08,FLA,79,78,FC_O,Zach Graham
128,5,03:12,FLA,79,78,BR,Zach Graham
129,5,03:12,MIN,79,78,ER,Alex
130,5,03:22,MIN,79,78,RD,Tyrone 
131,5,03:26,FLA,79,78,3_Pts_T,Zach Graham
132,5,03:43,MIN,79,78,2_Pts_C,Scott
133,5,04:02,FLA,79,76,substituicao_entra,Olivinha
134,5,04:02,FLA,79,76,substituicao_sai,Léo Demétrio
135,5,04:02,FLA,79,76,LL_Pts_C,Léo Demétrio
136,5,04:02,FLA,78,76,LL_Pts_C,Léo Demétrio
137,5,04:02,FLA,77,76,FR,Léo Demétrio
138,5,04:02,MIN,77,76,FC,Tyrone 
139,5,04:21,FLA,77,76,RD,Léo Demétrio
140,5,04:26,MIN,77,76,3_Pts_T,Davi
141,5,04:44,MIN,77,76,RD,Scott
142,5,04:44,FLA,77,76,LL_Pts_T,Marquinhos
143,5,04:44,FLA,77,76,LL_Pts_T,Marquinhos
144,5,04:44,FLA,77,76,LL_Pts_C,Marquinhos
145,5,04:44,MIN,76,76,substituicao_entra,Scott
146,5,04:44,MIN,76,76,substituicao_sai,Shilton
147,5,04:44,FLA,76,76,FR,Marquinhos
148,5,04:44,MIN,76,76,FC,Shilton
149,5,05:00,Início do  de período de prorragação,76,76,,
