,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN,81,78,fim_partida,
1,4,00:00,NaN,81,78,fim_quarto, 
2,4,00:01,PIN,81,78,AS,Betinho
3,4,00:01,PIN,81,78,3_Pts_C,Ware
4,4,00:08,PIN,78,78,RO,Ware
5,4,00:08,PIN,78,78,LL_Pts_T,C  Torres
6,4,00:08,PIN,78,78,LL_Pts_T,C  Torres
7,4,00:08,COR,78,78,substituicao_entra,Fuller
8,4,00:08,COR,78,78,substituicao_sai,Arthur Pecos
9,4,00:08,PIN,78,78,FR,C  Torres
10,4,00:08,COR,78,78,FC,Wesley
11,4,00:12,COR,78,78,substituicao_entra,Fischer
12,4,00:12,COR,78,78,substituicao_sai,Nesbitt
13,4,00:12,PIN,78,78,tempo_tecnico,Pinheiros
14,4,00:12,PIN,78,78,FR,Ware
15,4,00:12,COR,78,78,FC,Nesbitt
16,4,00:14,COR,78,78,substituicao_entra,Arthur Pecos
17,4,00:14,COR,78,78,substituicao_entra,Humberto
18,4,00:14,COR,78,78,substituicao_sai,Fuller
19,4,00:14,COR,78,78,substituicao_sai,Fischer
20,4,00:14,PIN,78,78,substituicao_entra,C  Torres
21,4,00:14,PIN,78,78,substituicao_entra,Dawkins
22,4,00:14,PIN,78,78,substituicao_sai,Toledo
23,4,00:14,PIN,78,78,substituicao_sai,Buffat
24,4,00:14,PIN,78,78,tempo_tecnico,Pinheiros
25,4,00:14,COR,78,78,AS,Fischer
26,4,00:14,COR,78,78,EN,Nesbitt
27,4,00:28,PIN,78,76,substituicao_entra,Buffat
28,4,00:28,PIN,78,76,substituicao_sai,Dawkins
29,4,00:31,PIN,78,76,ER,
30,4,00:33,PIN,78,76,2_Pts_T,Dawkins
31,4,00:45,PIN,78,76,FR,Bennett
32,4,00:45,COR,78,76,FC,Nesbitt
33,4,00:51,COR,78,76,2_Pts_C,Fischer
34,4,00:51,COR,78,74,RO,Fischer
35,4,00:57,COR,78,74,2_Pts_T,Fuller
36,4,01:02,COR,78,74,BR,Fuller
37,4,01:02,PIN,78,74,ER,Dawkins
38,4,01:22,PIN,78,74,BR,Bennett
39,4,01:22,COR,78,74,ER,Fischer
40,4,01:45,PIN,78,74,2_Pts_C,Bennett
41,4,01:54,COR,76,74,LL_Pts_C,Fuller
42,4,01:54,COR,76,73,LL_Pts_C,Fuller
43,4,01:54,COR,76,72,FR,Fuller
44,4,01:54,PIN,76,72,FC,Dawkins
45,4,02:07,PIN,76,72,AS,Dawkins
46,4,02:07,PIN,76,72,2_Pts_C,Bennett
47,4,02:12,PIN,74,72,BR,Dawkins
48,4,02:12,COR,74,72,ER,Wesley
49,4,02:28,COR,74,72,RD,Nesbitt
50,4,02:31,PIN,74,72,2_Pts_T,Dawkins
51,4,02:48,PIN,74,72,RD,Toledo
52,4,02:52,COR,74,72,2_Pts_T,Nesbitt
53,4,03:14,COR,74,72,BR,Wesley
54,4,03:14,PIN,74,72,ER,Betinho
55,4,03:38,COR,74,72,AS,Wesley
56,4,03:38,COR,74,72,3_Pts_C,Robinson
57,4,03:47,COR,74,69,FR,Nesbitt
58,4,03:47,PIN,74,69,FC,Toledo
59,4,03:59,COR,74,69,tempo_tecnico,Corinthians
60,4,04:02,PIN,74,69,3_Pts_C,Dawkins
61,4,04:17,PIN,71,69,RD,Toledo
62,4,04:21,COR,71,69,3_Pts_T,Fischer
63,4,04:44,PIN,71,69,2_Pts_C,Bennett
64,4,04:45,PIN,69,69,RO,Bennett
65,4,04:49,PIN,69,69,3_Pts_T,Betinho
66,4,05:05,PIN,69,69,RO,Pinheiros
67,4,05:05,COR,69,69,TO,Wesley
68,4,05:05,PIN,69,69,2_Pts_T,Dawkins
69,4,05:09,PIN,69,69,BR,Bennett
70,4,05:09,COR,69,69,ER,Wesley
71,4,05:22,PIN,69,69,AS,Dawkins
72,4,05:22,PIN,69,69,2_Pts_C,Betinho
73,4,05:23,PIN,67,69,RD,Dawkins
74,4,05:28,COR,67,69,3_Pts_T,Fischer
75,4,05:34,COR,67,69,substituicao_entra,Wesley
76,4,05:34,COR,67,69,substituicao_entra,Fischer
77,4,05:34,COR,67,69,substituicao_sai,Johnson
78,4,05:34,COR,67,69,substituicao_sai,Arthur Pecos
79,4,05:34,PIN,67,69,substituicao_entra,Ware
80,4,05:34,PIN,67,69,substituicao_entra,Betinho
81,4,05:34,PIN,67,69,substituicao_entra,Toledo
82,4,05:34,PIN,67,69,substituicao_sai,C  Torres
83,4,05:34,PIN,67,69,substituicao_sai,Cauê
84,4,05:34,PIN,67,69,substituicao_sai,Buffat
85,4,05:34,COR,67,69,FR,Fuller
86,4,05:34,PIN,67,69,FC,Cauê
87,4,05:47,COR,67,69,RD,Arthur Pecos
88,4,05:51,PIN,67,69,3_Pts_T,Bennett
89,4,06:06,PIN,67,69,RD,Buffat
90,4,06:10,COR,67,69,2_Pts_T,Fuller
91,4,06:28,COR,67,69,RD,Robinson
92,4,06:34,COR,67,69,TO,Johnson
93,4,06:34,PIN,67,69,2_Pts_T,Bennett
94,4,06:51,PIN,67,69,RD,C  Torres
