;;;;;;Total Geral;150;;;;;;;;;;;;;;;;;
CAX;;;COR;;;;;;;;;;;;;;;;;CAP;;;COR;
2_Pts_C;19;;2_Pts_C;12;;;;;;;;;;;;;;;;2_Pts_C;21;;2_Pts_C;18
2_Pts_T;10;;2_Pts_T;16;;;;;;;;;;;;;;;;2_Pts_T;18;;2_Pts_T;18
3_Pts_C;4;;3_Pts_C;8;;;;;;;;;;;;;;;;3_Pts_C;8;;3_Pts_C;13
3_Pts_T;12;;3_Pts_T;17;;;;;;;;;;;;;;;;3_Pts_T;10;;3_Pts_T;10
EN;4;;EN;1;;;;;;;;;;;;;;;;ER;14;;ER;17
ER;13;;ER;8;;;;;;;;;;;;;;;;LL_Pts_C;13;;LL_Pts_C;8
LL_Pts_C;8;;LL_Pts_C;10;;;;;;;;;;;;;;;;LL_Pts_T;3;;LL_Pts_T;2
LL_Pts_T;4;;LL_Pts_T;1;;;;;;;;;;;;;;;;;;;NaN;1
;;;NAN;1;;;;;;;;;;;;;;;;posse;88;;posse;88
posse;75;;posse;75;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Total Geral;176;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CAX;;;CER;;;;;;;;;;;;;;;;;BSB;;;FLA;
2_Pts_C;14;;2_Pts_C;11;;;;;;;;;;;;;;;;2_Pts_C;14;;2_Pts_C;22
2_Pts_T;13;;2_Pts_T;9;;;;;;;;;;;;;;;;2_Pts_T;12;;2_Pts_T;4
3_Pts_C;4;;3_Pts_C;8;;;;;;;;;;;;;;;;3_Pts_C;6;;3_Pts_C;19
3_Pts_T;7;;3_Pts_T;14;;;;;;;;;;;;;;;;3_Pts_T;17;;3_Pts_T;16
ER;15;;ER;13;;;;;;;;;;;;;;;;ER;16;;ER;8
LL_Pts_C;8;;LL_Pts_C;9;;;;;;;;;;;;;;;;LL_Pts_C;4;;LL_Pts_C;5
LL_Pts_T;3;;LL_Pts_T;1;;;;;;;;;;;;;;;;LL_Pts_T;6;;LL_Pts_T;1
NaN;1;;;;;;;;;;;;;;;;;;;NaN;1;;;
posse;66;;posse;66;;;;;;;;;;;;;;;;posse;76;;posse;76
;;;;;;;;;;;;;;;;;;;;;;;;
Total Geral;132;;;;;;;;;;;;;;;;;;;Total Geral;152;;;
