Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Pinheiros,Paulistano,1,Shamell,40.0,33,59,4,11,7,8,7,10,3,2,5,3,0,0,3.0,8.0,5,0
13,Pinheiros,Paulistano,1,Joe Smith,35.0,13,32,3,7,1,4,2,3,3,1,4,7,1,0,3.0,4.0,2,0
13,Pinheiros,Paulistano,1,Morro,34.9,11,17,0,0,3,5,5,7,5,1,6,0,1,3,3.0,5.0,1,1
13,Pinheiros,Paulistano,1,Bruno Caboclo,13.1,10,17,2,4,2,2,0,1,5,0,5,0,1,2,2.0,1.0,1,0
13,Pinheiros,Paulistano,1,Jonathan,16.0,9,17,3,5,0,1,0,0,4,1,5,1,0,0,5.0,0.0,0,0
13,Pinheiros,Paulistano,1,A. Bambu,28.0,7,10,1,2,1,1,2,2,1,0,1,1,1,1,3.0,3.0,3,0
13,Pinheiros,Paulistano,1,Paulinho,22.0,6,15,0,1,2,5,2,2,0,0,0,6,3,0,4.0,2.0,5,0
13,Pinheiros,Paulistano,1,Lucas Dias,11.0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0
13,Pinheiros,Paulistano,1,Humberto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Paulistano,1,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Paulistano,1,Bruno Mortari,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Paulistano,1,Toyloy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Paulistano,1,Equipe,0.0,91,169,13,30,17,27,18,25,26,5,31,18,11,6,27.0,23.0,17,1
13,Paulistano,Pinheiros,2,César,28.7,21,30,5,8,3,3,0,0,0,1,1,1,1,0,3.0,0.0,2,0
13,Paulistano,Pinheiros,2,Dawkins,34.1,20,37,1,3,3,8,11,12,7,1,8,3,0,0,2.0,8.0,6,0
13,Paulistano,Pinheiros,2,Holloway,24.5,20,33,0,1,6,10,8,10,3,3,6,0,1,0,5.0,5.0,2,0
13,Paulistano,Pinheiros,2,Pedro,22.6,17,36,3,6,2,6,4,6,5,2,7,0,1,0,4.0,7.0,2,0
13,Paulistano,Pinheiros,2,Renato,31.3,11,32,0,4,3,7,5,6,3,3,6,1,2,0,3.0,3.0,2,1
13,Paulistano,Pinheiros,2,Pecos,15.1,2,10,0,2,1,2,0,0,2,1,3,2,2,0,0.0,0.0,0,0
13,Paulistano,Pinheiros,2,Arthur,15.2,2,4,0,0,1,2,0,0,1,2,3,0,0,1,3.0,0.0,1,0
13,Paulistano,Pinheiros,2,Duso,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Paulistano,Pinheiros,2,Gemerson,8.6,0,2,0,0,0,1,0,0,2,0,2,0,0,0,2.0,0.0,0,0
13,Paulistano,Pinheiros,2,Lucão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Paulistano,Pinheiros,2,André,19.3,0,8,0,2,0,1,0,0,0,0,0,2,0,0,1.0,0.0,0,0
13,Paulistano,Pinheiros,2,Equipe,0.0,93,192,9,26,19,40,28,34,24,16,40,9,13,1,25.0,23.0,15,1
