Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Goiânia,Limeira,1,Taboada,33.4,16,56,2,9,3,10,4,9,2,2,4,8,1,0,3.0,6.0,1,0
13,Goiânia,Limeira,1,Diego,35.2,13,32,1,4,2,7,6,6,3,1,4,2,3,0,1.0,5.0,1,0
13,Goiânia,Limeira,1,F. Penna,25.1,11,25,1,4,1,2,6,9,3,1,4,2,0,0,5.0,3.0,0,0
13,Goiânia,Limeira,1,Coimbra,24.6,8,17,0,1,3,6,2,2,4,1,5,1,0,0,4.0,2.0,0,1
13,Goiânia,Limeira,1,Fernando,36.6,8,24,0,2,4,9,0,0,5,1,6,2,3,2,2.0,0.0,0,0
13,Goiânia,Limeira,1,Lacerda,12.0,4,6,0,0,2,3,0,0,4,2,6,0,2,0,3.0,0.0,0,0
13,Goiânia,Limeira,1,Rafinha,18.1,3,11,1,3,0,1,0,0,3,0,3,0,0,0,3.0,0.0,1,0
13,Goiânia,Limeira,1,Adyb,3.4,2,6,0,0,1,3,0,0,3,0,3,0,0,0,0.0,0.0,1,1
13,Goiânia,Limeira,1,Fábio,5.9,0,5,0,1,0,1,0,0,0,1,1,0,0,0,1.0,0.0,0,0
13,Goiânia,Limeira,1,Murilo,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Limeira,1,Felippe,2.1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0.0,0,0
13,Goiânia,Limeira,1,Raphael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Limeira,1,Equipe,0.0,65,184,5,24,16,43,18,26,30,12,42,15,10,2,22.0,16.0,4,2
13,Limeira,Goiânia,2,David Jackson,34.1,22,26,3,4,3,3,7,8,7,0,7,2,0,1,1.0,7.0,2,0
13,Limeira,Goiânia,2,Ramon,32.5,14,31,2,7,3,4,2,2,3,2,5,4,0,0,5.0,3.0,1,0
13,Limeira,Goiânia,2,Renato Lamas,25.3,8,20,2,6,1,1,0,0,4,1,5,2,1,0,0.0,1.0,1,0
13,Limeira,Goiânia,2,Teichmann,19.6,6,18,0,0,1,5,4,8,4,1,5,2,0,3,2.0,5.0,1,0
13,Limeira,Goiânia,2,Deryk,12.7,5,7,1,1,1,2,0,0,0,1,1,1,0,0,3.0,1.0,1,0
13,Limeira,Goiânia,2,Hélio,28.1,4,21,0,5,2,3,0,0,1,0,1,2,0,0,1.0,1.0,2,0
13,Limeira,Goiânia,2,Renan,18.2,4,18,0,0,2,9,0,0,4,0,4,0,0,0,3.0,0.0,1,0
13,Limeira,Goiânia,2,Matheus Dalla,7.2,3,8,1,2,0,1,0,0,1,0,1,0,0,0,2.0,0.0,0,0
13,Limeira,Goiânia,2,Wagner,11.5,1,8,0,0,0,3,1,2,2,1,3,0,0,0,0.0,2.0,0,0
13,Limeira,Goiânia,2,Lucas M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Limeira,Goiânia,2,Guilherme,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Limeira,Goiânia,2,B. Fiorotto,11.0,0,4,0,0,0,2,0,0,3,0,3,0,1,0,0.0,1.0,2,0
13,Limeira,Goiânia,2,Equipe,0.0,67,161,9,25,13,33,14,20,35,8,43,13,2,4,18.0,21.0,11,0
