Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Flamengo,Pinheiros,1,Marcelinho,27.9,19,45,3,9,3,7,4,4,0,1,1,5,0,0,1.0,3.0,1,0
13,Flamengo,Pinheiros,1,Laprovittola,35.5,15,42,4,10,1,5,1,2,4,0,4,2,0,0,1.0,3.0,7,0
13,Flamengo,Pinheiros,1,Meyinsse,17.4,11,14,0,0,5,6,1,2,3,0,3,1,0,0,5.0,1.0,1,0
13,Flamengo,Pinheiros,1,Olivinha,36.3,10,18,1,2,2,4,3,4,8,1,9,3,1,0,2.0,3.0,0,0
13,Flamengo,Pinheiros,1,Shilton,20.7,9,12,0,0,3,3,3,6,4,0,4,0,0,0,4.0,5.0,3,0
13,Flamengo,Pinheiros,1,Washam,18.2,3,16,1,2,0,5,0,0,2,0,2,0,1,0,1.0,0.0,2,0
13,Flamengo,Pinheiros,1,Gegê,33.0,2,2,0,0,1,1,0,0,1,0,1,6,3,0,2.0,2.0,2,0
13,Flamengo,Pinheiros,1,Marquinhos,9.0,2,4,0,0,1,2,0,0,1,0,1,0,0,0,1.0,1.0,0,0
13,Flamengo,Pinheiros,1,Felicio,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Pinheiros,1,Douglas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Pinheiros,1,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Pinheiros,1,Chupeta,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Pinheiros,1,Equipe,0.0,71,153,9,23,16,33,12,18,28,4,32,17,6,0,17.0,18.0,16,0
13,Pinheiros,Flamengo,2,Joe Smith,25.6,18,30,2,4,3,6,6,6,6,0,6,4,1,0,3.0,4.0,1,0
13,Pinheiros,Flamengo,2,Mineiro,34.5,15,35,2,5,4,9,1,2,2,1,3,3,2,3,3.0,2.0,1,1
13,Pinheiros,Flamengo,2,Morro,18.3,11,16,0,0,4,6,3,4,2,1,3,0,1,0,1.0,4.0,0,1
13,Pinheiros,Flamengo,2,Jonathan,22.9,9,23,3,7,0,1,0,0,2,0,2,0,0,0,0.0,0.0,0,0
13,Pinheiros,Flamengo,2,Shamell,33.2,9,29,1,3,3,10,0,0,4,0,4,3,0,0,2.0,2.0,2,0
13,Pinheiros,Flamengo,2,Babby,17.7,8,14,0,0,3,6,2,2,3,3,6,2,1,0,1.0,1.0,2,0
13,Pinheiros,Flamengo,2,Lucas Dias,7.8,7,8,1,1,1,1,2,3,0,1,1,1,2,0,4.0,2.0,0,0
13,Pinheiros,Flamengo,2,Humberto,15.0,2,7,0,1,1,2,0,0,2,0,2,0,1,0,1.0,1.0,3,0
13,Pinheiros,Flamengo,2,Bruno Caboclo,17.1,1,2,0,0,0,0,1,2,5,1,6,0,0,0,2.0,1.0,2,0
13,Pinheiros,Flamengo,2,A. Bambu,5.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0
13,Pinheiros,Flamengo,2,Toyloy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Flamengo,2,Bruno Mortari,2.5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
13,Pinheiros,Flamengo,2,Equipe,0.0,80,167,9,22,19,41,15,19,27,9,36,13,14,3,18.0,17.0,11,2
