Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Goiânia,Uberlândia,1,F. Penna,32.8,21,33,4,5,1,3,7,12,5,2,7,4,0,0,3.0,7.0,4,0
13,Goiânia,Uberlândia,1,Coimbra,23.1,14,16,0,0,5,6,4,4,4,0,4,1,1,0,3.0,5.0,4,1
13,Goiânia,Uberlândia,1,Murilo,23.3,11,21,1,2,4,7,0,1,1,0,1,2,0,0,3.0,2.0,1,0
13,Goiânia,Uberlândia,1,Fernando,31.8,11,21,0,1,4,7,3,4,2,2,4,3,0,0,2.0,2.0,2,0
13,Goiânia,Uberlândia,1,Rafinha,35.0,10,21,2,5,1,2,2,2,2,0,2,2,1,0,1.0,3.0,1,0
13,Goiânia,Uberlândia,1,Fábio,24.3,3,14,0,2,1,3,1,2,4,1,5,2,0,0,4.0,1.0,0,0
13,Goiânia,Uberlândia,1,Adyb,6.9,3,5,1,1,0,1,0,0,0,1,1,0,0,0,2.0,0.0,0,0
13,Goiânia,Uberlândia,1,Lacerda,14.4,2,10,0,0,1,5,0,0,3,1,4,1,0,0,0.0,0.0,0,0
13,Goiânia,Uberlândia,1,Felippe,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
13,Goiânia,Uberlândia,1,Taboada,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Uberlândia,1,Diego,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Uberlândia,1,Raphael,4.4,0,5,0,1,0,0,0,2,1,0,1,0,0,0,1.0,1.0,0,0
13,Goiânia,Uberlândia,1,Equipe,0.0,75,146,8,17,17,34,17,27,22,8,30,15,4,0,20.0,21.0,12,1
13,Uberlândia,Goiânia,2,Robert Day,31.4,25,45,5,11,4,5,2,2,3,2,5,3,1,0,3.0,3.0,1,0
13,Uberlândia,Goiânia,2,Helinho,30.0,23,30,5,6,1,3,6,6,3,0,3,2,2,0,3.0,4.0,0,0
13,Uberlândia,Goiânia,2,Valtinho,34.3,15,23,4,5,0,2,3,4,3,1,4,8,3,0,0.0,5.0,2,0
13,Uberlândia,Goiânia,2,Cipolini,30.1,13,32,2,4,2,8,3,4,4,2,6,1,0,0,3.0,5.0,2,0
13,Uberlândia,Goiânia,2,Leonardo,18.5,6,8,0,0,3,4,0,0,3,2,5,0,0,1,4.0,1.0,2,2
13,Uberlândia,Goiânia,2,Audrei,25.7,5,16,1,2,1,5,0,0,1,0,1,0,0,0,1.0,0.0,0,1
13,Uberlândia,Goiânia,2,Icaro,5.7,5,11,1,3,0,0,2,2,0,1,1,0,0,0,2.0,1.0,0,0
13,Uberlândia,Goiânia,2,Kurtz,10.6,2,4,0,0,1,2,0,0,1,0,1,0,0,0,1.0,0.0,0,1
13,Uberlândia,Goiânia,2,Zanini,2.8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,0
13,Uberlândia,Goiânia,2,Leandro,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1,0
13,Uberlândia,Goiânia,2,Equipe,0.0,94,172,18,32,12,29,16,18,18,8,26,14,6,1,21.0,19.0,8,4
