Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Minas,São José,1,Douglas Nunes,53.0,22,56,4,10,4,11,2,4,4,1,5,4,0,1,4.0,3.0,3,1
13,Minas,São José,1,Betinho,44.3,22,52,1,7,7,12,5,7,5,0,5,2,0,1,3.0,9.0,1,0
13,Minas,São José,1,Elinho,52.0,13,36,2,4,3,11,1,2,3,0,3,12,1,0,3.0,1.0,2,0
13,Minas,São José,1,Wanderson,24.3,9,22,1,2,3,8,0,0,6,0,6,0,0,0,5.0,1.0,1,0
13,Minas,São José,1,Coelho,12.8,7,7,0,0,2,2,3,3,0,1,1,0,1,0,4.0,3.0,3,0
13,Minas,São José,1,Ansaloni,22.1,6,12,0,0,1,3,4,6,7,0,7,0,1,3,5.0,5.0,1,0
13,Minas,São José,1,Fuzaro,43.5,4,11,0,1,2,4,0,0,3,1,4,3,3,0,4.0,0.0,2,1
13,Minas,São José,1,Moisés,5.1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,1.0,0.0,1,0
13,Minas,São José,1,Rafa Moreira,6.8,2,2,0,0,1,1,0,0,1,0,1,0,1,0,2.0,0.0,0,0
13,Minas,São José,1,Tobias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Minas,São José,1,Bruno,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Minas,São José,1,Demétrio,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0
13,Minas,São José,1,Equipe,0.0,87,200,8,24,24,53,15,22,35,6,41,21,10,5,31.0,22.0,16,2
13,São José,Minas,2,Nelson,52.9,39,59,0,0,14,22,11,15,11,8,19,0,0,0,4.0,9.0,3,0
13,São José,Minas,2,Laws,55.0,18,29,2,3,3,7,6,6,4,2,6,5,0,0,2.0,4.0,1,0
13,São José,Minas,2,Jefferson,52.5,14,46,0,8,3,7,8,8,11,2,13,1,4,1,4.0,5.0,4,0
13,São José,Minas,2,Quezada,37.4,7,34,0,6,0,3,7,10,5,1,6,3,4,0,4.0,5.0,3,0
13,São José,Minas,2,Alex,45.2,6,31,1,7,0,3,3,4,4,1,5,3,0,1,4.0,3.0,2,0
13,São José,Minas,2,Gustavo,14.7,4,7,0,1,2,2,0,0,1,0,1,1,1,0,3.0,1.0,1,0
13,São José,Minas,2,Victinho,7.8,2,11,0,3,0,0,2,2,0,0,0,1,0,0,0.0,2.0,0,0
13,São José,Minas,2,M. Pajé,2.0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0
13,São José,Minas,2,Jerônimo,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0
13,São José,Minas,2,Gabriel,6.8,0,3,0,1,0,0,0,0,1,0,1,1,0,0,1.0,2.0,1,0
13,São José,Minas,2,Equipe,0.0,90,222,3,29,22,45,37,45,39,15,54,16,11,4,22.0,31.0,16,0
