Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Goiânia,Sesi Franca,1,Diego,37.6,33,55,3,8,7,10,10,11,5,1,6,4,1,0,2.0,8.0,4,0
13,Goiânia,Sesi Franca,1,Murilo,36.8,21,31,2,4,6,7,3,5,1,0,1,1,3,0,2.0,4.0,2,1
13,Goiânia,Sesi Franca,1,Fernando,38.9,12,14,0,0,5,6,2,2,3,1,4,6,2,0,3.0,2.0,1,0
13,Goiânia,Sesi Franca,1,F. Penna,11.2,5,11,1,3,1,1,0,0,3,0,3,1,0,0,1.0,1.0,0,0
13,Goiânia,Sesi Franca,1,Coimbra,18.5,5,15,0,1,1,4,3,4,2,2,4,0,0,0,5.0,3.0,1,1
13,Goiânia,Sesi Franca,1,Rafinha,30.0,5,16,0,3,1,2,3,3,2,0,2,5,1,1,2.0,2.0,2,0
13,Goiânia,Sesi Franca,1,Lacerda,18.3,2,4,0,0,1,2,0,0,3,0,3,0,1,1,4.0,0.0,0,0
13,Goiânia,Sesi Franca,1,Raphael,4.5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,1,Fábio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,1,Felippe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,1,Adyb,4.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1.0,1,0
13,Goiânia,Sesi Franca,1,Taboada,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,1,Equipe,0.0,83,148,6,19,22,33,21,25,19,7,26,17,9,2,20.0,21.0,11,2
13,Sesi Franca,Goiânia,2,Prestes,25.1,18,32,0,0,6,12,6,8,3,5,8,2,0,0,4.0,6.0,2,0
13,Sesi Franca,Goiânia,2,Léo Meindl,34.2,18,31,3,7,3,3,3,4,2,1,3,1,2,0,4.0,2.0,0,0
13,Sesi Franca,Goiânia,2,Jhonatan,24.5,14,29,3,7,2,3,1,2,2,1,3,1,1,0,2.0,3.0,0,1
13,Sesi Franca,Goiânia,2,Figueroa,33.3,8,23,2,5,1,4,0,0,0,2,2,6,1,0,4.0,2.0,2,0
13,Sesi Franca,Goiânia,2,Lucas,32.7,7,24,0,2,3,8,1,2,2,4,6,2,0,2,3.0,2.0,3,0
13,Sesi Franca,Goiânia,2,Basden,14.5,7,14,1,2,2,4,0,0,1,0,1,0,0,0,0.0,1.0,2,0
13,Sesi Franca,Goiânia,2,Cauê,11.0,4,4,0,0,2,2,0,0,0,1,1,0,2,0,1.0,0.0,2,0
13,Sesi Franca,Goiânia,2,J. Socas,9.6,2,6,0,0,1,3,0,0,2,0,2,2,1,0,0.0,2.0,0,0
13,Sesi Franca,Goiânia,2,Feliciano,5.0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0.0,1.0,1,0
13,Sesi Franca,Goiânia,2,Antonio,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0,0
13,Sesi Franca,Goiânia,2,Maique,8.0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3.0,1.0,0,0
13,Sesi Franca,Goiânia,2,André M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Goiânia,2,Equipe,0.0,78,165,9,23,20,40,11,16,15,17,32,14,9,3,22.0,20.0,12,1
