Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Macaé Basquete,Minas,1,Duda,36.3,25,36,5,8,4,5,2,2,3,0,3,1,1,0,2.0,0.0,1,1
13,Macaé Basquete,Minas,1,Márcio,34.8,18,27,3,4,4,7,1,1,1,0,1,0,2,0,3.0,5.0,1,0
13,Macaé Basquete,Minas,1,Atílio,29.9,15,26,0,0,5,9,5,8,3,0,3,1,0,0,3.0,6.0,3,0
13,Macaé Basquete,Minas,1,Fred,30.6,11,16,0,0,3,5,5,6,0,1,1,6,0,0,3.0,5.0,4,0
13,Macaé Basquete,Minas,1,Espinoza,36.9,10,22,1,4,3,4,1,2,12,2,14,5,1,0,2.0,2.0,1,3
13,Macaé Basquete,Minas,1,Jamaal,12.5,4,4,0,0,2,2,0,0,1,1,2,1,0,0,3.0,0.0,0,0
13,Macaé Basquete,Minas,1,Will,4.5,2,2,0,0,0,0,2,2,2,0,2,0,0,0,3.0,1.0,0,0
13,Macaé Basquete,Minas,1,Torres,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Macaé Basquete,Minas,1,João,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
13,Macaé Basquete,Minas,1,Thiaguinho,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0
13,Macaé Basquete,Minas,1,Romário,6.9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.0,0,0
13,Macaé Basquete,Minas,1,Pablo,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Macaé Basquete,Minas,1,Equipe,0.0,85,133,9,16,21,32,16,21,27,5,32,14,7,0,21.0,20.0,11,4
13,Minas,Macaé Basquete,2,Betinho,29.7,19,34,3,6,4,7,2,2,0,0,0,3,0,0,3.0,1.0,1,0
13,Minas,Macaé Basquete,2,Laing,32.1,14,28,2,3,3,5,2,9,2,1,3,1,0,0,2.0,5.0,2,0
13,Minas,Macaé Basquete,2,Coelho,26.0,14,28,0,1,5,9,4,7,0,1,1,0,1,0,2.0,6.0,2,0
13,Minas,Macaé Basquete,2,Douglas Nunes,34.6,10,25,1,5,2,3,3,4,5,1,6,0,1,1,1.0,6.0,1,1
13,Minas,Macaé Basquete,2,Wanderson,14.1,6,9,0,1,2,2,2,2,0,1,1,0,0,0,3.0,1.0,0,0
13,Minas,Macaé Basquete,2,Moisés,6.5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
13,Minas,Macaé Basquete,2,Elinho,19.9,2,13,0,1,1,5,0,0,2,0,2,4,0,0,1.0,1.0,1,0
13,Minas,Macaé Basquete,2,Ansaloni,17.7,2,2,0,0,0,0,2,2,1,1,2,0,0,0,4.0,1.0,0,0
13,Minas,Macaé Basquete,2,Bruno,3.9,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1.0,0.0,1,0
13,Minas,Macaé Basquete,2,Pitico,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Minas,Macaé Basquete,2,Fuzaro,9.0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0
13,Minas,Macaé Basquete,2,Adriano,5.6,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1.0,0.0,0,0
13,Minas,Macaé Basquete,2,Equipe,0.0,69,153,6,19,18,35,15,26,13,6,19,8,6,1,22.0,21.0,8,1
