Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Flamengo,Brasília,1,Laprovittola,35.1,24,46,3,8,4,7,7,8,1,1,2,5,2,0,1.0,5.0,4,0
13,Flamengo,Brasília,1,Olivinha,40.0,19,48,3,8,3,8,4,8,9,3,12,1,0,0,2.0,5.0,1,1
13,Flamengo,Brasília,1,Benite,36.2,16,32,1,3,3,8,7,7,4,0,4,0,1,0,3.0,8.0,0,0
13,Flamengo,Brasília,1,Shilton,30.3,12,15,0,0,6,7,0,1,8,1,9,1,0,0,2.0,2.0,3,0
13,Flamengo,Brasília,1,Gegê,28.9,10,15,2,3,1,2,2,2,3,0,3,4,1,0,3.0,1.0,2,0
13,Flamengo,Brasília,1,Felicio,21.6,5,12,0,1,2,4,1,1,2,5,7,0,0,0,3.0,2.0,2,0
13,Flamengo,Brasília,1,Léo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Brasília,1,Douglas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Brasília,1,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Brasília,1,Diego,7.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.0,0,0
13,Flamengo,Brasília,1,Stafleu,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Brasília,1,Alef,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Flamengo,Brasília,1,Equipe,0.0,86,168,9,23,19,36,21,27,31,10,41,11,5,0,16.0,23.0,12,1
13,Brasília,Flamengo,2,Giovannoni,37.4,21,46,3,8,5,10,2,2,10,2,12,2,0,0,1.0,3.0,0,0
13,Brasília,Flamengo,2,Nezinho,33.9,20,43,4,9,3,7,2,2,4,1,5,7,1,0,4.0,3.0,2,0
13,Brasília,Flamengo,2,Goree,29.2,18,42,1,5,7,13,1,1,3,1,4,2,0,1,1.0,1.0,1,0
13,Brasília,Flamengo,2,Alex,31.0,8,23,0,3,4,7,0,0,1,3,4,1,3,0,4.0,2.0,1,0
13,Brasília,Flamengo,2,Isaac,16.2,8,8,1,1,2,2,1,1,3,0,3,1,0,0,3.0,2.0,0,0
13,Brasília,Flamengo,2,Arthur,20.2,7,15,1,3,2,3,0,0,0,1,1,1,0,0,4.0,3.0,1,0
13,Brasília,Flamengo,2,Rossi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Brasília,Flamengo,2,Ronald,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0
13,Brasília,Flamengo,2,Maxwell,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Brasília,Flamengo,2,Osimani,29.5,0,11,0,3,0,1,0,0,2,1,3,1,0,0,4.0,1.0,1,0
13,Brasília,Flamengo,2,B. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Brasília,Flamengo,2,Bala,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Brasília,Flamengo,2,Equipe,0.0,82,188,10,32,23,43,6,6,23,10,33,15,6,1,23.0,16.0,6,0
