Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Sesi Franca,Bauru,1,Prestes,30.6,20,28,0,0,6,10,8,8,4,8,12,3,1,0,3.0,7.0,3,0
13,Sesi Franca,Bauru,1,Jhonatan,36.8,15,20,2,2,2,4,5,6,5,1,6,2,1,0,3.0,6.0,1,0
13,Sesi Franca,Bauru,1,Lucas,21.9,13,33,1,5,5,9,0,0,4,1,5,0,0,1,3.0,0.0,2,0
13,Sesi Franca,Bauru,1,J. Socas,24.9,11,24,1,4,3,3,2,6,2,1,3,3,0,1,1.0,3.0,1,0
13,Sesi Franca,Bauru,1,Figueroa,37.1,8,26,2,6,1,4,0,0,4,1,5,4,1,0,4.0,1.0,3,0
13,Sesi Franca,Bauru,1,Léo Meindl,36.7,8,34,1,6,2,7,1,2,5,2,7,4,2,0,2.0,2.0,2,0
13,Sesi Franca,Bauru,1,Feliciano,2.0,2,4,0,0,0,1,2,2,0,0,0,0,0,0,1.0,1.0,0,0
13,Sesi Franca,Bauru,1,Antonio,3.5,0,3,0,1,0,0,0,0,0,0,0,0,1,1,2.0,0.0,0,0
13,Sesi Franca,Bauru,1,Maique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Bauru,1,Cauê,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1,0
13,Sesi Franca,Bauru,1,Basden,3.3,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,1,0
13,Sesi Franca,Bauru,1,André M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Bauru,1,Equipe,0.0,77,175,7,25,19,38,18,24,25,18,43,16,8,4,19.0,20.0,14,0
13,Bauru,Sesi Franca,2,Fischer,34.0,16,33,1,2,6,13,1,1,3,0,3,10,3,0,1.0,4.0,3,0
13,Bauru,Sesi Franca,2,Deodato,14.5,10,14,2,2,1,3,2,2,1,1,2,0,2,0,4.0,2.0,1,0
13,Bauru,Sesi Franca,2,Murilo,34.7,10,31,0,2,3,9,4,7,3,4,7,1,2,2,4.0,5.0,4,1
13,Bauru,Sesi Franca,2,F. Fischer,15.3,9,14,3,4,0,1,0,0,1,0,1,0,2,0,0.0,0.0,0,0
13,Bauru,Sesi Franca,2,Larry,33.7,9,24,1,2,2,8,2,2,6,0,6,2,1,0,2.0,2.0,2,0
13,Bauru,Sesi Franca,2,Tischer,18.7,8,12,0,0,2,3,4,6,1,0,1,1,1,0,5.0,3.0,0,0
13,Bauru,Sesi Franca,2,Barrios,26.8,6,12,0,2,2,2,2,2,1,0,1,0,0,0,3.0,2.0,1,0
13,Bauru,Sesi Franca,2,Mathias,6.2,5,9,0,0,2,4,1,1,0,2,2,0,0,0,1.0,1.0,0,0
13,Bauru,Sesi Franca,2,Andrezão,16.0,3,10,1,2,0,2,0,0,1,2,3,2,0,1,0.0,0.0,1,0
13,Bauru,Sesi Franca,2,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Bauru,Sesi Franca,2,Lucas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Bauru,Sesi Franca,2,Ayarza,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Bauru,Sesi Franca,2,Equipe,0.0,76,159,8,16,18,45,16,21,20,12,32,16,12,3,20.0,19.0,12,1
