Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Sesi Franca,Goiânia,1,Prestes,27.6,16,30,0,0,8,14,0,2,9,3,12,1,0,0,3.0,8.0,3,0
13,Sesi Franca,Goiânia,1,Figueroa,38.9,14,31,2,5,2,6,4,4,2,2,4,1,3,1,3.0,4.0,1,0
13,Sesi Franca,Goiânia,1,Lucas,30.9,7,20,0,1,2,7,3,3,3,2,5,0,0,2,2.0,3.0,1,0
13,Sesi Franca,Goiânia,1,Hayes,17.3,6,13,0,1,3,5,0,0,5,2,7,1,0,0,1.0,2.0,3,0
13,Sesi Franca,Goiânia,1,Basden,19.6,6,15,0,3,3,3,0,0,2,0,2,1,0,0,1.0,0.0,2,0
13,Sesi Franca,Goiânia,1,Jhonatan,25.6,6,18,1,2,1,5,1,2,6,2,8,1,1,0,1.0,2.0,4,0
13,Sesi Franca,Goiânia,1,Cauê,22.4,4,20,0,4,2,4,0,0,1,0,1,2,2,0,4.0,0.0,1,0
13,Sesi Franca,Goiânia,1,Antonio,13.0,2,5,0,1,1,1,0,0,1,0,1,3,0,0,1.0,2.0,0,0
13,Sesi Franca,Goiânia,1,Felipe,1.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Goiânia,1,Maique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Goiânia,1,Léo Meindl,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Goiânia,1,Feliciano,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Sesi Franca,Goiânia,1,Equipe,0.0,61,154,3,17,22,46,8,11,29,12,41,10,8,3,16.0,21.0,15,0
13,Goiânia,Sesi Franca,2,Taboada,33.4,15,40,2,7,3,8,3,3,1,0,1,1,1,0,2.0,4.0,3,0
13,Goiânia,Sesi Franca,2,Diego,27.1,14,25,2,5,4,5,0,0,3,1,4,3,3,0,4.0,4.0,2,0
13,Goiânia,Sesi Franca,2,Coimbra,17.3,9,11,1,1,2,3,2,2,2,0,2,0,0,0,4.0,2.0,2,0
13,Goiânia,Sesi Franca,2,Fernando,38.0,9,24,1,6,3,3,0,0,6,1,7,1,1,1,1.0,0.0,1,0
13,Goiânia,Sesi Franca,2,Murilo,9.4,8,15,0,1,3,4,2,4,2,0,2,0,0,0,0.0,2.0,0,0
13,Goiânia,Sesi Franca,2,Rafinha,24.8,4,12,1,2,0,2,1,2,5,0,5,0,1,0,1.0,1.0,2,0
13,Goiânia,Sesi Franca,2,Lacerda,18.8,2,6,0,0,1,2,0,2,4,2,6,1,0,0,4.0,1.0,1,0
13,Goiânia,Sesi Franca,2,Adyb,5.9,2,2,0,0,1,1,0,0,1,1,2,0,0,0,2.0,1.0,0,0
13,Goiânia,Sesi Franca,2,Fábio,4.2,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,2,Felippe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,2,F. Penna,21.2,0,12,0,4,0,0,0,0,3,0,3,5,1,0,4.0,0.0,1,0
13,Goiânia,Sesi Franca,2,Raphael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Goiânia,Sesi Franca,2,Equipe,0.0,63,154,7,27,17,30,8,13,29,6,35,11,11,1,22.0,15.0,12,0
