Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
13,Pinheiros,Palmeiras,1,Leandrinho,33.6,23,30,3,3,5,8,4,5,3,1,4,5,0,1,4.0,5.0,7,1
13,Pinheiros,Palmeiras,1,Joe Smith,35.0,22,43,3,9,2,3,9,10,2,1,3,5,0,0,3.0,7.0,1,0
13,Pinheiros,Palmeiras,1,Mineiro,35.8,15,29,1,3,4,8,4,4,7,4,11,5,0,0,1.0,3.0,2,0
13,Pinheiros,Palmeiras,1,Shamell,32.0,13,25,0,3,3,4,7,8,3,2,5,5,1,0,1.0,5.0,2,0
13,Pinheiros,Palmeiras,1,Morro,28.8,11,13,0,0,3,3,5,7,4,2,6,2,2,8,4.0,4.0,2,2
13,Pinheiros,Palmeiras,1,Jonathan,19.3,8,18,2,4,1,3,0,0,4,1,5,1,0,0,2.0,0.0,0,0
13,Pinheiros,Palmeiras,1,A. Bambu,12.5,4,9,0,1,2,3,0,0,0,0,0,1,0,0,2.0,0.0,0,2
13,Pinheiros,Palmeiras,1,Lucas Dias,2.9,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Palmeiras,1,Bruno Mortari,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Palmeiras,1,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Palmeiras,1,Humberto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Palmeiras,1,Bruno Caboclo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Pinheiros,Palmeiras,1,Equipe,0.0,98,172,9,24,21,33,29,34,26,11,37,24,4,9,17.0,24.0,14,5
13,Palmeiras,Pinheiros,2,Caleb Brown,36.0,19,32,3,5,4,7,2,3,4,0,4,4,0,0,4.0,4.0,2,0
13,Palmeiras,Pinheiros,2,Dos Santos,27.9,17,29,0,0,7,12,3,5,5,5,10,3,3,0,1.0,4.0,2,1
13,Palmeiras,Pinheiros,2,Tiagão,26.5,16,26,2,4,5,7,0,0,2,1,3,0,0,0,5.0,0.0,1,2
13,Palmeiras,Pinheiros,2,Wiggins,37.8,15,39,0,2,7,15,1,3,6,4,10,1,1,0,3.0,4.0,1,1
13,Palmeiras,Pinheiros,2,Neto,26.6,11,34,1,4,3,10,2,2,1,1,2,1,3,0,4.0,2.0,0,0
13,Palmeiras,Pinheiros,2,Guto,21.7,9,22,2,4,0,3,3,4,0,2,2,2,1,0,2.0,2.0,0,0
13,Palmeiras,Pinheiros,2,Wesley,12.3,4,8,0,0,2,4,0,0,0,1,1,0,0,1,2.0,0.0,1,0
13,Palmeiras,Pinheiros,2,Murilo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Palmeiras,Pinheiros,2,Thyago Aleo,4.1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
13,Palmeiras,Pinheiros,2,Igor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Palmeiras,Pinheiros,2,Vinicius,7.3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,0.0,1,0
13,Palmeiras,Pinheiros,2,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
13,Palmeiras,Pinheiros,2,Equipe,0.0,91,193,8,20,28,58,11,17,19,17,36,12,12,1,24.0,16.0,8,4
