Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
14,Pinheiros,Minas,1,Jefferson,27.3,23,30,2,3,7,9,3,3,2,0,2,1,0,0,3.0,2.0,4,0
14,Pinheiros,Minas,1,Joe Smith,25.6,15,28,2,4,4,7,1,2,3,0,3,6,0,0,2.0,2.0,1,0
14,Pinheiros,Minas,1,Kurtz,21.1,15,19,0,0,5,6,5,7,2,0,2,1,0,1,3.0,5.0,1,1
14,Pinheiros,Minas,1,Jason Smith,22.5,14,31,2,7,3,4,2,2,1,0,1,2,1,0,2.0,2.0,2,0
14,Pinheiros,Minas,1,Toledo,30.3,13,40,0,4,4,9,5,10,4,5,9,2,3,2,3.0,8.0,2,1
14,Pinheiros,Minas,1,Lucas Dias,26.0,6,12,0,2,2,2,2,2,9,1,10,0,0,1,2.0,1.0,2,0
14,Pinheiros,Minas,1,Morro,15.9,2,2,0,0,1,1,0,0,3,0,3,1,0,0,2.0,1.0,1,0
14,Pinheiros,Minas,1,Felipe,11.2,1,4,0,0,0,1,1,2,1,0,1,0,0,0,0.0,1.0,1,0
14,Pinheiros,Minas,1,Humberto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Minas,1,Ted,15.0,0,10,0,2,0,2,0,0,1,0,1,1,1,0,0.0,0.0,1,0
14,Pinheiros,Minas,1,Georginho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Minas,1,A. Bambu,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Minas,1,Equipe,0.0,89,176,6,22,26,41,19,28,32,9,41,14,8,4,17.0,22.0,15,2
14,Minas,Pinheiros,2,Collum,31.3,21,41,3,8,3,5,6,7,2,2,4,4,3,0,3.0,2.0,1,0
14,Minas,Pinheiros,2,Alex,28.5,16,32,4,8,1,3,2,2,1,1,2,2,0,1,1.0,1.0,1,0
14,Minas,Pinheiros,2,Ansaloni,28.4,15,27,0,0,5,11,5,5,7,2,9,0,0,0,2.0,5.0,2,0
14,Minas,Pinheiros,2,Cafferata,21.5,13,23,1,1,3,8,4,4,0,1,1,4,2,0,2.0,3.0,1,0
14,Minas,Pinheiros,2,Coelho,23.0,6,22,0,2,3,8,0,0,0,1,1,2,2,0,3.0,1.0,4,0
14,Minas,Pinheiros,2,Demétrio,13.9,4,8,0,1,2,2,0,1,4,0,4,0,0,0,1.0,1.0,1,0
14,Minas,Pinheiros,2,Fuzaro,13.4,2,8,0,0,1,4,0,0,3,0,3,1,0,0,5.0,0.0,2,0
14,Minas,Pinheiros,2,Adyb,8.3,1,4,0,0,0,1,1,2,0,0,0,1,0,1,1.0,1.0,0,0
14,Minas,Pinheiros,2,Shilton,12.8,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4.0,1.0,0,0
14,Minas,Pinheiros,2,Bruno,18.9,0,13,0,3,0,2,0,0,2,1,3,1,0,0,0.0,0.0,0,0
14,Minas,Pinheiros,2,Equipe,0.0,78,178,8,23,18,44,18,21,27,11,38,15,10,2,22.0,15.0,12,0
