Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
14,Macaé Basquete,Uberlândia,1,Márcio,23.3,18,23,1,2,5,6,5,5,2,1,3,1,2,0,4.0,6.0,0,0
14,Macaé Basquete,Uberlândia,1,Jamaal,34.7,16,29,3,5,1,3,5,8,1,0,1,6,0,0,1.0,7.0,0,0
14,Macaé Basquete,Uberlândia,1,Atílio,28.4,14,25,0,0,4,9,6,7,2,3,5,0,0,0,5.0,3.0,2,0
14,Macaé Basquete,Uberlândia,1,Eddy,36.0,13,36,3,8,2,6,0,0,2,2,4,1,1,0,3.0,0.0,2,1
14,Macaé Basquete,Uberlândia,1,Fernando,30.1,10,25,1,5,3,4,1,2,3,0,3,2,0,0,5.0,3.0,2,0
14,Macaé Basquete,Uberlândia,1,Pedrinho Rava,18.1,5,13,1,3,1,2,0,0,1,1,2,0,1,0,1.0,0.0,0,0
14,Macaé Basquete,Uberlândia,1,Diego,13.0,3,3,0,0,1,1,1,1,1,1,2,2,0,0,3.0,1.0,3,0
14,Macaé Basquete,Uberlândia,1,De Bem,5.2,0,6,0,0,0,3,0,0,1,1,2,0,0,0,1.0,0.0,3,0
14,Macaé Basquete,Uberlândia,1,João,8.8,0,2,0,0,0,1,0,0,2,0,2,0,0,0,1.0,2.0,0,0
14,Macaé Basquete,Uberlândia,1,Tadeu,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Macaé Basquete,Uberlândia,1,Pablo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Macaé Basquete,Uberlândia,1,Maique,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Macaé Basquete,Uberlândia,1,Equipe,0.0,79,162,9,23,17,35,18,23,18,12,30,12,5,0,24.0,22.0,12,1
14,Uberlândia,Macaé Basquete,2,Mims,22.5,16,16,0,0,5,5,6,6,4,0,4,1,0,3,4.0,5.0,2,0
14,Uberlândia,Macaé Basquete,2,Audrei,33.1,9,33,0,7,3,4,3,4,3,1,4,1,0,0,5.0,5.0,2,0
14,Uberlândia,Macaé Basquete,2,Renan,21.6,9,16,0,0,2,5,5,6,1,1,2,2,0,0,0.0,3.0,0,0
14,Uberlândia,Macaé Basquete,2,Icaro,19.9,8,14,2,4,1,1,0,0,1,2,3,1,0,0,2.0,1.0,1,0
14,Uberlândia,Macaé Basquete,2,Hélio,26.7,8,27,0,5,2,4,4,4,2,0,2,2,1,0,1.0,2.0,4,0
14,Uberlândia,Macaé Basquete,2,Gruber,23.4,7,14,1,2,1,3,2,2,2,0,2,2,0,0,4.0,1.0,5,1
14,Uberlândia,Macaé Basquete,2,Vinicius Teló,14.6,5,5,0,0,2,2,1,1,1,1,2,1,0,0,0.0,3.0,1,0
14,Uberlândia,Macaé Basquete,2,Rodrigo Silva,12.4,5,9,0,1,2,2,1,2,3,2,5,0,0,0,1.0,1.0,0,0
14,Uberlândia,Macaé Basquete,2,Taboada,26.0,5,18,1,4,1,2,0,2,2,0,2,1,0,0,5.0,2.0,1,0
14,Uberlândia,Macaé Basquete,2,Zanini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Uberlândia,Macaé Basquete,2,Equipe,0.0,72,152,4,23,19,28,22,27,21,9,30,11,4,3,23.0,23.0,16,1
