Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
14,Pinheiros,Brasília,1,Jason Smith,28.9,20,36,3,7,2,4,7,7,1,0,1,5,3,0,2.0,5.0,3,0
14,Pinheiros,Brasília,1,Joe Smith,32.6,17,38,4,9,2,5,1,1,2,0,2,9,3,0,3.0,2.0,0,0
14,Pinheiros,Brasília,1,Toledo,36.0,14,31,1,3,4,9,3,4,4,4,8,1,5,1,3.0,4.0,1,2
14,Pinheiros,Brasília,1,Paulinho,16.9,10,23,0,3,4,6,2,2,1,0,1,1,1,0,2.0,3.0,1,0
14,Pinheiros,Brasília,1,Kurtz,24.7,10,18,0,0,4,8,2,2,4,2,6,0,1,1,3.0,3.0,0,1
14,Pinheiros,Brasília,1,Lucas Dias,12.0,9,9,3,3,0,0,0,0,1,0,1,0,1,0,2.0,1.0,0,0
14,Pinheiros,Brasília,1,Felipe,18.8,8,16,0,0,3,7,2,2,6,0,6,1,1,0,4.0,1.0,1,0
14,Pinheiros,Brasília,1,A. Bambu,22.2,7,11,0,0,2,4,3,3,3,1,4,2,0,0,4.0,2.0,3,0
14,Pinheiros,Brasília,1,Humberto,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Brasília,1,Jefferson,5.7,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,1,0
14,Pinheiros,Brasília,1,Georginho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Brasília,1,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Pinheiros,Brasília,1,Equipe,0.0,95,187,11,26,21,44,20,21,24,10,34,19,16,2,24.0,21.0,10,3
14,Brasília,Pinheiros,2,Arthur,36.4,21,37,3,6,5,7,2,5,3,0,3,5,0,0,3.0,4.0,1,0
14,Brasília,Pinheiros,2,Cipolini,34.8,18,32,3,4,2,7,5,6,3,1,4,2,0,1,3.0,3.0,1,0
14,Brasília,Pinheiros,2,Giovannoni,38.6,18,43,2,5,3,11,6,6,5,1,6,2,0,0,2.0,7.0,6,0
14,Brasília,Pinheiros,2,Hobson,31.7,15,40,3,8,2,7,2,2,3,2,5,0,1,0,4.0,5.0,5,0
14,Brasília,Pinheiros,2,Ronald,24.9,8,10,0,0,4,5,0,0,3,6,9,2,0,1,4.0,3.0,2,0
14,Brasília,Pinheiros,2,Abner,2.9,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0.0,1.0,0,0
14,Brasília,Pinheiros,2,Rossi,6.2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2.0,0.0,0,0
14,Brasília,Pinheiros,2,Maxwell,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
14,Brasília,Pinheiros,2,Alírio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Brasília,Pinheiros,2,B. Felipe,24.1,0,0,0,0,0,0,0,0,4,0,4,5,3,0,3.0,1.0,1,0
14,Brasília,Pinheiros,2,Scaglia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Brasília,Pinheiros,2,Equipe,0.0,82,164,11,23,16,37,17,21,26,10,36,16,6,2,22.0,24.0,16,0
