Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
14,Palmeiras,Paulistano,1,Maxi Stanic,32.3,18,20,4,4,1,1,4,6,2,0,2,7,1,0,3.0,5.0,4,0
14,Palmeiras,Paulistano,1,Jhonatan,33.3,16,34,2,5,3,6,4,7,4,4,8,4,2,0,1.0,5.0,2,0
14,Palmeiras,Paulistano,1,Toyloy,27.7,8,16,0,0,4,8,0,0,5,3,8,2,2,0,1.0,0.0,1,0
14,Palmeiras,Paulistano,1,Fabricio,17.7,8,11,0,1,3,3,2,2,0,1,1,1,1,0,0.0,5.0,1,0
14,Palmeiras,Paulistano,1,Neto,25.4,7,24,1,6,2,3,0,0,1,0,1,0,1,0,4.0,0.0,5,0
14,Palmeiras,Paulistano,1,Gianella,18.5,5,14,1,2,1,4,0,0,1,0,1,2,0,0,5.0,3.0,3,0
14,Palmeiras,Paulistano,1,Douglas Nunes,22.3,4,17,0,4,1,1,2,3,6,1,7,1,1,4,0.0,1.0,1,1
14,Palmeiras,Paulistano,1,Dos Santos,12.3,4,6,0,0,1,2,2,2,4,1,5,0,1,1,2.0,1.0,4,0
14,Palmeiras,Paulistano,1,Diego,9.4,3,15,0,1,1,5,1,2,0,1,1,1,0,0,1.0,1.0,0,0
14,Palmeiras,Paulistano,1,Lucas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Palmeiras,Paulistano,1,Marone,0.7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Palmeiras,Paulistano,1,R. Piru,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Palmeiras,Paulistano,1,Equipe,0.0,73,160,8,24,17,33,15,22,25,11,36,18,10,5,17.0,21.0,21,1
14,Paulistano,Palmeiras,2,Dawkins,31.9,26,43,6,8,1,5,6,9,2,0,2,3,2,0,4.0,8.0,4,0
14,Paulistano,Palmeiras,2,Holloway,26.2,12,22,0,0,3,8,6,6,2,1,3,1,2,0,2.0,5.0,3,0
14,Paulistano,Palmeiras,2,Gemerson,19.1,9,15,1,3,2,2,2,2,1,1,2,0,1,0,3.0,1.0,0,0
14,Paulistano,Palmeiras,2,Jeff,22.5,8,16,0,0,4,8,0,0,1,3,4,1,0,0,1.0,0.0,0,0
14,Paulistano,Palmeiras,2,Pilar,32.8,6,25,0,3,3,8,0,0,6,3,9,2,2,0,1.0,1.0,3,0
14,Paulistano,Palmeiras,2,Labbate,11.8,3,4,0,0,1,1,1,2,1,0,1,1,1,0,2.0,1.0,2,0
14,Paulistano,Palmeiras,2,Arthur,4.1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Paulistano,Palmeiras,2,Pedro,12.4,2,9,0,1,1,3,0,0,1,0,1,0,0,0,2.0,0.0,3,0
14,Paulistano,Palmeiras,2,Thomas,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
14,Paulistano,Palmeiras,2,Renato,12.9,0,5,0,1,0,1,0,0,2,0,2,0,1,0,1.0,0.0,1,0
14,Paulistano,Palmeiras,2,F. Penna,9.6,0,2,0,0,0,1,0,0,1,0,1,3,1,0,4.0,0.0,1,0
14,Paulistano,Palmeiras,2,César,16.2,0,21,0,5,0,3,0,0,1,2,3,0,0,0,1.0,1.0,0,0
14,Paulistano,Palmeiras,2,Equipe,0.0,68,166,7,21,16,42,15,19,20,15,35,11,14,0,21.0,17.0,17,0
