Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,L. Sorocabana,Brasília,1,Neto,38.8,25,65,1,8,4,13,14,15,5,0,5,3,1,0,3.0,12.0,3,0
15,L. Sorocabana,Brasília,1,Renato,26.9,17,31,2,4,5,8,1,3,0,1,1,0,0,0,4.0,3.0,1,0
15,L. Sorocabana,Brasília,1,Fab Melo,33.0,17,28,0,1,8,12,1,1,2,5,7,3,1,1,4.0,2.0,0,1
15,L. Sorocabana,Brasília,1,Lupa,27.3,10,18,0,0,4,8,2,2,2,2,4,0,3,0,1.0,2.0,4,0
15,L. Sorocabana,Brasília,1,J. Socas,32.6,4,9,0,1,2,3,0,0,6,0,6,2,2,0,1.0,1.0,3,0
15,L. Sorocabana,Brasília,1,Verson,8.8,0,9,0,3,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,0
15,L. Sorocabana,Brasília,1,Fernando,5.7,0,2,0,0,0,1,0,0,1,0,1,1,0,0,2.0,1.0,0,0
15,L. Sorocabana,Brasília,1,Leandro,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1,0
15,L. Sorocabana,Brasília,1,Chupeta,12.3,0,10,0,2,0,2,0,0,0,1,1,1,0,0,1.0,1.0,1,0
15,L. Sorocabana,Brasília,1,Lacerda,3.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0
15,L. Sorocabana,Brasília,1,Victor,6.4,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0
15,L. Sorocabana,Brasília,1,Equipe,0.0,73,175,3,20,23,47,18,21,19,15,34,10,10,1,19.0,22.0,13,1
15,Brasília,L. Sorocabana,2,Giovannoni,32.6,22,37,5,8,3,6,1,1,8,1,9,2,2,0,3.0,1.0,3,1
15,Brasília,L. Sorocabana,2,Ronald,26.7,21,25,0,0,7,9,7,7,3,2,5,1,0,1,4.0,6.0,4,2
15,Brasília,L. Sorocabana,2,Deryk,32.7,20,48,4,12,2,4,4,4,1,0,1,8,3,0,1.0,3.0,1,0
15,Brasília,L. Sorocabana,2,Fúlvio,19.9,9,11,3,3,0,1,0,0,0,0,0,3,0,0,2.0,1.0,1,0
15,Brasília,L. Sorocabana,2,Cipolini,15.8,6,18,1,4,0,1,3,4,3,1,4,1,0,1,3.0,2.0,1,0
15,Brasília,L. Sorocabana,2,Jefferson,15.2,5,19,1,5,1,2,0,0,1,0,1,0,0,1,3.0,1.0,2,1
15,Brasília,L. Sorocabana,2,Coimbra,16.2,5,5,0,0,2,2,1,1,4,1,5,0,0,0,1.0,3.0,0,0
15,Brasília,L. Sorocabana,2,Pilar,28.3,3,3,1,1,0,0,0,0,6,1,7,3,1,0,4.0,1.0,1,0
15,Brasília,L. Sorocabana,2,Arthur,9.1,2,7,0,1,0,1,2,2,1,2,3,0,0,0,0.0,1.0,1,0
15,Brasília,L. Sorocabana,2,Diego,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Brasília,L. Sorocabana,2,Paulo,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Brasília,L. Sorocabana,2,Pureza,1.9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
15,Brasília,L. Sorocabana,2,Equipe,0.0,93,176,15,35,15,26,18,19,27,10,37,18,12,3,22.0,19.0,15,4
