Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Pinheiros,São José,1,Holloway,28.3,16,33,1,4,4,8,5,5,3,1,4,2,0,1,1.0,4.0,1,0
15,Pinheiros,São José,1,Renan,24.4,16,23,4,5,2,4,0,0,6,1,7,2,2,1,3.0,0.0,2,1
15,Pinheiros,São José,1,Mineiro,20.9,15,20,0,0,6,8,3,4,5,5,10,2,0,0,2.0,4.0,1,0
15,Pinheiros,São José,1,Bennett,12.2,12,12,2,2,1,1,4,4,1,0,1,6,1,0,2.0,4.0,0,0
15,Pinheiros,São José,1,Humberto,21.8,11,23,2,5,1,2,3,4,0,0,0,3,3,1,2.0,4.0,3,1
15,Pinheiros,São José,1,Lucas Dias,22.9,8,12,0,0,3,5,2,2,4,1,5,1,2,1,1.0,2.0,1,0
15,Pinheiros,São José,1,Léo Bispo,5.7,7,10,1,2,2,2,0,0,1,0,1,0,0,0,2.0,0.0,1,0
15,Pinheiros,São José,1,Andrezão,10.4,5,10,1,2,1,2,0,0,1,2,3,1,0,0,0.0,0.0,0,0
15,Pinheiros,São José,1,Arthur,13.0,5,12,0,0,2,5,1,2,3,1,4,0,0,0,2.0,2.0,0,0
15,Pinheiros,São José,1,Scaglia,17.6,4,15,1,3,0,2,1,2,2,0,2,3,0,1,1.0,3.0,0,0
15,Pinheiros,São José,1,Georginho,17.2,3,8,1,2,0,1,0,0,1,0,1,3,0,0,3.0,0.0,2,0
15,Pinheiros,São José,1,Morro,5.7,2,2,0,0,1,1,0,0,1,0,1,0,0,0,1.0,0.0,1,0
15,Pinheiros,São José,1,Equipe,0.0,104,180,13,25,23,41,19,23,30,11,41,23,13,5,20.0,23.0,12,2
15,São José,Pinheiros,2,Renato,27.9,14,26,0,2,6,9,2,2,6,1,7,2,1,0,5.0,2.0,3,0
15,São José,Pinheiros,2,César,23.6,10,18,2,4,1,2,2,2,0,0,0,0,1,0,2.0,3.0,2,0
15,São José,Pinheiros,2,Bruno,22.8,10,18,2,4,2,3,0,0,2,2,4,5,1,0,3.0,1.0,2,0
15,São José,Pinheiros,2,Gustavo,26.1,8,21,0,2,2,5,4,5,0,0,0,0,0,0,3.0,5.0,0,0
15,São José,Pinheiros,2,Cauê,27.5,6,12,2,4,0,0,0,0,6,0,6,3,0,0,4.0,3.0,3,0
15,São José,Pinheiros,2,Daniel Filé,16.7,6,8,0,0,0,1,6,6,2,1,3,0,0,0,3.0,3.0,1,0
15,São José,Pinheiros,2,Pedro,27.5,4,22,0,4,1,4,2,2,1,0,1,3,1,0,2.0,3.0,5,0
15,São José,Pinheiros,2,Pedrinho,5.7,3,7,1,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,2,0
15,São José,Pinheiros,2,Matheus Dalla,19.5,2,17,0,5,1,1,0,0,2,0,2,0,1,0,1.0,0.0,0,0
15,São José,Pinheiros,2,Aguirre,2.7,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,São José,Pinheiros,2,Juan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,São José,Pinheiros,2,Jamaal,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,São José,Pinheiros,2,Equipe,0.0,65,153,7,26,14,29,16,17,19,5,24,13,9,0,23.0,20.0,18,0
