Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Minas,Pinheiros,1,Sosa,35.1,23,42,2,7,4,6,9,9,2,0,2,2,2,0,2.0,8.0,4,0
15,Minas,Pinheiros,1,Coelho,38.3,19,27,1,3,4,5,8,8,3,2,5,7,2,0,4.0,8.0,1,0
15,Minas,Pinheiros,1,Ansaloni,19.6,11,18,0,0,5,8,1,2,2,1,3,0,3,0,3.0,1.0,0,0
15,Minas,Pinheiros,1,Demétrio,16.6,8,15,0,1,3,5,2,2,1,0,1,2,0,0,2.0,1.0,1,2
15,Minas,Pinheiros,1,Fuzaro,30.8,8,23,0,1,3,8,2,4,3,1,4,2,0,1,2.0,5.0,3,1
15,Minas,Pinheiros,1,PH Macedo,20.8,7,15,1,3,2,3,0,0,2,0,2,2,1,0,2.0,1.0,4,0
15,Minas,Pinheiros,1,Shilton,34.4,7,20,0,0,3,8,1,4,11,2,13,8,0,0,4.0,2.0,1,0
15,Minas,Pinheiros,1,Adriano Big,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Minas,Pinheiros,1,Matheus S.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Minas,Pinheiros,1,Loroh,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Minas,Pinheiros,1,Rafael,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Minas,Pinheiros,1,Vieira,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
15,Minas,Pinheiros,1,Equipe,0.0,83,160,4,15,24,43,23,29,24,8,32,23,8,1,20.0,26.0,14,3
15,Pinheiros,Minas,2,Holloway,36.8,25,36,1,1,8,12,6,9,3,1,4,5,2,0,4.0,8.0,3,0
15,Pinheiros,Minas,2,Lucas Dias,34.0,23,33,4,4,4,8,3,5,3,2,5,2,1,0,3.0,5.0,1,0
15,Pinheiros,Minas,2,Bennett,32.8,10,21,0,1,4,7,2,4,2,2,4,2,1,0,4.0,5.0,5,0
15,Pinheiros,Minas,2,Mineiro,29.2,10,22,0,0,5,10,0,2,9,3,12,0,0,0,2.0,1.0,5,1
15,Pinheiros,Minas,2,Renan,26.7,5,19,1,3,1,5,0,0,3,0,3,0,0,0,4.0,0.0,0,0
15,Pinheiros,Minas,2,Humberto,19.7,4,17,0,3,2,4,0,0,4,0,4,1,0,0,3.0,0.0,0,0
15,Pinheiros,Minas,2,Morro,14.6,2,2,0,0,0,0,2,2,1,1,2,1,0,0,4.0,1.0,1,0
15,Pinheiros,Minas,2,Georginho,0.6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Minas,2,Andrezão,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Minas,2,Scaglia,4.2,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0,0
15,Pinheiros,Minas,2,Léo Bispo,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
15,Pinheiros,Minas,2,Equipe,0.0,79,158,6,14,24,47,13,22,26,9,35,11,8,0,27.0,20.0,15,1
