Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Bauru,Pinheiros,1,Alex,38.1,28,55,3,10,8,10,3,5,1,7,8,6,2,0,2.0,5.0,1,0
15,Bauru,Pinheiros,1,Jefferson,26.6,27,36,7,9,2,3,2,3,1,3,4,0,0,1,3.0,1.0,2,0
15,Bauru,Pinheiros,1,Hettsheimeir,35.4,12,21,0,1,5,8,2,2,3,1,4,2,0,0,4.0,2.0,2,0
15,Bauru,Pinheiros,1,Léo Meindl,16.8,8,14,0,2,3,3,2,2,1,6,7,2,0,0,5.0,2.0,2,0
15,Bauru,Pinheiros,1,Gui Santos,19.4,6,15,1,3,1,2,1,2,1,1,2,2,1,0,3.0,2.0,2,0
15,Bauru,Pinheiros,1,Wesley,5.2,3,8,0,1,1,2,1,1,2,0,2,0,0,0,1.0,1.0,0,0
15,Bauru,Pinheiros,1,Paulinho,13.5,2,7,0,1,1,2,0,0,0,0,0,0,0,0,3.0,1.0,3,0
15,Bauru,Pinheiros,1,Murilo,13.8,2,7,0,1,0,0,2,4,0,3,3,0,0,0,1.0,3.0,1,0
15,Bauru,Pinheiros,1,L. Eltink,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Pinheiros,1,Stefano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Pinheiros,1,Robert Day,30.0,0,18,0,6,0,0,0,0,0,4,4,1,2,0,5.0,0.0,1,0
15,Bauru,Pinheiros,1,Labbate,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Pinheiros,1,Equipe,0.0,88,181,11,34,21,30,13,19,9,26,35,13,10,1,27.0,17.0,14,0
15,Pinheiros,Bauru,2,Humberto,37.7,27,44,5,9,5,7,2,3,2,3,5,3,0,0,3.0,3.0,1,0
15,Pinheiros,Bauru,2,Bennett,31.4,24,36,3,4,4,7,7,10,0,5,5,3,1,0,3.0,6.0,3,0
15,Pinheiros,Bauru,2,Holloway,31.8,10,27,1,4,2,6,3,3,1,4,5,0,3,0,3.0,3.0,0,0
15,Pinheiros,Bauru,2,Lucas Dias,31.6,9,29,0,5,3,5,3,4,2,2,4,2,0,1,2.0,6.0,3,0
15,Pinheiros,Bauru,2,Renan,27.4,9,17,3,5,0,1,0,0,1,5,6,0,1,0,3.0,2.0,4,0
15,Pinheiros,Bauru,2,Andrezão,21.0,7,11,1,1,1,2,2,4,0,2,2,1,2,0,2.0,3.0,0,0
15,Pinheiros,Bauru,2,Scaglia,8.2,3,6,1,2,0,0,0,0,0,0,0,2,0,0,2.0,1.0,0,0
15,Pinheiros,Bauru,2,Georginho,30.5,3,5,1,1,0,1,0,0,0,4,4,1,1,0,1.0,2.0,1,0
15,Pinheiros,Bauru,2,Léo Bispo,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Bauru,2,Morro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Bauru,2,L. Cauê,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Bauru,2,Mineiro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Pinheiros,Bauru,2,Equipe,0.0,92,175,15,31,15,29,17,24,7,27,34,12,11,1,19.0,26.0,12,0
