Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Flamengo,Bauru,1,Marquinhos,26.6,26,54,2,7,2,7,16,19,1,2,3,2,1,0,2.0,11.0,3,0
15,Flamengo,Bauru,1,Meyinsse,22.7,11,17,0,0,5,8,1,1,2,1,3,1,1,1,4.0,3.0,0,0
15,Flamengo,Bauru,1,Marcelinho,29.2,10,30,2,6,1,4,2,4,0,3,3,2,3,0,4.0,4.0,0,0
15,Flamengo,Bauru,1,Olivinha,24.3,8,25,0,3,2,6,4,4,5,5,10,0,1,0,3.0,2.0,3,0
15,Flamengo,Bauru,1,Rafa Luz,22.0,7,14,1,2,2,4,0,0,1,2,3,2,2,1,4.0,0.0,0,1
15,Flamengo,Bauru,1,JP Batista,13.6,6,12,0,0,3,6,0,0,2,2,4,0,0,0,2.0,0.0,1,0
15,Flamengo,Bauru,1,Ramon,25.3,6,17,1,4,0,1,3,3,0,0,0,1,1,0,5.0,2.0,1,0
15,Flamengo,Bauru,1,Gegê,6.3,2,7,0,1,1,1,0,2,0,0,0,0,1,0,2.0,1.0,0,0
15,Flamengo,Bauru,1,Robinson,10.7,2,12,0,2,1,3,0,0,1,4,5,0,0,0,2.0,0.0,0,0
15,Flamengo,Bauru,1,Mineiro,19.4,2,21,0,1,1,8,0,2,2,0,2,1,1,1,1.0,1.0,0,0
15,Flamengo,Bauru,1,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Flamengo,Bauru,1,Mingau,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Flamengo,Bauru,1,Equipe,0.0,80,209,6,26,18,48,26,35,18,23,41,9,13,3,29.0,24.0,8,1
15,Bauru,Flamengo,2,Paulinho,35.2,17,32,2,5,4,6,3,5,1,5,6,7,0,0,1.0,5.0,3,0
15,Bauru,Flamengo,2,Alex,30.9,13,31,1,5,2,4,6,8,1,3,4,0,2,1,5.0,3.0,4,0
15,Bauru,Flamengo,2,Léo Meindl,17.5,13,17,0,0,4,5,5,7,1,2,3,1,0,0,5.0,6.0,2,1
15,Bauru,Flamengo,2,Hettsheimeir,30.6,12,29,0,3,3,6,6,8,0,9,9,3,1,1,1.0,6.0,4,0
15,Bauru,Flamengo,2,Murilo,18.5,11,13,1,1,4,5,0,0,1,4,5,2,1,0,4.0,1.0,2,0
15,Bauru,Flamengo,2,Jefferson,33.1,10,28,2,6,1,3,2,4,2,9,11,1,0,0,3.0,3.0,2,0
15,Bauru,Flamengo,2,Robert Day,29.6,5,14,0,2,2,3,1,2,0,2,2,2,1,0,5.0,1.0,0,0
15,Bauru,Flamengo,2,Gui Santos,4.6,4,8,1,2,0,0,1,2,0,0,0,0,0,0,1.0,1.0,0,0
15,Bauru,Flamengo,2,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Flamengo,2,Stefano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Flamengo,2,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Flamengo,2,Labbate,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Bauru,Flamengo,2,Equipe,0.0,85,172,7,24,20,32,24,36,8,36,44,16,5,2,25.0,26.0,17,1
