Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Rio Claro,L. Sorocabana,1,Deodato,37.4,19,23,4,5,2,2,3,4,0,1,1,2,1,0,0.0,5.0,1,0
15,Rio Claro,L. Sorocabana,1,Teichmann,30.6,14,19,0,0,5,6,4,7,1,7,8,2,0,1,4.0,7.0,4,0
15,Rio Claro,L. Sorocabana,1,Caio,34.2,13,27,3,7,1,2,2,2,0,0,0,3,1,0,3.0,2.0,0,0
15,Rio Claro,L. Sorocabana,1,F. Penna,25.1,9,16,1,2,2,4,2,2,1,9,10,6,2,0,2.0,2.0,2,0
15,Rio Claro,L. Sorocabana,1,Alemão,28.1,9,20,0,2,3,5,3,4,2,6,8,1,1,0,2.0,2.0,0,0
15,Rio Claro,L. Sorocabana,1,Tatu,21.1,8,25,1,5,2,4,1,2,1,3,4,5,1,0,1.0,2.0,0,0
15,Rio Claro,L. Sorocabana,1,Atílio,10.3,8,18,0,0,3,8,2,2,1,2,3,0,1,0,0.0,1.0,6,1
15,Rio Claro,L. Sorocabana,1,Pastor,4.2,2,5,0,1,0,0,2,2,1,0,1,0,0,1,0.0,1.0,0,0
15,Rio Claro,L. Sorocabana,1,Tom,1.7,0,4,0,0,0,1,0,2,1,0,1,0,0,0,1.0,1.0,0,0
15,Rio Claro,L. Sorocabana,1,Nicolas,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,0,0
15,Rio Claro,L. Sorocabana,1,Léo,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Rio Claro,L. Sorocabana,1,Vinicius,4.8,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3.0,0.0,0,0
15,Rio Claro,L. Sorocabana,1,Equipe,0.0,82,157,9,22,18,32,19,27,9,30,39,23,9,2,18.0,23.0,13,1
15,L. Sorocabana,Rio Claro,2,Renato,32.5,15,24,1,2,6,9,0,0,5,4,9,0,2,0,5.0,1.0,2,0
15,L. Sorocabana,Rio Claro,2,Ridley,22.4,12,22,2,4,2,4,2,2,1,2,3,1,1,3,4.0,5.0,1,0
15,L. Sorocabana,Rio Claro,2,Neto,39.2,8,38,2,8,1,7,0,0,0,1,1,8,1,0,1.0,1.0,1,0
15,L. Sorocabana,Rio Claro,2,Gaúcho,23.9,8,25,1,3,2,7,1,2,1,3,4,0,0,0,2.0,1.0,2,0
15,L. Sorocabana,Rio Claro,2,Clahar,20.5,8,15,1,2,2,4,1,1,2,2,4,1,0,0,2.0,2.0,5,0
15,L. Sorocabana,Rio Claro,2,Fernando,8.4,6,10,0,1,1,1,4,5,0,1,1,1,0,0,1.0,3.0,0,0
15,L. Sorocabana,Rio Claro,2,Lacerda,5.9,4,5,0,0,2,2,0,1,1,1,2,0,0,0,0.0,2.0,0,0
15,L. Sorocabana,Rio Claro,2,Victor,11.9,3,10,1,2,0,2,0,0,0,0,0,1,1,0,3.0,0.0,0,0
15,L. Sorocabana,Rio Claro,2,Gradnigo,6.1,3,8,0,1,1,2,1,1,0,0,0,1,0,0,1.0,1.0,1,0
15,L. Sorocabana,Rio Claro,2,Chupeta,9.1,0,9,0,1,0,3,0,0,0,1,1,0,1,0,2.0,0.0,2,0
15,L. Sorocabana,Rio Claro,2,Lupa,14.7,0,10,0,0,0,4,0,2,5,3,8,0,0,0,1.0,2.0,0,0
15,L. Sorocabana,Rio Claro,2,Leandro,5.5,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1.0,0.0,0,0
15,L. Sorocabana,Rio Claro,2,Equipe,0.0,67,176,8,24,17,45,9,14,17,20,37,13,10,3,23.0,18.0,14,0
