Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
15,Rio Claro,Brasília,1,Dedé,35.7,18,31,4,6,3,6,0,1,1,6,7,1,1,1,2.0,1.0,2,0
15,Rio Claro,Brasília,1,Atílio,24.4,18,23,0,0,7,9,4,5,0,0,0,2,0,1,3.0,4.0,1,0
15,Rio Claro,Brasília,1,Tatu,33.6,15,37,2,6,1,6,7,7,0,4,4,6,0,0,1.0,3.0,2,0
15,Rio Claro,Brasília,1,Teichmann,33.5,14,18,0,0,7,9,0,0,6,6,12,5,2,2,2.0,2.0,0,1
15,Rio Claro,Brasília,1,Deodato,33.9,13,38,1,6,4,9,2,2,1,1,2,3,2,0,3.0,3.0,3,0
15,Rio Claro,Brasília,1,F. Penna,14.5,3,13,1,3,0,2,0,0,0,5,5,5,0,0,3.0,0.0,1,0
15,Rio Claro,Brasília,1,Pastor,3.0,3,5,1,1,0,0,0,2,0,0,0,0,0,0,0.0,1.0,1,0
15,Rio Claro,Brasília,1,Nicolas,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Rio Claro,Brasília,1,Caio,4.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0.0,0,0
15,Rio Claro,Brasília,1,Vinicius,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Rio Claro,Brasília,1,Alemão,11.1,0,2,0,0,0,1,0,0,0,2,2,2,0,0,3.0,0.0,1,0
15,Rio Claro,Brasília,1,Tom,5.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1.0,0,0
15,Rio Claro,Brasília,1,Equipe,0.0,84,167,9,22,22,42,13,17,8,27,35,24,12,4,21.0,15.0,11,1
15,Brasília,Rio Claro,2,Ronald,28.2,18,32,0,0,5,11,8,10,3,9,12,1,0,1,4.0,6.0,3,1
15,Brasília,Rio Claro,2,Deryk,26.3,12,34,2,8,3,5,0,0,0,2,2,0,0,0,1.0,3.0,3,0
15,Brasília,Rio Claro,2,Jefferson,24.5,9,20,0,2,4,5,1,4,1,3,4,0,6,0,1.0,3.0,1,0
15,Brasília,Rio Claro,2,Pilar,23.6,8,14,0,0,2,5,4,4,2,4,6,1,1,0,3.0,3.0,1,0
15,Brasília,Rio Claro,2,Arthur,10.3,7,13,1,1,1,4,2,2,0,0,0,1,0,0,1.0,2.0,0,0
15,Brasília,Rio Claro,2,Fúlvio,33.4,7,11,1,1,1,3,2,2,1,0,1,7,1,0,4.0,1.0,3,0
15,Brasília,Rio Claro,2,Giovannoni,28.4,4,20,0,2,1,6,2,2,0,3,3,0,0,0,2.0,1.0,1,0
15,Brasília,Rio Claro,2,Cipolini,10.2,2,7,0,1,1,2,0,0,0,1,1,0,0,0,1.0,0.0,1,1
15,Brasília,Rio Claro,2,Diego,6.5,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0.0,0.0,1,0
15,Brasília,Rio Claro,2,Pureza,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
15,Brasília,Rio Claro,2,Coimbra,8.8,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0.0,0.0,1,0
15,Brasília,Rio Claro,2,Equipe,0.0,69,157,4,15,19,44,19,24,11,24,35,10,9,1,17.0,19.0,15,2
