Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Basq. Cearense,Caxias do Sul,1,Davi (T),39.11,19,36,3,5,2,7,6,7,1,8,9,7.0,1.0,0.0,3,9.0,1,0.0
16,Basq. Cearense,Caxias do Sul,1,Gruber (T),35.29,18,36,4,8,1,4,4,4,0,7,7,3.0,1.0,0.0,4,2.0,1,0.0
16,Basq. Cearense,Caxias do Sul,1,Duda (T),26.38,13,27,3,7,1,1,2,4,1,1,2,4.0,1.0,1.0,0,1.0,3,0.0
16,Basq. Cearense,Caxias do Sul,1,Toledo,11.46,2,9,0,1,1,2,0,2,0,3,3,0.0,0.0,0.0,0,1.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Sualisson (T),19.41,9,11,1,1,3,4,0,0,0,0,0,0.0,0.0,0.0,3,1.0,2,0.0
16,Basq. Cearense,Caxias do Sul,1,Rashaun,13.27,0,7,0,1,0,1,0,2,0,0,0,2.0,0.0,0.0,0,2.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Leonardo (T),23.44,12,19,1,1,2,5,5,6,2,5,7,0.0,0.0,0.0,4,4.0,2,0.0
16,Basq. Cearense,Caxias do Sul,1,Audrei,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Felipe,26.36,11,27,1,5,3,5,2,2,1,5,6,1.0,2.0,0.0,2,1.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Leal,03.28,4,4,0,0,1,1,2,2,1,1,2,0.0,1.0,0.0,1,1.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Gabriel,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Betinho,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Caxias do Sul,1,Ações coletivas,,,,,,,,,,1,2,3,,,,0,,0,
16,Basq. Cearense,Caxias do Sul,1,Total,,88,176,13,29,14,30,21,29,7,32,39,17.0,6.0,1.0,17,22.0,11,0.0
16,Caxias do Sul,Basq. Cearense,2,Carioca,10.29,2,10,0,1,1,3,0,1,0,1,1,0.0,0.0,0.0,1,2.0,2,0.0
16,Caxias do Sul,Basq. Cearense,2,Diego (T),18.45,16,24,4,4,2,6,0,0,3,6,9,4.0,0.0,0.0,5,2.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,Vinícius (T),24.30,4,18,0,4,2,3,0,0,0,2,2,2.0,0.0,0.0,5,0.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,Fred,22.37,16,32,3,4,1,6,5,8,0,3,3,4.0,0.0,0.0,2,5.0,3,0.0
16,Caxias do Sul,Basq. Cearense,2,Douglas,02.45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,Marcão (T),29.12,15,33,2,4,1,6,7,9,4,4,8,0.0,1.0,0.0,4,8.0,2,0.0
16,Caxias do Sul,Basq. Cearense,2,Guto (T),19.56,5,5,1,1,1,1,0,0,0,2,2,2.0,0.0,0.0,0,0.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,Dida,10.58,0,6,0,0,0,3,0,0,0,4,4,0.0,0.0,0.0,1,0.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,R. Stabile,26.15,9,22,3,6,0,2,0,0,0,1,1,1.0,1.0,0.0,4,0.0,1,0.0
16,Caxias do Sul,Basq. Cearense,2,Arthur (T),19.23,6,8,0,0,3,4,0,0,0,1,1,2.0,1.0,0.0,3,0.0,2,0.0
16,Caxias do Sul,Basq. Cearense,2,Nandão,15.10,5,11,1,1,1,4,0,0,0,2,2,1.0,1.0,0.0,0,0.0,0,0.0
16,Caxias do Sul,Basq. Cearense,2,Ações coletivas,,,,,,,,,,2,1,3,,,,0,,0,
16,Caxias do Sul,Basq. Cearense,2,Total,,78,169,14,25,12,38,12,18,9,27,36,16.0,4.0,0.0,25,17.0,11,0.0
