Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Paulistano,L. Sorocabana,1,Yago,10.51,6,13,2,3,0,2,0,0,0,1,1,3.0,0.0,0.0,1,0.0,1,0.0
16,Paulistano,L. Sorocabana,1,Mogi (T),26.20,26,32,4,5,6,7,2,3,0,4,4,2.0,1.0,0.0,0,3.0,1,1.0
16,Paulistano,L. Sorocabana,1,Jhonatan,14.11,0,3,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0,2,0.0
16,Paulistano,L. Sorocabana,1,Lucas Dias (T),23.52,15,27,3,5,2,4,2,4,1,2,3,1.0,1.0,0.0,1,2.0,2,1.0
16,Paulistano,L. Sorocabana,1,Victor André,24.06,13,30,1,4,4,8,2,2,1,3,4,4.0,0.0,1.0,2,3.0,3,1.0
16,Paulistano,L. Sorocabana,1,Hure (T),16.40,2,9,0,2,0,0,2,3,1,4,5,1.0,0.0,1.0,2,1.0,1,0.0
16,Paulistano,L. Sorocabana,1,Arthur Pecos,18.36,6,9,0,0,2,3,2,3,1,0,1,7.0,1.0,0.0,0,2.0,4,0.0
16,Paulistano,L. Sorocabana,1,Renato,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Paulistano,L. Sorocabana,1,Pedrão,14.33,2,2,0,0,1,1,0,0,1,1,2,0.0,0.0,1.0,5,1.0,1,0.0
16,Paulistano,L. Sorocabana,1,De Paula (T),21.24,13,20,2,3,3,5,1,1,0,4,4,7.0,2.0,0.0,2,2.0,0,0.0
16,Paulistano,L. Sorocabana,1,Eddy,07.51,0,3,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0.0,0,0.0
16,Paulistano,L. Sorocabana,1,Guilherme (T),21.36,9,11,0,0,4,5,1,1,0,2,2,1.0,1.0,2.0,3,3.0,1,1.0
16,Paulistano,L. Sorocabana,1,Ações coletivas,,,,,,,,,,2,1,3,,,,0,,0,
16,Paulistano,L. Sorocabana,1,Total,,92,159,12,24,22,35,12,17,7,23,30,27.0,6.0,5.0,17,17.0,16,4.0
16,L. Sorocabana,Paulistano,2,Juzzo,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,L. Sorocabana,Paulistano,2,Léo (T),23.16,2,7,0,1,1,2,0,0,1,1,2,5.0,1.0,0.0,2,3.0,2,0.0
16,L. Sorocabana,Paulistano,2,Lucão (T),11.55,2,4,0,0,1,2,0,0,0,1,1,3.0,0.0,0.0,1,0.0,0,0.0
16,L. Sorocabana,Paulistano,2,Lucas (T),30.59,12,32,0,4,4,8,4,4,0,1,1,1.0,0.0,0.0,1,4.0,1,0.0
16,L. Sorocabana,Paulistano,2,Castellon (T),27.40,14,28,3,6,2,4,1,2,0,2,2,3.0,4.0,0.0,1,1.0,7,0.0
16,L. Sorocabana,Paulistano,2,Maique,21.31,8,12,0,0,1,2,6,8,0,2,2,0.0,1.0,0.0,3,4.0,0,0.0
16,L. Sorocabana,Paulistano,2,Bruno,08.57,0,9,0,3,0,0,0,0,0,1,1,0.0,0.0,0.0,2,0.0,2,0.0
16,L. Sorocabana,Paulistano,2,Felipe,17.25,4,17,0,2,2,5,0,1,2,2,4,1.0,0.0,0.0,2,2.0,1,0.0
16,L. Sorocabana,Paulistano,2,Leandro,07.54,2,4,0,0,1,2,0,0,2,0,2,1.0,0.0,0.0,1,0.0,0,0.0
16,L. Sorocabana,Paulistano,2,Alexandre (T),24.54,6,12,0,0,2,5,2,2,2,4,6,2.0,1.0,1.0,3,1.0,2,0.0
16,L. Sorocabana,Paulistano,2,Ted,13.27,5,11,1,3,1,1,0,0,0,1,1,0.0,1.0,1.0,1,0.0,0,0.0
16,L. Sorocabana,Paulistano,2,Cafferata,12.02,2,10,0,2,1,2,0,0,0,1,1,1.0,1.0,0.0,2,1.0,2,0.0
16,L. Sorocabana,Paulistano,2,Ações coletivas,,,,,,,,,,4,1,5,,,,0,,0,
16,L. Sorocabana,Paulistano,2,Total,,57,146,4,21,16,33,13,17,11,17,28,17.0,9.0,2.0,19,16.0,19,0.0
