Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Oral Sin Campo Mourão,Pinheiros,1,Isaac (T),35.09,31,54,3,7,5,9,12,15,3,0,3,0.0,2.0,0.0,5,7.0,1,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Brown (T),22.28,16,22,0,0,7,10,2,2,0,3,3,6.0,2.0,0.0,1,1.0,1,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Leandro,19.50,2,8,0,2,0,0,2,2,0,2,2,0.0,0.0,0.0,4,4.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Cauê (T),33.05,7,18,1,2,2,6,0,0,0,5,5,5.0,1.0,1.0,3,0.0,2,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Taddei,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Atílio,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Andrezão,13.23,0,5,0,1,0,1,0,0,0,0,0,1.0,0.0,0.0,1,0.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Wesley,05.54,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Pastor,13.13,5,11,1,1,0,3,2,2,1,3,4,0.0,0.0,0.0,1,2.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,D. Nunes (T),28.28,7,14,1,2,2,4,0,0,0,5,5,0.0,0.0,1.0,3,0.0,1,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Betinho,19.22,9,31,0,3,3,9,3,4,0,0,0,3.0,2.0,0.0,3,4.0,1,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Romário (T),09.08,4,10,0,0,2,5,0,0,2,1,3,0.0,0.0,0.0,0,2.0,0,0.0
16,Oral Sin Campo Mourão,Pinheiros,1,Ações coletivas,,,,,,,,,,2,2,4,,,,0,,0,
16,Oral Sin Campo Mourão,Pinheiros,1,Total,,81,173,6,18,21,47,21,25,8,23,31,15.0,7.0,2.0,23,20.0,6,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Bennett (T),33.01,17,27,0,1,7,10,3,4,0,9,9,4.0,1.0,1.0,2,6.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Ruivo,04.51,0,3,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Gemerson (T),25.59,6,13,2,3,0,2,0,0,1,2,3,0.0,0.0,0.0,2,0.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Mathias,14.34,1,8,0,0,0,3,1,2,3,3,6,1.0,1.0,0.0,1,1.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Ansaloni (T),23.02,4,17,0,0,2,7,0,3,2,2,4,3.0,0.0,0.0,4,2.0,2,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Renan (T),28.14,16,29,3,6,3,5,1,1,2,3,5,1.0,2.0,1.0,5,1.0,3,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Neto,18.37,6,26,0,4,1,4,4,6,1,3,4,1.0,0.0,0.0,0,3.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Gustavo,19.08,10,10,2,2,1,1,2,2,0,1,1,0.0,0.0,0.0,3,1.0,1,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Holloway (T),32.34,23,38,0,1,5,10,13,15,1,4,5,6.0,1.0,0.0,2,8.0,3,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Cauê,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Sena,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Arthur,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Pinheiros,Oral Sin Campo Mourão,2,Ações coletivas,,,,,,,,,,3,3,6,,,,0,,0,
16,Pinheiros,Oral Sin Campo Mourão,2,Total,,83,171,7,18,19,42,24,33,13,31,44,16.0,5.0,2.0,20,22.0,14,0.0
