Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Sesi Franca,Oral Sin Campo Mourão,1,Alexey (T),26.05,10,15,2,3,1,2,2,2,1,0,1,5.0,3.0,0.0,2,2.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Cesar,16.46,7,10,2,2,0,1,1,2,1,2,3,0.0,0.0,0.0,2,1.0,2,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Isaac (T),21.09,7,15,0,2,3,4,1,1,0,3,3,0.0,2.0,0.0,2,2.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Cassiano,03.13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Cauê,20.43,5,19,0,2,2,6,1,1,1,5,6,0.0,2.0,0.0,2,1.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Coelho,10.42,2,2,0,0,0,0,2,2,0,0,0,0.0,1.0,0.0,1,2.0,0,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Antonio,17.10,15,20,0,1,5,6,5,5,1,0,1,0.0,1.0,0.0,1,4.0,0,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Pedro (T),19.17,2,16,0,2,0,4,2,2,0,3,3,3.0,0.0,0.0,0,1.0,2,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Cipolini (T),23.11,7,22,0,2,3,7,1,2,1,2,3,0.0,1.0,1.0,1,2.0,2,1.0
16,Sesi Franca,Oral Sin Campo Mourão,1,João Pedro,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Du Sommer (T),23.14,4,12,0,0,1,4,2,4,0,4,4,0.0,3.0,0.0,3,3.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Dedé,18.30,2,17,0,3,1,4,0,0,1,3,4,1.0,1.0,2.0,3,0.0,1,0.0
16,Sesi Franca,Oral Sin Campo Mourão,1,Ações coletivas,,,,,,,,,,0,6,6,,,,0,,0,
16,Sesi Franca,Oral Sin Campo Mourão,1,Total,,61,148,4,17,16,38,17,21,6,28,34,9.0,14.0,3.0,17,18.0,13,1.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Isaac (T),27.52,2,20,0,4,1,4,0,0,3,2,5,1.0,0.0,0.0,1,0.0,2,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Brown (T),29.00,11,24,1,1,3,9,2,3,1,3,4,1.0,2.0,0.0,1,2.0,4,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Leandro,17.11,3,19,0,3,1,4,1,2,0,3,3,1.0,0.0,0.0,4,2.0,1,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Cauê (T),28.10,5,13,1,3,1,2,0,0,0,4,4,2.0,4.0,1.0,2,2.0,2,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Taddei,08.36,1,6,0,0,0,2,1,2,0,0,0,0.0,0.0,0.0,1,2.0,0,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Atílio,02.29,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,0.0,0,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Andrezão,11.31,2,12,0,2,1,2,0,2,0,1,1,0.0,0.0,0.0,1,1.0,1,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Wesley,10.53,3,6,0,0,1,2,1,2,3,6,9,0.0,0.0,0.0,1,2.0,2,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Pastor,22.50,8,18,1,3,2,3,1,3,0,1,1,0.0,1.0,0.0,3,4.0,3,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,D. Nunes (T),23.36,4,9,0,1,1,2,2,2,1,4,5,0.0,0.0,0.0,2,1.0,3,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Jordan,09.53,3,11,1,3,0,1,0,0,2,1,3,0.0,1.0,1.0,0,1.0,0,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Romário (T),07.59,0,7,0,1,0,2,0,0,0,1,1,0.0,0.0,0.0,4,0.0,1,0.0
16,Oral Sin Campo Mourão,Sesi Franca,2,Ações coletivas,,,,,,,,,,4,1,5,,,,0,,0,
16,Oral Sin Campo Mourão,Sesi Franca,2,Total,,42,145,4,21,11,33,8,16,14,28,42,5.0,8.0,2.0,20,17.0,20,0.0
