Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Vitória,Paulistano,1,Keyron (T),29.42,10,25,2,6,1,2,2,3,0,2,2,3.0,2.0,0.0,4,4.0,3,0.0
16,Vitória,Paulistano,1,Arthur (T),18.45,14,19,2,3,4,5,0,0,1,1,2,2.0,0.0,0.0,5,1.0,1,0.0
16,Vitória,Paulistano,1,Murilo,02.02,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0
16,Vitória,Paulistano,1,Renato (T),29.54,7,19,0,1,2,6,3,4,1,4,5,2.0,4.0,0.0,3,3.0,2,1.0
16,Vitória,Paulistano,1,Braga,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Vitória,Paulistano,1,Assunção,00.07,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Vitória,Paulistano,1,Dawkins (T),36.24,14,36,2,6,4,9,0,0,2,4,6,3.0,3.0,0.0,4,1.0,0,0.0
16,Vitória,Paulistano,1,Edu Mariano,12.16,7,18,1,4,1,2,2,2,0,0,0,0.0,2.0,0.0,1,1.0,1,1.0
16,Vitória,Paulistano,1,Kurtz (T),17.33,13,17,0,0,5,7,3,3,3,3,6,1.0,0.0,0.0,1,4.0,0,1.0
16,Vitória,Paulistano,1,André,22.21,13,28,2,4,1,5,5,6,2,3,5,5.0,1.0,0.0,1,3.0,2,0.0
16,Vitória,Paulistano,1,Coimbra,03.41,0,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0.0,2,0.0
16,Vitória,Paulistano,1,Hayes,27.15,6,18,0,2,2,5,2,2,1,1,2,1.0,1.0,0.0,3,3.0,2,0.0
16,Vitória,Paulistano,1,Ações coletivas,,,,,,,,,,1,3,4,,,,0,,0,
16,Vitória,Paulistano,1,Total,,84,182,9,26,20,42,17,20,11,21,32,17.0,13.0,0.0,26,20.0,13,3.0
16,Paulistano,Vitória,2,Yago,14.01,12,27,1,5,1,1,7,10,0,1,1,1.0,2.0,0.0,4,5.0,1,0.0
16,Paulistano,Vitória,2,Mogi,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Paulistano,Vitória,2,Luis Fernando,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Paulistano,Vitória,2,Jhonatan,29.20,10,23,2,4,0,2,4,7,1,2,3,3.0,1.0,0.0,1,4.0,0,0.0
16,Paulistano,Vitória,2,Lucas Dias (T),34.17,16,32,4,8,1,3,2,2,2,3,5,3.0,0.0,1.0,2,5.0,2,0.0
16,Paulistano,Vitória,2,Victor André,00.23,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Paulistano,Vitória,2,Hure (T),12.43,3,5,1,1,0,1,0,0,1,0,1,0.0,0.0,0.0,3,0.0,1,0.0
16,Paulistano,Vitória,2,Arthur Pecos,22.36,7,19,1,3,1,4,2,2,0,3,3,4.0,0.0,0.0,0,1.0,5,0.0
16,Paulistano,Vitória,2,Renato,25.60,14,19,0,1,5,6,4,4,4,3,7,0.0,0.0,0.0,3,4.0,2,3.0
16,Paulistano,Vitória,2,De Paula (T),26.11,11,25,0,2,3,7,5,5,1,4,5,4.0,0.0,1.0,4,4.0,1,1.0
16,Paulistano,Vitória,2,Eddy (T),17.29,4,20,0,4,2,3,0,2,0,4,4,3.0,0.0,0.0,1,3.0,4,0.0
16,Paulistano,Vitória,2,Guilherme (T),17.00,16,22,4,6,2,2,0,0,0,1,1,0.0,0.0,1.0,2,0.0,1,0.0
16,Paulistano,Vitória,2,Ações coletivas,,,,,,,,,,5,3,8,,,,0,,0,
16,Paulistano,Vitória,2,Total,,93,192,13,34,15,29,24,32,14,24,38,18.0,3.0,3.0,20,26.0,17,4.0
