Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Caxias do Sul,Oral Sin Campo Mourão,1,Arthur,34.9,23,42,1,2,9,16,2,4,4,4,8,1,4,0,2.0,6.0,0,1
16,Caxias do Sul,Oral Sin Campo Mourão,1,Vieira,20.8,13,21,3,5,1,2,2,2,6,0,6,3,1,0,3.0,2.0,4,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Vinicius,32.7,10,27,0,0,4,12,2,3,2,1,3,2,1,1,3.0,4.0,2,1
16,Caxias do Sul,Oral Sin Campo Mourão,1,Rafa Stabile,40.0,8,18,1,2,1,4,3,4,5,3,8,3,0,0,4.0,6.0,2,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Vinícius,25.7,7,17,1,1,2,7,0,0,3,0,3,4,1,0,5.0,1.0,2,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Guto,30.5,4,28,0,6,1,4,2,2,6,0,6,3,2,0,2.0,1.0,2,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Douglas,11.5,3,13,1,3,0,2,0,0,1,1,2,1,1,0,1.0,1.0,1,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Rech,1.8,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1.0,1.0,0,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Buboltz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Jonas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
16,Caxias do Sul,Oral Sin Campo Mourão,1,Equipe,0.0,69,168,7,19,18,47,12,17,29,10,39,17,10,1,21.0,22.0,13,2
16,Oral Sin Campo Mourão,Caxias do Sul,2,Betinho,35.0,25,54,2,9,6,10,7,7,3,0,3,2,3,1,5.0,7.0,6,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Douglas Nunes,30.6,23,41,4,7,2,6,7,8,7,3,10,1,0,2,3.0,4.0,2,1
16,Oral Sin Campo Mourão,Caxias do Sul,2,Andrezão,26.8,9,16,0,1,3,5,3,3,7,1,8,3,2,0,3.0,4.0,1,1
16,Oral Sin Campo Mourão,Caxias do Sul,2,W. César,22.7,7,11,0,1,3,3,1,2,3,2,5,0,3,0,4.0,1.0,0,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Cauê,32.1,5,20,0,4,2,3,1,2,4,1,5,8,1,0,1.0,3.0,2,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Wesley,5.5,4,6,0,0,2,3,0,0,2,1,3,0,0,0,0.0,0.0,0,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Pastor,22.1,3,14,1,4,0,0,0,2,2,2,4,2,0,0,1.0,1.0,2,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Brown,5.5,2,7,0,1,1,2,0,0,2,0,2,0,0,0,1.0,0.0,0,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Taddei,5.3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Atílio,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Leandro,8.6,0,3,0,1,0,0,0,0,1,0,1,0,0,0,3.0,0.0,1,0
16,Oral Sin Campo Mourão,Caxias do Sul,2,Equipe,0.0,78,175,7,29,19,32,19,24,33,11,44,16,9,3,22.0,20.0,14,2
