Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Basq. Cearense,Sesi Franca,1,Gustavinho (T),17.18,9,13,1,1,3,5,0,0,1,1,2,0.0,0.0,0.0,4,1.0,1,0.0
16,Basq. Cearense,Sesi Franca,1,Davi (T),37.21,36,59,4,10,8,10,8,9,1,2,3,3.0,3.0,0.0,3,7.0,1,0.0
16,Basq. Cearense,Sesi Franca,1,Gruber (T),29.13,5,20,0,4,2,3,1,2,1,4,5,0.0,0.0,0.0,3,2.0,1,0.0
16,Basq. Cearense,Sesi Franca,1,Toledo (T),21.59,9,44,0,5,4,11,1,7,0,2,2,0.0,4.0,0.0,1,5.0,1,0.0
16,Basq. Cearense,Sesi Franca,1,Sualisson,01.40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0.0
16,Basq. Cearense,Sesi Franca,1,Rashaun (T),30.04,18,22,2,2,4,6,4,4,2,3,5,1.0,2.0,0.0,4,3.0,2,0.0
16,Basq. Cearense,Sesi Franca,1,Tiagão,12.05,0,3,0,1,0,0,0,0,1,1,2,1.0,0.0,0.0,4,0.0,2,0.0
16,Basq. Cearense,Sesi Franca,1,Leonardo,24.04,5,14,0,0,1,5,3,4,6,5,11,1.0,1.0,0.0,0,2.0,0,1.0
16,Basq. Cearense,Sesi Franca,1,Felipe,24.15,11,14,2,2,2,3,1,2,2,4,6,0.0,1.0,1.0,2,1.0,0,0.0
16,Basq. Cearense,Sesi Franca,1,Leal,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Sesi Franca,1,Betinho,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Sesi Franca,1,Rafael,02.01,2,5,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Sesi Franca,1,Ações coletivas,,,,,,,,,,1,0,1,,,,0,,0,
16,Basq. Cearense,Sesi Franca,1,Total,,95,194,9,26,25,44,18,28,15,22,37,6.0,11.0,1.0,22,21.0,9,1.0
16,Sesi Franca,Basq. Cearense,2,Alexey,22.36,4,8,0,0,2,4,0,0,0,2,2,5.0,0.0,0.0,4,4.0,1,0.0
16,Sesi Franca,Basq. Cearense,2,Cesar,24.11,13,19,3,5,2,2,0,0,0,1,1,0.0,0.0,0.0,4,1.0,1,0.0
16,Sesi Franca,Basq. Cearense,2,Cassiano,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Sesi Franca,Basq. Cearense,2,Cauê,20.30,8,8,0,0,3,3,2,2,1,1,2,1.0,1.0,0.0,2,2.0,3,0.0
16,Sesi Franca,Basq. Cearense,2,Coelho,25.53,13,32,1,5,3,6,4,5,0,2,2,3.0,4.0,0.0,2,4.0,3,0.0
16,Sesi Franca,Basq. Cearense,2,Antonio (T),14.25,2,10,0,2,1,1,0,2,0,1,1,0.0,0.0,0.0,2,2.0,1,0.0
16,Sesi Franca,Basq. Cearense,2,Pedro (T),23.55,11,24,1,4,4,6,0,0,0,1,1,1.0,1.0,0.0,2,1.0,1,0.0
16,Sesi Franca,Basq. Cearense,2,João Pedro,06.28,0,2,0,0,0,1,0,0,0,2,2,0.0,0.0,0.0,0,0.0,0,0.0
16,Sesi Franca,Basq. Cearense,2,Du Sommer,24.58,11,20,0,1,4,6,3,5,0,1,1,2.0,0.0,1.0,3,4.0,1,2.0
16,Sesi Franca,Basq. Cearense,2,Toyloy (T),08.34,2,4,0,0,1,2,0,0,3,1,4,0.0,0.0,0.0,3,1.0,3,0.0
16,Sesi Franca,Basq. Cearense,2,Dedé (T),28.17,17,24,3,4,3,5,2,2,0,4,4,1.0,0.0,0.0,1,2.0,4,0.0
16,Sesi Franca,Basq. Cearense,2,Ações coletivas,,,,,,,,,,2,4,6,,,,0,,0,
16,Sesi Franca,Basq. Cearense,2,Total,,81,151,8,21,23,36,11,16,6,20,26,13.0,6.0,1.0,24,21.0,18,2.0
