Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Basq. Cearense,Vitória,1,Gustavinho,09.43,0,7,0,1,0,1,0,2,1,1,2,1.0,0.0,0.0,3,1.0,0,0.0
16,Basq. Cearense,Vitória,1,Davi (T),40.00,21,54,3,10,4,10,4,4,0,3,3,10.0,1.0,0.0,3,4.0,3,0.0
16,Basq. Cearense,Vitória,1,Toledo (T),34.48,11,33,2,5,1,6,3,6,4,6,10,0.0,3.0,0.0,4,7.0,2,0.0
16,Basq. Cearense,Vitória,1,Sualisson,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Vitória,1,Rashaun (T),17.42,2,10,0,0,0,4,2,2,1,1,2,0.0,1.0,0.0,3,3.0,1,0.0
16,Basq. Cearense,Vitória,1,Tiagão,10.10,3,9,0,2,1,1,1,1,1,1,2,0.0,0.0,0.0,1,1.0,1,0.0
16,Basq. Cearense,Vitória,1,Leonardo (T),38.18,17,24,0,0,5,8,7,8,5,6,11,0.0,1.0,2.0,2,5.0,1,2.0
16,Basq. Cearense,Vitória,1,Audrei,19.13,3,10,1,2,0,2,0,0,0,1,1,0.0,1.0,0.0,3,0.0,0,0.0
16,Basq. Cearense,Vitória,1,Felipe (T),29.50,20,35,5,7,0,4,5,6,2,5,7,2.0,1.0,1.0,4,5.0,2,0.0
16,Basq. Cearense,Vitória,1,Leal,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Vitória,1,Gabriel,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Vitória,1,Betinho,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,Vitória,1,Ações coletivas,,,,,,,,,,2,0,2,,,,0,,0,
16,Basq. Cearense,Vitória,1,Total,,77,182,11,27,11,36,22,29,16,24,40,13.0,8.0,3.0,23,26.0,11,2.0
16,Vitória,Basq. Cearense,2,Keyron,24.06,4,17,0,3,2,4,0,0,1,3,4,4.0,0.0,0.0,4,0.0,3,0.0
16,Vitória,Basq. Cearense,2,Arthur (T),33.21,18,30,3,5,2,4,5,7,0,4,4,5.0,0.0,0.0,1,6.0,1,0.0
16,Vitória,Basq. Cearense,2,Murilo,09.35,3,10,1,2,0,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,1,0.0
16,Vitória,Basq. Cearense,2,Renato (T),19.20,7,13,1,3,2,2,0,0,2,1,3,0.0,0.0,0.0,5,0.0,4,2.0
16,Vitória,Basq. Cearense,2,Dawkins (T),36.16,21,36,2,5,4,7,7,7,1,4,5,6.0,1.0,0.0,4,7.0,0,0.0
16,Vitória,Basq. Cearense,2,Edu Mariano (T),11.29,2,4,0,0,1,2,0,0,0,0,0,1.0,0.0,0.0,4,0.0,1,0.0
16,Vitória,Basq. Cearense,2,Kurtz,28.23,13,24,0,0,5,10,3,4,1,7,8,3.0,0.0,1.0,2,4.0,1,2.0
16,Vitória,Basq. Cearense,2,André,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Vitória,Basq. Cearense,2,Coimbra (T),28.03,6,21,0,1,2,7,2,4,3,5,8,3.0,2.0,1.0,3,2.0,1,0.0
16,Vitória,Basq. Cearense,2,Hayes,09.27,8,17,0,0,3,7,2,3,1,2,3,0.0,2.0,0.0,3,2.0,0,0.0
16,Vitória,Basq. Cearense,2,Ações coletivas,,,,,,,,,,5,2,7,,,,0,,0,
16,Vitória,Basq. Cearense,2,Total,,82,172,7,19,21,45,19,25,14,28,42,22.0,5.0,2.0,26,22.0,14,4.0
