Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
16,Basq. Cearense,L. Sorocabana,1,Gustavinho,13.31,6,11,0,1,2,3,2,2,1,0,1,0.0,0.0,0.0,1,2.0,3,0.0
16,Basq. Cearense,L. Sorocabana,1,Davi (T),39.44,22,43,2,6,7,11,2,3,1,3,4,6.0,1.0,0.0,2,4.0,3,0.0
16,Basq. Cearense,L. Sorocabana,1,Toledo (T),17.29,3,9,0,1,1,2,1,2,1,2,3,0.0,1.0,0.0,2,1.0,2,0.0
16,Basq. Cearense,L. Sorocabana,1,Sualisson,20.52,8,15,0,1,4,6,0,0,0,2,2,1.0,1.0,0.0,4,1.0,0,1.0
16,Basq. Cearense,L. Sorocabana,1,Rashaun (T),42.24,17,34,2,4,4,9,3,4,1,2,3,5.0,2.0,0.0,2,5.0,1,0.0
16,Basq. Cearense,L. Sorocabana,1,Tiagão,01.09,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,L. Sorocabana,1,Leonardo (T),35.06,14,20,0,0,6,7,2,6,1,7,8,2.0,1.0,2.0,1,3.0,2,4.0
16,Basq. Cearense,L. Sorocabana,1,Audrei,10.46,4,11,0,1,1,3,2,2,0,0,0,0.0,0.0,0.0,1,2.0,0,0.0
16,Basq. Cearense,L. Sorocabana,1,Felipe (T),13.53,6,9,0,1,2,2,2,2,1,2,3,0.0,0.0,0.0,5,2.0,1,0.0
16,Basq. Cearense,L. Sorocabana,1,Leal,30.06,6,12,0,0,2,4,2,4,2,2,4,4.0,1.0,2.0,3,2.0,3,0.0
16,Basq. Cearense,L. Sorocabana,1,Gabriel,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,L. Sorocabana,1,Betinho,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,Basq. Cearense,L. Sorocabana,1,Ações coletivas,,,,,,,,,,3,4,7,,,,0,,0,
16,Basq. Cearense,L. Sorocabana,1,Total,,86,167,4,16,29,47,16,25,11,24,35,18.0,7.0,4.0,21,22.0,15,5.0
16,L. Sorocabana,Basq. Cearense,2,Lucão,18.07,14,18,0,0,6,7,2,4,3,1,4,0.0,1.0,0.0,1,3.0,1,0.0
16,L. Sorocabana,Basq. Cearense,2,Lucas,08.10,0,4,0,0,0,2,0,0,0,0,0,1.0,0.0,0.0,1,1.0,2,0.0
16,L. Sorocabana,Basq. Cearense,2,J. Sobral,12.36,7,12,0,0,2,4,3,4,0,1,1,2.0,1.0,0.0,5,2.0,2,0.0
16,L. Sorocabana,Basq. Cearense,2,Castellon (T),30.12,12,22,3,5,1,3,1,1,2,3,5,4.0,0.0,0.0,3,2.0,1,0.0
16,L. Sorocabana,Basq. Cearense,2,Maique (T),06.47,2,4,0,0,1,2,0,0,1,1,2,0.0,0.0,0.0,2,1.0,0,1.0
16,L. Sorocabana,Basq. Cearense,2,Bruno,24.39,6,20,2,6,0,1,0,0,1,3,4,3.0,0.0,0.0,4,2.0,4,0.0
16,L. Sorocabana,Basq. Cearense,2,Adriano,02.20,0,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,2,0.0,0,0.0
16,L. Sorocabana,Basq. Cearense,2,Luisinho,10.32,0,9,0,1,0,3,0,0,1,1,2,0.0,1.0,0.0,0,0.0,0,0.0
16,L. Sorocabana,Basq. Cearense,2,Leandro,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0
16,L. Sorocabana,Basq. Cearense,2,Alexandre (T),31.37,8,12,0,0,4,6,0,0,4,3,7,0.0,2.0,1.0,2,1.0,2,0.0
16,L. Sorocabana,Basq. Cearense,2,Ted (T),38.25,11,33,3,9,1,3,0,0,0,4,4,0.0,0.0,0.0,1,0.0,1,0.0
16,L. Sorocabana,Basq. Cearense,2,Cafferata (T),41.35,25,48,4,8,3,8,7,8,2,1,3,9.0,2.0,0.0,2,7.0,3,0.0
16,L. Sorocabana,Basq. Cearense,2,Ações coletivas,,,,,,,,,,1,2,3,,,,0,,0,
16,L. Sorocabana,Basq. Cearense,2,Total,,85,184,12,29,18,40,13,17,15,20,35,19.0,7.0,1.0,23,19.0,18,1.0
