Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Vasco da Gama,Pinheiros,1,David Jackson,31.6,21,37,5,8,1,4,4,5,3,0,3,4,0,1,4.0,3.0,3,0
17,Vasco da Gama,Pinheiros,1,Lucas,27.6,12,27,2,6,2,3,2,3,2,0,2,0,0,1,3.0,4.0,1,1
17,Vasco da Gama,Pinheiros,1,Gustavo,26.0,12,21,1,3,3,4,3,4,5,1,6,2,0,0,3.0,2.0,1,0
17,Vasco da Gama,Pinheiros,1,Giovannoni,29.6,11,27,1,5,4,6,0,0,6,1,7,3,1,0,4.0,0.0,2,0
17,Vasco da Gama,Pinheiros,1,Deodato,13.9,5,10,1,2,1,2,0,0,0,0,0,2,0,1,2.0,0.0,0,0
17,Vasco da Gama,Pinheiros,1,Fúlvio,30.8,4,15,0,3,1,2,2,2,4,2,6,6,1,0,1.0,2.0,4,0
17,Vasco da Gama,Pinheiros,1,Nezinho,17.8,3,22,1,6,0,2,0,0,1,0,1,0,0,0,3.0,1.0,2,0
17,Vasco da Gama,Pinheiros,1,Renato,12.3,3,6,0,0,1,1,1,4,1,0,1,0,0,0,2.0,2.0,1,0
17,Vasco da Gama,Pinheiros,1,Hayes,10.6,0,4,0,0,0,2,0,0,2,0,2,1,0,0,1.0,0.0,0,0
17,Vasco da Gama,Pinheiros,1,L. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Pinheiros,1,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Pinheiros,1,Dedé,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Pinheiros,1,Equipe,0.0,71,169,11,33,13,26,12,18,26,5,31,18,2,3,23.0,14.0,15,1
17,Pinheiros,Vasco da Gama,2,Arthur,29.4,21,35,1,3,8,12,2,2,6,0,6,2,2,1,3.0,1.0,0,0
17,Pinheiros,Vasco da Gama,2,Toledo,36.2,19,36,0,0,4,12,11,12,4,5,9,0,0,1,1.0,6.0,2,1
17,Pinheiros,Vasco da Gama,2,Ansaloni,34.4,15,27,1,3,6,9,0,0,5,1,6,1,0,0,2.0,1.0,0,1
17,Pinheiros,Vasco da Gama,2,Holloway,20.4,14,27,0,0,5,11,4,5,5,0,5,6,2,0,4.0,6.0,3,0
17,Pinheiros,Vasco da Gama,2,Bennett,35.3,6,16,0,2,3,5,0,0,2,0,2,5,2,0,1.0,3.0,0,0
17,Pinheiros,Vasco da Gama,2,Ruivo,24.8,5,16,1,4,0,1,2,2,3,0,3,4,1,0,0.0,2.0,0,0
17,Pinheiros,Vasco da Gama,2,Gemerson,8.9,2,11,0,3,1,1,0,0,1,1,2,0,0,0,0.0,2.0,1,0
17,Pinheiros,Vasco da Gama,2,Ware,4.8,0,3,0,1,0,0,0,0,0,0,0,1,1,0,2.0,0.0,1,0
17,Pinheiros,Vasco da Gama,2,Lupa,3.8,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1.0,1.0,1,0
17,Pinheiros,Vasco da Gama,2,Mamedes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Pinheiros,Vasco da Gama,2,Igor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Pinheiros,Vasco da Gama,2,Vitor,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
17,Pinheiros,Vasco da Gama,2,Equipe,0.0,82,171,3,16,27,51,19,21,30,12,42,19,8,2,17.0,22.0,9,2
