Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Vasco da Gama,Joinville   AABJ ,1,David Jackson,29.1,18,25,4,6,2,2,2,3,7,0,7,3,0,0,2.0,2.0,2,0
17,Vasco da Gama,Joinville   AABJ ,1,Giovannoni,22.2,15,30,1,6,5,5,2,2,1,0,1,3,1,0,0.0,1.0,0,0
17,Vasco da Gama,Joinville   AABJ ,1,Lucas,26.1,14,22,0,1,7,9,0,1,2,3,5,2,0,0,0.0,1.0,0,1
17,Vasco da Gama,Joinville   AABJ ,1,Gustavo,25.2,14,30,0,4,6,8,2,2,6,2,8,3,1,0,3.0,2.0,5,0
17,Vasco da Gama,Joinville   AABJ ,1,Deodato,19.7,9,19,2,5,1,1,1,2,3,0,3,1,1,0,0.0,2.0,2,0
17,Vasco da Gama,Joinville   AABJ ,1,Hayes,16.0,6,10,0,0,1,3,4,4,3,0,3,1,1,0,2.0,2.0,1,0
17,Vasco da Gama,Joinville   AABJ ,1,Nezinho,15.6,3,12,1,4,0,0,0,0,1,0,1,5,1,0,1.0,2.0,1,0
17,Vasco da Gama,Joinville   AABJ ,1,Renato,13.3,3,9,1,1,0,3,0,0,1,2,3,0,0,0,3.0,1.0,0,0
17,Vasco da Gama,Joinville   AABJ ,1,Fúlvio,27.8,1,11,0,3,0,0,1,2,3,0,3,6,5,0,2.0,3.0,1,0
17,Vasco da Gama,Joinville   AABJ ,1,Dedé,3.3,0,6,0,2,0,0,0,0,0,1,1,0,0,0,1.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,1,Alexei,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,1,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,1,Equipe,0.0,83,174,9,32,22,31,12,16,30,8,38,24,10,0,14.0,16.0,12,1
17,Joinville   AABJ ,Vasco da Gama,2,Vezaro,29.7,13,32,1,6,5,7,0,0,6,4,10,4,0,0,0.0,1.0,0,0
17,Joinville   AABJ ,Vasco da Gama,2,Stocks,35.1,11,23,1,3,4,7,0,0,3,2,5,5,3,0,5.0,7.0,7,0
17,Joinville   AABJ ,Vasco da Gama,2,Colimerio,24.4,10,22,0,2,5,8,0,0,7,1,8,1,1,1,0.0,1.0,2,3
17,Joinville   AABJ ,Vasco da Gama,2,Weihermann,18.5,7,18,0,3,2,3,3,3,0,0,0,0,0,1,2.0,2.0,3,0
17,Joinville   AABJ ,Vasco da Gama,2,A. Bambu,33.8,6,14,2,4,0,1,0,0,2,1,3,2,0,0,3.0,0.0,3,0
17,Joinville   AABJ ,Vasco da Gama,2,Vezarinho,25.3,3,24,0,5,1,4,1,1,4,0,4,2,1,0,0.0,2.0,0,0
17,Joinville   AABJ ,Vasco da Gama,2,Johnson,14.0,3,11,1,3,0,1,0,0,0,0,0,1,1,0,3.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,2,Dieguinho,10.2,3,11,1,3,0,1,0,0,1,0,1,0,0,0,3.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,2,Jerônimo,5.4,0,4,0,0,0,2,0,0,1,0,1,1,0,0,0.0,1.0,1,0
17,Joinville   AABJ ,Vasco da Gama,2,Equipe,0.0,56,159,6,29,17,34,4,4,25,9,34,16,6,2,16.0,14.0,17,3
