Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Bauru,Vasco da Gama,1,Anthony,25.0,27,41,5,7,3,7,6,6,0,3,3,2,0,0,3.0,5.0,1,0
17,Bauru,Vasco da Gama,1,Shilton,27.3,16,22,0,0,7,10,2,2,2,6,8,0,1,0,4.0,4.0,2,1
17,Bauru,Vasco da Gama,1,Gabriel Jaú,37.4,15,26,2,4,4,6,1,2,1,5,6,2,0,0,2.0,2.0,0,0
17,Bauru,Vasco da Gama,1,Duda,26.9,11,32,3,8,1,4,0,0,0,4,4,7,1,0,4.0,2.0,3,0
17,Bauru,Vasco da Gama,1,Hettsheimeir,21.4,8,19,1,3,1,3,3,4,1,1,2,0,1,0,2.0,5.0,6,0
17,Bauru,Vasco da Gama,1,Stefano,5.6,5,7,0,0,2,3,1,1,0,0,0,1,0,0,0.0,1.0,0,0
17,Bauru,Vasco da Gama,1,Isaac,20.2,4,7,0,1,1,1,2,2,0,2,2,1,0,0,5.0,1.0,0,0
17,Bauru,Vasco da Gama,1,Matulionis,16.7,3,9,0,2,0,0,3,3,0,2,2,1,1,1,1.0,1.0,0,0
17,Bauru,Vasco da Gama,1,João Marcos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Bauru,Vasco da Gama,1,Michael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Bauru,Vasco da Gama,1,Renan,1.6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,1,0
17,Bauru,Vasco da Gama,1,Pará,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Bauru,Vasco da Gama,1,Equipe,0.0,89,163,11,25,19,34,18,20,7,25,32,14,4,1,21.0,21.0,13,1
17,Vasco da Gama,Bauru,2,Renato,30.0,20,28,2,4,6,7,2,2,1,4,5,1,2,1,1.0,3.0,2,0
17,Vasco da Gama,Bauru,2,Gustavo,19.9,20,23,3,4,5,5,1,1,1,2,3,3,0,0,4.0,2.0,1,0
17,Vasco da Gama,Bauru,2,Lucas,25.0,16,23,3,3,3,6,1,2,2,3,5,3,1,0,4.0,2.0,1,1
17,Vasco da Gama,Bauru,2,David Jackson,35.0,15,23,1,2,3,5,6,7,1,7,8,5,2,0,1.0,5.0,2,0
17,Vasco da Gama,Bauru,2,Nezinho,21.7,14,29,4,9,0,0,2,2,0,1,1,3,0,0,3.0,2.0,2,0
17,Vasco da Gama,Bauru,2,Fúlvio,34.5,4,21,0,5,0,1,4,4,0,2,2,5,1,0,2.0,6.0,3,0
17,Vasco da Gama,Bauru,2,Giovannoni,22.0,2,14,0,2,1,4,0,0,0,1,1,0,1,0,4.0,0.0,0,0
17,Vasco da Gama,Bauru,2,Hayes,5.2,1,2,0,0,0,0,1,2,0,1,1,0,0,0,1.0,1.0,0,0
17,Vasco da Gama,Bauru,2,Dedé,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Bauru,2,Deodato,4.5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,0
17,Vasco da Gama,Bauru,2,Alexei,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Bauru,2,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Bauru,2,Equipe,0.0,92,166,13,30,18,28,17,20,5,23,28,20,7,1,21.0,21.0,12,1
