Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Joinville   AABJ ,Vasco da Gama,1,Johnson,25.5,13,20,2,3,2,4,3,3,1,1,2,0,0,0,2.0,1.0,1,1
17,Joinville   AABJ ,Vasco da Gama,1,A. Bambu,20.8,12,24,2,4,3,6,0,0,5,1,6,0,0,0,2.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,1,Vezarinho,17.3,10,18,2,4,2,3,0,0,0,0,0,1,0,0,0.0,0.0,2,0
17,Joinville   AABJ ,Vasco da Gama,1,J. Socas,27.6,9,20,1,2,3,7,0,0,2,1,3,7,2,0,2.0,1.0,3,0
17,Joinville   AABJ ,Vasco da Gama,1,Tiagão,19.7,9,19,1,3,3,5,0,0,7,1,8,1,0,0,2.0,0.0,1,0
17,Joinville   AABJ ,Vasco da Gama,1,Vezaro,32.2,7,24,1,4,1,5,2,2,2,1,3,6,2,0,3.0,2.0,3,0
17,Joinville   AABJ ,Vasco da Gama,1,Colimerio,14.9,6,12,0,0,3,6,0,0,1,0,1,1,0,0,1.0,1.0,0,0
17,Joinville   AABJ ,Vasco da Gama,1,Maxwell,32.5,4,11,0,1,2,4,0,0,4,0,4,4,0,1,5.0,4.0,3,0
17,Joinville   AABJ ,Vasco da Gama,1,Jerônimo,9.0,4,8,0,0,2,4,0,0,0,2,2,0,0,0,2.0,1.0,1,1
17,Joinville   AABJ ,Vasco da Gama,1,Dieguinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,1,Henrique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,1,Weihermann,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Joinville   AABJ ,Vasco da Gama,1,Equipe,0.0,74,156,9,21,21,44,5,5,24,8,32,20,4,1,19.0,10.0,14,2
17,Vasco da Gama,Joinville   AABJ ,2,Giovannoni,35.6,17,40,2,5,4,10,3,5,8,1,9,2,3,0,1.0,6.0,3,0
17,Vasco da Gama,Joinville   AABJ ,2,Gustavo,33.0,17,23,2,3,5,6,1,2,4,0,4,5,2,0,0.0,1.0,1,0
17,Vasco da Gama,Joinville   AABJ ,2,Lucas,28.4,15,25,3,5,2,4,2,2,3,0,3,2,0,0,0.0,1.0,2,1
17,Vasco da Gama,Joinville   AABJ ,2,Bruninho,29.2,14,30,2,6,3,4,2,4,1,1,2,1,1,0,3.0,3.0,1,0
17,Vasco da Gama,Joinville   AABJ ,2,Dedé,25.2,14,24,2,5,2,2,4,5,2,1,3,1,0,0,2.0,3.0,0,0
17,Vasco da Gama,Joinville   AABJ ,2,Renato,18.0,9,10,0,0,4,4,1,2,3,2,5,2,0,0,2.0,2.0,1,1
17,Vasco da Gama,Joinville   AABJ ,2,Hayes,29.1,8,17,1,2,1,4,3,3,4,1,5,3,1,1,2.0,3.0,3,0
17,Vasco da Gama,Joinville   AABJ ,2,Nezinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,2,David Jackson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,2,L. Felipe,1.5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,2,Fúlvio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Joinville   AABJ ,2,Equipe,0.0,94,169,12,26,21,34,16,23,27,7,34,16,7,1,10.0,19.0,11,2
