Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Sesi Franca,Paulistano,1,Léo Meindl,27.1,14,26,0,0,6,12,2,2,5,1,6,2,2,0,2.0,6.0,1,0
17,Sesi Franca,Paulistano,1,Cassiano,21.4,14,22,1,3,4,5,3,3,4,0,4,3,1,0,4.0,2.0,4,0
17,Sesi Franca,Paulistano,1,Cipolini,24.3,12,18,1,2,3,4,3,4,4,0,4,2,1,0,2.0,2.0,2,0
17,Sesi Franca,Paulistano,1,Antonio,28.5,12,22,0,2,4,5,4,6,3,0,3,2,0,0,3.0,4.0,1,0
17,Sesi Franca,Paulistano,1,Pedro,21.6,12,20,2,3,1,3,4,5,0,0,0,2,0,0,3.0,2.0,2,0
17,Sesi Franca,Paulistano,1,João Pedro,27.0,11,20,0,0,5,9,1,2,5,1,6,0,0,2,1.0,1.0,1,2
17,Sesi Franca,Paulistano,1,Gruber,14.8,11,13,1,1,3,4,2,2,0,1,1,1,0,2,5.0,1.0,2,0
17,Sesi Franca,Paulistano,1,Coelho,18.6,6,11,0,1,1,1,4,6,1,0,1,6,1,0,3.0,8.0,1,0
17,Sesi Franca,Paulistano,1,Didi,14.4,5,8,1,2,1,1,0,0,1,0,1,0,0,0,2.0,0.0,0,0
17,Sesi Franca,Paulistano,1,Paulinho,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Sesi Franca,Paulistano,1,Queiroz,0.7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Sesi Franca,Paulistano,1,Guilherme,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Sesi Franca,Paulistano,1,Equipe,0.0,97,162,6,14,28,45,23,30,30,5,35,18,5,4,25.0,26.0,15,2
17,Paulistano,Sesi Franca,2,Nesbitt,23.1,15,31,2,5,3,6,3,4,8,2,10,1,2,3,2.0,3.0,1,1
17,Paulistano,Sesi Franca,2,Yago,18.0,11,29,1,5,2,5,4,4,0,0,0,4,1,0,3.0,3.0,1,0
17,Paulistano,Sesi Franca,2,Lucas Dias,14.9,9,23,1,3,3,7,0,0,2,1,3,1,0,0,2.0,2.0,0,2
17,Paulistano,Sesi Franca,2,Jhonatan,20.1,8,22,2,6,0,1,2,2,1,0,1,0,1,0,1.0,3.0,0,0
17,Paulistano,Sesi Franca,2,Elinho,15.2,7,15,1,3,1,2,2,2,0,1,1,2,0,0,4.0,3.0,2,0
17,Paulistano,Sesi Franca,2,Du Sommer,16.5,6,7,0,0,2,2,2,3,1,1,2,1,0,2,3.0,4.0,0,0
17,Paulistano,Sesi Franca,2,Deryk,21.4,6,18,2,4,0,3,0,0,1,0,1,1,0,0,4.0,1.0,5,0
17,Paulistano,Sesi Franca,2,Fuller,25.5,6,30,2,8,0,3,0,0,1,3,4,2,0,0,3.0,3.0,3,0
17,Paulistano,Sesi Franca,2,Eddy,15.2,3,8,1,2,0,1,0,0,2,0,2,0,0,0,4.0,0.0,1,0
17,Paulistano,Sesi Franca,2,Vitão,11.0,2,9,0,1,0,2,2,2,1,1,2,0,0,0,0.0,1.0,1,0
17,Paulistano,Sesi Franca,2,Guilherme,9.2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.0,1,0
17,Paulistano,Sesi Franca,2,Alex,10.0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1.0,0.0,2,0
17,Paulistano,Sesi Franca,2,Equipe,0.0,73,192,12,37,11,32,15,17,22,14,36,13,4,6,29.0,24.0,17,3
